focus_r,d,a,b,q,covered_residue_count,selected_order,classes_fully_covered,classes_partially_covered
289,131,6,518,3108,8,1,192,53621
289,75,1,299,1196,4,2,174,35626
289,87,4,344,344,2,3,93,51020
289,63,4,248,248,2,4,40,47098
289,111,20,424,2120,4,5,34,58018
289,75,13,287,14924,8,6,30,55552
289,47,4,184,184,2,7,22,35626
289,71,8,276,552,4,8,21,35626
289,63,88,164,3608,4,9,17,55552
289,11,15,29,1740,8,10,18,42903
289,15,2,58,116,2,11,17,42903
289,39,4,152,152,2,12,12,0
289,55,8,212,424,2,13,5,58018
289,51,10,194,1940,4,14,5,54873
289,63,16,236,944,2,15,1,45711
289,31,2,122,244,2,16,0,61634
289,23,3,89,1068,4,17,0,61634
289,27,1,107,428,2,18,0,61634
289,35,1,139,556,2,19,0,61634
289,35,3,137,1644,4,20,0,61634
289,51,2,202,404,2,21,0,61634
289,55,2,218,436,2,22,0,61634
289,63,8,244,488,2,23,0,61634
289,23,13,79,4108,4,24,0,61634
289,47,21,167,14028,8,25,0,61634
289,47,7,181,5068,4,26,0,61634
289,71,40,244,2440,4,27,0,61634
289,51,5,199,3980,4,28,0,61634
289,71,30,254,7620,8,29,0,61634
289,59,3,233,2796,4,30,0,61634
