prime_set,prime_set_size,rule_count,support_count,status,modulus,target_residues,covered_residues,coverage_ratio,uncovered_examples,rules
17;31;41;43,4,11,154913,too_large,719304,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=17,b=43"
5;23;41;43,4,11,154640,too_large,973176,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=87,a=4,b=344 | d=71,a=120,b=164"
37;43;53;59,4,9,154575,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=119,a=4,b=472"
19;23;29;43,4,11,154342,too_large,568632,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=87,a=4,b=344"
23;29;43;53,4,12,154169,too_large,1586184,,,,,"d=11,a=1,b=43 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=19,a=23,b=53"
19;41;43;53,4,9,154120,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=87,a=4,b=344"
17;31;37;43,4,11,153825,too_large,649128,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=17,b=43"
19;23;43;59,4,11,153688,too_large,1156872,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=119,a=4,b=472"
23;43;53;59,4,12,153515,too_large,3227064,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=19,a=23,b=53 | d=119,a=4,b=472"
19;37;43;53,4,9,153032,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=87,a=4,b=344"
5;23;29;43,4,12,152978,too_large,3441720,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=87,a=4,b=344 | d=39,a=40,b=116"
17;23;31;43,4,14,152382,too_large,403512,,,,,"d=11,a=1,b=43 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=27,a=46,b=62"
5;37;41;43,4,10,152219,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=79,a=20,b=296 | d=71,a=120,b=164 | d=31,a=50,b=74"
19;23;43;53,4,12,151972,too_large,1039224,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=19,a=23,b=53"
29;31;37;41,4,10,151794,too_large,1055832,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372"
31;37;41;59,4,10,151140,too_large,2148072,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=119,a=4,b=472"
5;29;41;43,4,10,150831,too_large,1227048,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=71,a=120,b=164 | d=39,a=40,b=116"
23;29;31;37,4,14,150783,too_large,592296,,,,,"d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=27,a=46,b=62"
17;29;41;43,4,9,150605,too_large,1227048,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=15,a=17,b=43"
5;29;37;43,4,11,150557,too_large,1107336,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=87,a=4,b=344 | d=79,a=20,b=296 | d=31,a=50,b=74 | d=39,a=40,b=116"
23;29;31;41,4,13,150351,too_large,656328,,,,,"d=11,a=3,b=41 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=27,a=46,b=62"
23;31;37;59,4,14,150129,too_large,1205016,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=119,a=4,b=472 | d=27,a=46,b=62"
17;41;43;59,4,9,149951,too_large,2496408,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=119,a=4,b=472"
37;41;43,3,7,149909,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=87,a=4,b=344"
23;31;41;59,4,13,149697,too_large,1335288,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=119,a=4,b=472 | d=27,a=46,b=62"
19;31;37;41,4,10,149597,too_large,691752,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372"
17;29;37;43,4,9,149517,too_large,1107336,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=87,a=4,b=344 | d=15,a=17,b=43"
3;23;41;43,4,11,149149,too_large,973176,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=35,a=54,b=86 | d=95,a=36,b=344"
17;37;43;59,4,9,148863,too_large,2252856,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=119,a=4,b=472"
19;23;31;37,4,14,148586,too_large,388056,,,,,"d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=27,a=46,b=62"
31;37;41;53,4,10,148490,too_large,1929624,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372"
23;31;37;53,4,15,148413,too_large,1082472,,,,,"d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=19,a=23,b=53 | d=27,a=46,b=62"
17;19;41;43,4,9,148408,too_large,803928,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=15,a=17,b=43"
23;37;43,3,10,148347,too_large,878232,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=23,b=37"
19;23;31;41,4,13,148154,too_large,430008,,,,,"d=11,a=3,b=41 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=27,a=46,b=62"
23;31;41;53,4,14,147981,too_large,1199496,,,,,"d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=19,a=23,b=53 | d=27,a=46,b=62"
23;41;43,3,9,147915,too_large,973176,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=87,a=4,b=344"
5;23;31;43,4,15,147895,too_large,735816,,,,,"d=11,a=1,b=43 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=59,a=50,b=186 | d=27,a=46,b=62"
17;23;29;43,4,11,147523,too_large,508776,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=17,b=43"
17;19;37;43,4,9,147320,too_large,725496,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=15,a=17,b=43"
17;41;43;53,4,9,147301,too_large,2242536,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=27,a=2,b=106 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=15,a=17,b=43"
17;23;43;59,4,11,146869,too_large,1035096,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=17,b=43 | d=119,a=4,b=472"
29;37;41;59,4,8,146832,too_large,2148072,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=119,a=4,b=472"
17;37;43;53,4,9,146213,too_large,2023752,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=23,a=24,b=68 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=15,a=17,b=43"
5;23;37;41,4,13,145587,too_large,837384,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=15,a=23,b=37 | d=79,a=20,b=296 | d=71,a=120,b=164 | d=31,a=50,b=74"
17;19;23;43,4,11,145326,too_large,333336,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=87,a=4,b=344 | d=15,a=17,b=43"
19;29;37;41,4,8,145289,too_large,691752,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=39,a=4,b=152"
23;29;37;59,4,11,145270,too_large,1519368,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=15,a=23,b=37 | d=119,a=4,b=472"
5;31;41;43,4,12,145197,too_large,1311672,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=71,a=120,b=164 | d=59,a=50,b=186"
17;23;43;53,4,12,145153,too_large,929832,,,,,"d=11,a=1,b=43 | d=27,a=2,b=106 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=87,a=4,b=344 | d=19,a=23,b=53 | d=15,a=17,b=43"
5;31;37;43,4,13,144923,too_large,1183704,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=79,a=20,b=296 | d=31,a=50,b=74 | d=59,a=50,b=186"
23;29;41;59,4,10,144838,too_large,1683624,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=119,a=4,b=472"
19;37;41;59,4,8,144635,too_large,2148072,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=119,a=4,b=472"
3;23;37;41,4,10,144348,too_large,837384,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=23,a=18,b=74 | d=71,a=8,b=276 | d=15,a=23,b=37"
29;31;43;59,4,11,144262,too_large,1765752,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=119,a=4,b=472"
3;31;37;43,4,13,144215,too_large,1183704,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=23,a=18,b=74 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=71,a=36,b=248 | d=35,a=54,b=86 | d=95,a=36,b=344"
29;37;41;53,4,8,144182,too_large,1929624,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=55,a=8,b=212"
5;23;29;37,4,14,143925,too_large,2961480,,,,,"d=19,a=2,b=74 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=15,a=23,b=37 | d=79,a=20,b=296 | d=31,a=50,b=74 | d=39,a=40,b=116"
19;23;29;37,4,11,143727,too_large,489288,,,,,"d=19,a=2,b=74 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=15,a=23,b=37"
23;29;37;53,4,12,143554,too_large,1364856,,,,,"d=19,a=2,b=74 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=15,a=23,b=37 | d=19,a=23,b=53"
5;29;31;43,4,13,143535,too_large,4638840,,,,,"d=11,a=1,b=43 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=1,b=155 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=39,a=40,b=116 | d=59,a=50,b=186"
37;41;53;59,4,8,143528,too_large,2148072,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=119,a=4,b=472"
19;23;29;41,4,10,143295,too_large,542184,,,,,"d=11,a=3,b=41 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=39,a=4,b=152"
23;29;41;53,4,11,143122,too_large,1512408,,,,,"d=11,a=3,b=41 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=19,a=23,b=53"
19;23;37;59,4,11,143073,too_large,995448,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=15,a=23,b=37 | d=119,a=4,b=472"
23;37;53;59,4,12,142900,too_large,2776776,,,,,"d=19,a=2,b=74 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=15,a=23,b=37 | d=19,a=23,b=53 | d=119,a=4,b=472"
19;29;31;43,4,11,142719,too_large,568632,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=87,a=4,b=344"
5;23;29;41,4,12,142679,too_large,3281640,,,,,"d=11,a=3,b=41 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=59,a=6,b=230 | d=71,a=120,b=164 | d=39,a=40,b=116"
19;23;41;59,4,10,142641,too_large,1103064,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=39,a=4,b=152 | d=119,a=4,b=472"
23;41;53;59,4,11,142468,too_large,3076968,,,,,"d=11,a=3,b=41 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=19,a=23,b=53 | d=119,a=4,b=472"
19;31;43;59,4,11,142065,too_large,1156872,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=119,a=4,b=472"
17;31;37;41,4,9,141989,too_large,618936,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=24,b=68 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372"
19;37;41;53,4,8,141985,too_large,691752,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=55,a=8,b=212 | d=39,a=4,b=152"
29;31;43;53,4,11,141612,too_large,1586184,,,,,"d=11,a=1,b=43 | d=27,a=2,b=106 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=8,b=116 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=87,a=4,b=344"
19;23;37;53,4,12,141357,too_large,894216,,,,,"d=19,a=2,b=74 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=15,a=23,b=37 | d=19,a=23,b=53"
17;23;31;37,4,13,140978,too_large,347208,,,,,"d=19,a=2,b=74 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=15,a=23,b=37 | d=27,a=46,b=62"
31;43;53;59,4,11,140958,too_large,3227064,,,,,"d=11,a=1,b=43 | d=15,a=1,b=59 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=119,a=4,b=472"
19;23;41;53,4,11,140925,too_large,990888,,,,,"d=11,a=3,b=41 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=19,a=23,b=53"
17;23;31;41,4,12,140546,too_large,384744,,,,,"d=11,a=3,b=41 | d=23,a=24,b=68 | d=23,a=23,b=69 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=27,a=46,b=62"
5;29;37;41,4,11,140258,too_large,1055832,,,,,"d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=11,a=15,b=29 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=79,a=20,b=296 | d=71,a=120,b=164 | d=31,a=50,b=74 | d=39,a=40,b=116"
3;29;37;43,4,11,140188,too_large,1107336,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=23,a=18,b=74 | d=87,a=4,b=344 | d=47,a=72,b=116 | d=35,a=54,b=86 | d=95,a=36,b=344"
19;31;43;53,4,11,139415,too_large,1039224,,,,,"d=11,a=1,b=43 | d=11,a=6,b=38 | d=27,a=2,b=106 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=55,a=8,b=212 | d=39,a=4,b=152 | d=95,a=8,b=372 | d=87,a=4,b=344"
