prime_set,prime_set_size,rule_count,support_count,status,modulus,target_residues,covered_residues,coverage_ratio,uncovered_examples,rules
53,1,2,24333,checked,1272,53,3,0.056604,1;25;49;73;97;121;145;169;193;217;241;289;313;337;361;385;409;433;457;481,"d=27,a=2,b=106 | d=55,a=8,b=212"
3;61,2,3,23311,checked,4392,183,10,0.054645,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;481,"d=31,a=2,b=122 | d=63,a=8,b=244 | d=35,a=18,b=122"
59,1,2,26983,checked,1416,59,3,0.050847,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;481,"d=15,a=1,b=59 | d=119,a=4,b=472"
3;59,2,2,26983,checked,1416,59,3,0.050847,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;481,"d=15,a=1,b=59 | d=119,a=4,b=472"
5;59,2,2,26983,checked,1416,59,3,0.050847,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;481,"d=15,a=1,b=59 | d=119,a=4,b=472"
3;5;59,3,2,26983,checked,1416,59,3,0.050847,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;481,"d=15,a=1,b=59 | d=119,a=4,b=472"
61,1,2,21781,checked,1464,61,3,0.049180,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;481,"d=31,a=2,b=122 | d=63,a=8,b=244"
5;71,2,2,12335,checked,8520,355,12,0.033803,1;25;49;73;97;121;145;169;193;217;241;289;313;337;361;385;409;433;457;481,"d=19,a=5,b=71 | d=107,a=2,b=426"
89,1,2,16049,checked,2136,89,3,0.033708,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=23,a=3,b=89 | d=95,a=24,b=356"
67,1,1,13954,checked,1608,67,2,0.029851,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=35,a=6,b=134"
139,1,2,8016,checked,3336,139,3,0.021583,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=35,a=1,b=139 | d=71,a=6,b=278"
101,1,1,5941,checked,2424,101,2,0.019802,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=51,a=2,b=202"
107,1,1,11080,checked,2568,107,2,0.018692,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=27,a=1,b=107"
109,1,1,5480,checked,2616,109,2,0.018349,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=55,a=2,b=218"
137,1,1,7223,checked,3288,137,2,0.014599,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=35,a=3,b=137"
149,1,1,863,checked,3576,149,2,0.013423,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=75,a=2,b=298"
157,1,1,834,checked,3768,157,2,0.012739,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=79,a=2,b=314"
5;73,2,1,3962,checked,8760,365,4,0.010959,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=39,a=10,b=146"
233,1,1,839,checked,5592,233,2,0.008584,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=59,a=3,b=233"
5;97,2,1,934,checked,11640,485,4,0.008247,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=51,a=10,b=194"
3;83,2,1,6460,checked,5976,249,2,0.008032,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=23,a=9,b=83"
7;73,2,1,991,checked,12264,511,4,0.007828,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=47,a=42,b=146"
5;103,2,1,765,checked,12360,515,4,0.007767,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=59,a=30,b=206"
5;113,2,1,811,checked,13560,565,4,0.007080,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=59,a=10,b=226"
5;151,2,1,1072,checked,18120,755,4,0.005298,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=39,a=5,b=151"
3;131,2,1,1433,checked,9432,393,2,0.005089,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=35,a=9,b=131"
13;73,2,1,763,checked,22776,949,4,0.004215,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=43,a=26,b=146"
13;79,2,1,1121,checked,24648,1027,4,0.003895,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=23,a=13,b=79"
3;179,2,1,764,checked,12888,537,2,0.003724,1;25;49;73;97;121;145;169;193;217;241;265;289;313;337;361;385;409;433;457,"d=47,a=9,b=179"
23;37;41;43,4,12,194997,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=23,b=37"
31;37;41;43,4,11,181854,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=23,a=6,b=86 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=95,a=8,b=372 | d=87,a=4,b=344"
23;31;37;43,4,15,180843,too_large,878232,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=39,a=8,b=148 | d=47,a=4,b=184 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=15,a=23,b=37 | d=27,a=46,b=62"
23;31;41;43,4,14,180411,too_large,973176,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=47,a=2,b=186 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=31,a=62,b=62 | d=63,a=4,b=248 | d=71,a=8,b=276 | d=95,a=8,b=372 | d=87,a=4,b=344 | d=27,a=46,b=62"
29;37;41;43,4,9,177546,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=24,b=164 | d=87,a=4,b=344"
37;41;43;59,4,9,176892,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=15,a=1,b=59 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=87,a=4,b=344 | d=119,a=4,b=472"
23;29;37;43,4,12,175984,too_large,1107336,,,,,"d=11,a=1,b=43 | d=19,a=2,b=74 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=39,a=8,b=148 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=71,a=8,b=276 | d=87,a=4,b=344 | d=15,a=23,b=37"
23;29;41;43,4,11,175552,too_large,1227048,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=15,a=2,b=58 | d=23,a=23,b=69 | d=23,a=6,b=86 | d=35,a=2,b=138 | d=31,a=8,b=116 | d=47,a=4,b=184 | d=47,a=24,b=164 | d=71,a=8,b=276 | d=87,a=4,b=344"
19;37;41;43,4,9,175349,too_large,1565544,,,,,"d=11,a=1,b=43 | d=11,a=3,b=41 | d=19,a=2,b=74 | d=11,a=6,b=38 | d=23,a=6,b=86 | d=39,a=8,b=148 | d=47,a=24,b=164 | d=39,a=4,b=152 | d=87,a=4,b=344"
