d,a,b,q,lcm_a_b,lcm_a_b_factorization,support_count,template,dominant_prime,small_prime_powers,automatic_small_prime_powers,nonautomatic_small_prime_powers,prime_condition,prime_condition_enough_on_n_1_mod_24,automatic_reasons
23,39,53,8268,2067,3*13*53,4415,G: one dominant prime factor,53,3;13,3,13,"n mod 53 in {0,30}",False,n == 1 mod 3 and d == 2 mod 3
63,8,244,488,488,2^3*61,4326,G: one dominant prime factor,61,8,8,,"n mod 61 in {0,59}",True,n == 1 mod 8 and d == 7 mod 8
27,14,94,1316,658,2*7*47,4110,G: one dominant prime factor,47,2;7,2,7,"n mod 47 in {0,20}",False,"n is odd and d is odd, so n+d is even"
87,4,344,344,344,2^3*43,3987,G: one dominant prime factor,43,8,8,,"n mod 43 in {0,42}",True,n == 1 mod 8 and d == 7 mod 8
39,10,146,1460,730,2*5*73,3962,G: one dominant prime factor,73,2;5,2,5,"n mod 73 in {0,34}",False,"n is odd and d is odd, so n+d is even"
23,16,76,304,304,2^4*19,3805,G: one dominant prime factor,19,16,,16,"n mod 19 in {0,15}",False,
35,18,122,2196,1098,2*3^2*61,1530,G: one dominant prime factor,61,2;9,2,9,"n mod 61 in {0,26}",False,"n is odd and d is odd, so n+d is even"
15,23,37,3404,851,23*37,1520,G: one dominant prime factor,37,23,,23,"n mod 37 in {0,22}",False,
35,9,131,4716,1179,3^2*131,1433,G: one dominant prime factor,131,9,,9,"n mod 131 in {0,96}",False,
23,13,79,4108,1027,13*79,1121,G: one dominant prime factor,79,13,,13,"n mod 79 in {0,56}",False,
59,1,235,940,235,5*47,1086,G: one dominant prime factor,47,5,,5,"n mod 47 in {0,35}",False,
39,5,151,3020,755,5*151,1072,G: one dominant prime factor,151,5,,5,"n mod 151 in {0,112}",False,
59,14,222,3108,1554,2*3*7*37,1059,G: one dominant prime factor,37,2;3;7,2;3,7,"n mod 37 in {0,15}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
47,36,152,1368,1368,2^3*3^2*19,1053,G: one dominant prime factor,19,8;9,8,9,"n mod 19 in {0,10}",False,n == 1 mod 8 and d == 7 mod 8
23,38,54,2052,1026,2*3^3*19,1032,G: one dominant prime factor,19,2;27,2,27,"n mod 19 in {0,15}",False,"n is odd and d is odd, so n+d is even"
95,4,376,376,376,2^3*47,1022,G: one dominant prime factor,47,8,8,,"n mod 47 in {0,46}",True,n == 1 mod 8 and d == 7 mod 8
47,72,116,2088,2088,2^3*3^2*29,1010,G: one dominant prime factor,29,8;9,8,9,"n mod 29 in {0,11}",False,n == 1 mod 8 and d == 7 mod 8
47,42,146,6132,3066,2*3*7*73,991,G: one dominant prime factor,73,2;3;7,2;3,7,"n mod 73 in {0,26}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
19,35,41,5740,1435,5*7*41,970,G: one dominant prime factor,41,5;7,,5;7,"n mod 41 in {0,22}",False,
43,29,143,16588,4147,11*13*29,951,G: one dominant prime factor,29,11;13,,11;13,"n mod 29 in {0,15}",False,
51,10,194,1940,970,2*5*97,934,G: one dominant prime factor,97,2;5,2,5,"n mod 97 in {0,46}",False,"n is odd and d is odd, so n+d is even"
19,23,53,4876,1219,23*53,934,G: one dominant prime factor,53,23,,23,"n mod 53 in {0,34}",False,
95,12,368,1104,1104,2^4*3*23,913,G: one dominant prime factor,23,16;3,3,16,"n mod 23 in {0,20}",False,n == 1 mod 3 and d == 2 mod 3
63,16,236,944,944,2^4*59,869,G: one dominant prime factor,59,16,,16,"n mod 59 in {0,55}",False,
75,2,298,596,298,2*149,863,"F2: a=2, b=2p, p=2d-1",149,2,2,,"n mod 149 in {0,74}",True,"n is odd and d is odd, so n+d is even"
39,46,110,5060,2530,2*5*11*23,840,G: one dominant prime factor,23,2;5;11,2,5;11,"n mod 23 in {0,7}",False,"n is odd and d is odd, so n+d is even"
59,3,233,2796,699,3*233,839,"F3: a=3, b=p=4d-3",233,3,3,,"n mod 233 in {0,174}",True,n == 1 mod 3 and d == 2 mod 3
79,2,314,628,314,2*157,834,"F2: a=2, b=2p, p=2d-1",157,2,2,,"n mod 157 in {0,78}",True,"n is odd and d is odd, so n+d is even"
31,56,68,952,952,2^3*7*17,820,G: one dominant prime factor,17,8;7,8,7,"n mod 17 in {0,3}",False,n == 1 mod 8 and d == 7 mod 8
27,26,82,2132,1066,2*13*41,820,G: one dominant prime factor,41,2;13,2,13,"n mod 41 in {0,14}",False,"n is odd and d is odd, so n+d is even"
79,20,296,1480,1480,2^3*5*37,814,G: one dominant prime factor,37,8;5,8,5,"n mod 37 in {0,32}",False,n == 1 mod 8 and d == 7 mod 8
59,10,226,2260,1130,2*5*113,811,G: one dominant prime factor,113,2;5,2,5,"n mod 113 in {0,54}",False,"n is odd and d is odd, so n+d is even"
15,17,43,2924,731,17*43,789,G: one dominant prime factor,43,17,,17,"n mod 43 in {0,28}",False,
59,30,206,6180,3090,2*3*5*103,765,G: one dominant prime factor,103,2;3;5,2;3,5,"n mod 103 in {0,44}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
47,9,179,6444,1611,3^2*179,764,G: one dominant prime factor,179,9,,9,"n mod 179 in {0,132}",False,
43,26,146,3796,1898,2*13*73,763,G: one dominant prime factor,73,2;13,2,13,"n mod 73 in {0,30}",False,"n is odd and d is odd, so n+d is even"
55,32,188,1504,1504,2^5*47,753,G: one dominant prime factor,47,32,,32,"n mod 47 in {0,39}",False,
71,120,164,4920,4920,2^3*3*5*41,748,G: one dominant prime factor,41,8;3;5,8;3,5,"n mod 41 in {0,11}",False,n == 1 mod 8 and d == 7 mod 8; n == 1 mod 3 and d == 2 mod 3
31,50,74,3700,1850,2*5^2*37,748,G: one dominant prime factor,37,2;25,2,25,"n mod 37 in {0,6}",False,"n is odd and d is odd, so n+d is even"
71,72,212,3816,3816,2^3*3^2*53,745,G: one dominant prime factor,53,8;9,8,9,"n mod 53 in {0,35}",False,n == 1 mod 8 and d == 7 mod 8
39,64,92,1472,1472,2^6*23,729,G: one dominant prime factor,23,64,,64,"n mod 23 in {0,7}",False,
71,36,248,2232,2232,2^3*3^2*31,729,G: one dominant prime factor,31,8;9,8,9,"n mod 31 in {0,22}",False,n == 1 mod 8 and d == 7 mod 8
47,14,174,2436,1218,2*3*7*29,728,G: one dominant prime factor,29,2;3;7,2;3,7,"n mod 29 in {0,11}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
27,7,101,2828,707,7*101,725,G: one dominant prime factor,101,7,,7,"n mod 101 in {0,74}",False,
83,6,326,1956,978,2*3*163,718,"F4: a=6, b=2p, p=2d-3",163,2;3,2;3,,"n mod 163 in {0,80}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
39,40,116,1160,1160,2^3*5*29,718,G: one dominant prime factor,29,8;5,8,5,"n mod 29 in {0,19}",False,n == 1 mod 8 and d == 7 mod 8
35,11,129,5676,1419,3*11*43,704,G: one dominant prime factor,43,3;11,3,11,"n mod 43 in {0,8}",False,n == 1 mod 3 and d == 2 mod 3
63,1,251,1004,251,251,701,"F1: a=1, b=p=4d-1",251,,,,"n mod 251 in {0,188}",True,
35,66,74,4884,2442,2*3*11*37,689,G: one dominant prime factor,37,2;3;11,2;3,11,"n mod 37 in {0,2}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
71,16,268,1072,1072,2^4*67,670,G: one dominant prime factor,67,16,,16,"n mod 67 in {0,63}",False,
71,48,236,2832,2832,2^4*3*59,665,G: one dominant prime factor,59,16;3,3,16,"n mod 59 in {0,47}",False,n == 1 mod 3 and d == 2 mod 3
87,2,346,692,346,2*173,650,"F2: a=2, b=2p, p=2d-1",173,2,2,,"n mod 173 in {0,86}",True,"n is odd and d is odd, so n+d is even"
71,5,279,5580,1395,3^2*5*31,646,G: one dominant prime factor,31,9;5,,9;5,"n mod 31 in {0,22}",False,
23,31,61,7564,1891,31*61,644,G: one dominant prime factor,61,31,,31,"n mod 61 in {0,38}",False,
47,21,167,14028,3507,3*7*167,628,G: one dominant prime factor,167,3;7,3,7,"n mod 167 in {0,120}",False,n == 1 mod 3 and d == 2 mod 3
71,12,272,816,816,2^4*3*17,622,G: one dominant prime factor,17,16;3,3,16,"n mod 17 in {0,14}",False,n == 1 mod 3 and d == 2 mod 3
71,40,244,2440,2440,2^3*5*61,621,G: one dominant prime factor,61,8;5,8,5,"n mod 61 in {0,51}",False,n == 1 mod 8 and d == 7 mod 8
35,54,86,4644,2322,2*3^3*43,619,G: one dominant prime factor,43,2;27,2,27,"n mod 43 in {0,8}",False,"n is odd and d is odd, so n+d is even"
95,36,344,3096,3096,2^3*3^2*43,615,G: one dominant prime factor,43,8;9,8,9,"n mod 43 in {0,34}",False,n == 1 mod 8 and d == 7 mod 8
47,7,181,5068,1267,7*181,604,G: one dominant prime factor,181,7,,7,"n mod 181 in {0,134}",False,
119,4,472,472,472,2^3*59,601,G: one dominant prime factor,59,8,8,,"n mod 59 in {0,58}",True,n == 1 mod 8 and d == 7 mod 8
35,27,113,12204,3051,3^3*113,599,G: one dominant prime factor,113,27,,27,"n mod 113 in {0,78}",False,
59,50,186,9300,4650,2*3*5^2*31,585,G: one dominant prime factor,31,2;3;25,2;3,25,"n mod 31 in {0,3}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
71,1,283,1132,283,283,573,"F1: a=1, b=p=4d-1",283,,,,"n mod 283 in {0,212}",True,
107,2,426,852,426,2*3*71,564,G: one dominant prime factor,71,2;3,2;3,,"n mod 71 in {0,35}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
55,104,116,3016,3016,2^3*13*29,556,G: one dominant prime factor,29,8;13,8,13,"n mod 29 in {0,3}",False,n == 1 mod 8 and d == 7 mod 8
95,24,356,2136,2136,2^3*3*89,555,"F5: a=24, b=4p, p=d-6",89,8;3,8;3,,"n mod 89 in {0,83}",True,n == 1 mod 8 and d == 7 mod 8; n == 1 mod 3 and d == 2 mod 3
27,46,62,2852,1426,2*23*31,551,G: one dominant prime factor,31,2;23,2,23,"n mod 31 in {0,4}",False,"n is odd and d is odd, so n+d is even"
71,30,254,7620,3810,2*3*5*127,549,G: one dominant prime factor,127,2;3;5,2;3,5,"n mod 127 in {0,56}",False,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
71,3,281,3372,843,3*281,542,"F3: a=3, b=p=4d-3",281,3,3,,"n mod 281 in {0,210}",True,n == 1 mod 3 and d == 2 mod 3
71,6,278,1668,834,2*3*139,541,"F4: a=6, b=2p, p=2d-3",139,2;3,2;3,,"n mod 139 in {0,68}",True,"n is odd and d is odd, so n+d is even; n == 1 mod 3 and d == 2 mod 3"
51,5,199,3980,995,5*199,527,G: one dominant prime factor,199,5,,5,"n mod 199 in {0,148}",False,
143,8,564,1128,1128,2^3*3*47,522,G: one dominant prime factor,47,8;3,8;3,,"n mod 47 in {0,45}",True,n == 1 mod 8 and d == 7 mod 8; n == 1 mod 3 and d == 2 mod 3
39,32,124,992,992,2^5*31,517,G: one dominant prime factor,31,32,,32,"n mod 31 in {0,23}",False,
