iteration,focus_r,active_before,active_after,d,a,b,q,fully_covered,partially_reduced,unknown_fullness,empty_after_application,validation_failures,score_full,score_partial,score_negative_q,score_coverage_ratio
1,841,58808,56844,303,68,1144,19448,1964,0,33972,0,0,1964,33972,-19448,0.0
2,841,56844,55312,215,24,836,5016,1532,0,33367,0,0,1532,33367,-5016,0.0
3,841,55312,54253,215,44,816,8976,1059,0,16219,0,0,1059,16219,-8976,0.0
4,841,54253,53665,167,24,644,3864,588,0,41694,0,0,588,41694,-3864,0.0
5,841,53665,53211,303,16,1196,4784,454,0,19890,0,0,454,19890,-4784,0.0
6,841,53211,53065,251,42,962,40404,146,0,47926,0,0,146,47926,-40404,0.0
7,841,53065,52939,199,380,416,39520,126,0,15078,0,0,126,15078,-39520,0.0
8,841,52939,52815,407,16,1612,6448,124,0,24146,0,0,124,24146,-6448,0.0
9,841,52815,52711,335,24,1316,7896,104,0,48672,0,0,104,48672,-7896,0.0
10,841,52711,52619,159,16,620,2480,92,0,22574,0,0,92,22574,-2480,0.0
11,841,52619,52533,143,8,564,1128,86,0,48641,0,0,86,48641,-1128,0.0
12,841,52533,52460,479,24,1892,11352,73,0,49752,0,0,73,49752,-11352,0.0
13,841,52460,52392,279,56,1060,14840,68,0,48913,0,0,68,48913,-14840,0.0
14,841,52392,52324,279,80,1036,20720,68,0,24867,0,0,68,24867,-20720,0.0
15,841,52324,52259,191,12,752,2256,65,0,22530,0,0,65,22530,-2256,0.0
16,841,52259,52197,239,16,940,3760,62,0,22530,0,0,62,22530,-3760,0.0
17,841,52197,52151,167,12,656,1968,46,0,25202,0,0,46,25202,-1968,0.0
18,841,52151,52105,215,12,848,2544,46,0,24722,0,0,46,24722,-2544,0.0
19,841,52105,52062,135,76,464,8816,43,0,717,0,0,43,717,-8816,0.0
20,841,52062,52034,111,38,406,15428,28,0,3175,0,0,28,3175,-15428,0.0
21,841,52034,52009,215,68,792,13464,25,0,27827,0,0,25,27827,-13464,0.0
22,841,52009,51985,359,20,1416,7080,24,0,50727,0,0,24,50727,-7080,0.0
23,841,51985,51961,239,36,920,8280,24,0,36053,0,0,24,36053,-8280,0.0
24,841,51961,51938,239,12,944,2832,23,0,23744,0,0,23,23744,-2832,0.0
25,841,51938,51915,63,116,136,3944,23,0,801,0,0,23,801,-3944,0.0
26,841,51915,51896,179,6,710,4260,19,0,50502,0,0,19,50502,-4260,0.0
27,841,51896,51881,215,8,852,1704,15,0,50502,0,0,15,50502,-1704,0.0
28,841,51881,51867,143,4,568,568,14,0,50502,0,0,14,50502,-568,0.0
29,841,51867,51854,79,146,170,24820,13,0,745,0,0,13,745,-24820,0.0
30,841,51854,51842,167,4,664,664,12,0,50806,0,0,12,50806,-664,0.0
31,841,51842,51830,107,2,426,852,12,0,50477,0,0,12,50477,-852,0.0
32,841,51830,51818,127,176,332,14608,12,0,23873,0,0,12,23873,-14608,0.0
33,841,51818,51806,279,28,1088,7616,12,0,14781,0,0,12,14781,-7616,0.0
34,841,51806,51795,199,260,536,34840,11,0,51055,0,0,11,51055,-34840,0.0
35,841,51795,51784,215,4,856,856,11,0,50546,0,0,11,50546,-856,0.0
36,841,51784,51773,111,112,332,9296,11,0,23862,0,0,11,23862,-9296,0.0
37,841,51773,51762,111,116,328,9512,11,0,3164,0,0,11,3164,-9512,0.0
38,841,51762,51752,135,4,536,536,10,0,51022,0,0,10,51022,-536,0.0
39,841,51752,51744,167,14,654,9156,8,0,50701,0,0,8,50701,-9156,0.0
40,841,51744,51736,303,13,1199,62348,8,0,50701,0,0,8,50701,-62348,0.0
41,841,51736,51728,83,11,321,14124,8,0,50498,0,0,8,50498,-14124,0.0
42,841,51728,51720,143,204,368,18768,8,0,12413,0,0,8,12413,-18768,0.0
43,841,51720,51713,63,16,236,944,7,0,23613,0,0,7,23613,-944,0.0
44,841,51713,51706,79,80,236,4720,7,0,23613,0,0,7,23613,-4720,0.0
45,841,51706,51700,111,8,436,872,6,0,50671,0,0,6,50671,-872,0.0
46,841,51700,51694,111,7,437,12236,6,0,24003,0,0,6,24003,-12236,0.0
47,841,51694,51688,111,16,428,1712,6,0,23602,0,0,6,23602,-1712,0.0
48,841,51688,51683,179,3,713,8556,5,0,37261,0,0,5,37261,-8556,0.0
49,841,51683,51678,239,68,888,15096,5,0,29765,0,0,5,29765,-15096,0.0
50,841,51678,51673,55,68,152,2584,5,0,16094,0,0,5,16094,-2584,0.0
