focus_r,d,a,b,q,covered_residue_count,selected_order,classes_fully_covered,classes_partially_covered
529,87,7,341,9548,8,1,209,49340
529,63,4,248,248,2,2,59,49340
529,111,20,424,2120,4,3,41,62026
529,143,56,516,7224,8,4,33,63780
529,87,56,292,4088,4,5,15,61410
529,59,14,222,3108,8,6,12,58701
529,31,32,92,736,2,7,12,0
529,55,8,212,424,2,8,7,62026
529,43,29,143,16588,8,9,5,49457
529,63,16,236,944,2,10,1,33295
529,31,2,122,244,2,11,0,65519
529,23,3,89,1068,4,12,0,65519
529,27,1,107,428,2,13,0,65519
529,35,1,139,556,2,14,0,65519
529,51,2,202,404,2,15,0,65519
529,55,2,218,436,2,16,0,65519
529,63,8,244,488,2,17,0,65519
529,51,10,194,1940,4,18,0,65519
529,31,35,89,12460,8,19,0,65519
529,71,40,244,2440,4,20,0,65519
529,71,30,254,7620,8,21,0,65519
529,51,5,199,3980,4,22,0,65519
529,59,42,194,8148,8,23,0,65519
529,79,2,314,628,2,24,0,65519
529,59,3,233,2796,4,25,0,65519
529,71,71,213,852,2,26,0,65519
529,75,2,298,596,2,27,0,65519
529,83,6,326,1956,4,28,0,65519
529,59,7,229,6412,4,29,0,65519
529,87,14,334,4676,4,30,0,65519
