iteration,focus_r,d,a,b,q,covered_residue_count,fully_covered_count,partial_count,empty_after_application_count,unknown_fullness_count
1,289,191,20,744,3720,8,348,0,0,46512
2,289,143,8,564,1128,4,185,0,0,46053
3,289,191,24,740,4440,8,168,0,0,52676
4,289,215,48,812,9744,8,155,0,0,34492
5,289,231,104,820,21320,8,139,0,0,54104
6,289,151,164,440,18040,8,124,0,0,54104
7,289,191,12,752,2256,4,83,0,0,36786
8,289,151,20,584,2920,4,57,0,0,55027
9,289,215,84,776,16296,8,53,0,0,53077
10,289,371,10,1474,14740,8,42,0,0,57170
11,289,335,92,1248,28704,8,42,0,0,28408
12,289,231,260,664,43160,8,38,0,0,55724
13,289,167,4,664,664,2,36,0,0,55724
14,289,231,20,904,4520,4,35,0,0,54947
15,289,215,32,828,6624,4,32,0,0,27056
16,289,215,14,846,11844,8,28,0,0,39867
17,289,215,56,804,11256,8,27,0,0,56959
18,289,215,12,848,2544,4,27,0,0,43994
19,289,231,1,923,3692,4,26,0,0,57553
20,289,431,20,1704,8520,8,25,0,0,57553
21,289,215,8,852,1704,4,24,0,0,57553
22,289,143,4,568,568,2,22,0,0,57553
23,289,251,18,986,17748,8,21,0,0,2198
24,289,215,188,672,31584,8,20,0,0,36232
25,289,135,4,536,536,2,19,0,0,56794
26,289,107,2,426,852,4,18,0,0,57493
27,289,63,68,184,3128,4,15,0,0,1790
28,289,239,12,944,2832,4,14,0,0,43789
29,289,131,90,434,39060,16,13,0,0,39374
30,289,143,204,368,18768,8,13,0,0,3591
31,289,271,140,944,33040,8,12,0,0,43764
32,289,167,32,636,5088,4,12,0,0,40928
33,289,111,34,410,13940,8,12,0,0,5557
34,289,111,64,380,6080,4,10,0,0,2846
35,289,179,3,713,8556,8,8,0,0,31134
36,289,131,54,470,25380,8,7,0,0,38958
37,289,103,116,296,8584,4,7,0,0,38072
38,289,159,188,448,21056,4,7,0,0,34640
39,289,383,48,1484,17808,8,5,0,0,46152
40,289,143,108,464,12528,4,5,0,0,28456
41,289,311,60,1184,17760,8,4,0,0,37249
42,289,191,180,584,26280,8,2,0,0,46583
43,289,167,12,656,1968,4,2,0,0,41691
44,289,63,64,188,3008,2,2,0,0,34560
45,289,107,87,341,118668,16,2,0,0,33675
46,289,107,54,374,20196,8,2,0,0,8549
47,289,287,12,1136,3408,4,1,0,0,46053
48,289,159,62,574,35588,8,1,0,0,41279
49,289,271,224,860,48160,8,1,0,0,36682
50,289,111,124,320,9920,4,1,0,0,34419
