n,d,a,b,x,y,z,verified,covered_by_divisor,n_mod_120,n_mod_840,n_mod_2520,n_mod_27720
25,,,,,,,True,5,25,25,25,25
49,,,,,,,True,7,49,49,49,49
73,7,8,20,20,730,292,True,,73,73,73,73
97,3,2,10,25,4850,970,True,,97,97,97,97
121,,,,,,,True,11,1,121,121,121
145,,,,,,,True,5,25,145,145,145
169,,,,,,,True,13,49,169,169,169
193,7,8,20,50,4825,1930,True,,73,193,193,193
217,,,,,,,True,7,97,217,217,217
241,11,2,42,63,30366,1446,True,,1,241,241,241
265,,,,,,,True,5,25,265,265,265
289,,,,,,,True,17,49,289,289,289
313,7,8,20,80,12520,5008,True,,73,313,313,313
337,3,2,10,85,57290,11458,True,,97,337,337,337
361,,,,,,,True,19,1,361,361,361
385,,,,,,,True,5,25,385,385,385
409,7,2,26,104,85072,6544,True,,49,409,409,409
433,7,8,20,110,23815,9526,True,,73,433,433,433
457,3,2,10,115,105110,21022,True,,97,457,457,457
481,,,,,,,True,13,1,481,481,481
505,,,,,,,True,5,25,505,505,505
529,,,,,,,True,23,49,529,529,529
553,,,,,,,True,7,73,553,553,553
577,3,2,10,145,167330,33466,True,,97,577,577,577
601,15,4,56,154,92554,6611,True,,1,601,601,601
625,,,,,,,True,5,25,625,625,625
649,,,,,,,True,11,49,649,649,649
673,7,8,20,170,57205,22882,True,,73,673,673,673
697,,,,,,,True,17,97,697,697,697
721,,,,,,,True,7,1,721,721,721
745,,,,,,,True,5,25,745,745,745
769,11,5,39,195,119964,15380,True,,49,769,769,769
793,,,,,,,True,13,73,793,793,793
817,,,,,,,True,19,97,817,817,817
841,,,,,,,True,29,1,1,841,841
865,,,,,,,True,5,25,25,865,865
889,,,,,,,True,7,49,49,889,889
913,,,,,,,True,11,73,73,913,913
937,3,2,10,235,440390,88078,True,,97,97,937,937
961,,,,,,,True,31,1,121,961,961
985,,,,,,,True,5,25,145,985,985
1009,3,1,11,253,1021108,92828,True,,49,169,1009,1009
1033,7,2,26,260,537160,41320,True,,73,193,1033,1033
1057,,,,,,,True,7,97,217,1057,1057
1081,,,,,,,True,23,1,241,1081,1081
1105,,,,,,,True,5,25,265,1105,1105
1129,11,6,38,285,214510,33870,True,,49,289,1129,1129
1153,7,8,20,290,167185,66874,True,,73,313,1153,1153
1177,,,,,,,True,11,97,337,1177,1177
1201,23,24,68,306,61251,21618,True,,1,361,1201,1201
1225,,,,,,,True,5,25,385,1225,1225
1249,11,2,42,315,786870,37470,True,,49,409,1249,1249
1273,,,,,,,True,19,73,433,1273,1273
1297,3,2,10,325,843050,168610,True,,97,457,1297,1297
1321,23,8,84,336,221928,21136,True,,1,481,1321,1321
1345,,,,,,,True,5,25,505,1345,1345
1369,,,,,,,True,37,49,529,1369,1369
1393,,,,,,,True,7,73,553,1393,1393
1417,,,,,,,True,13,97,577,1417,1417
1441,,,,,,,True,11,1,601,1441,1441
1465,,,,,,,True,5,25,625,1465,1465
1489,7,11,17,374,202504,131032,True,,49,649,1489,1489
1513,,,,,,,True,17,73,673,1513,1513
1537,,,,,,,True,29,97,697,1537,1537
1561,,,,,,,True,7,1,721,1561,1561
1585,,,,,,,True,5,25,745,1585,1585
1609,15,2,58,406,1306508,45052,True,,49,769,1609,1609
1633,,,,,,,True,23,73,793,1633,1633
1657,3,2,10,415,1375310,275062,True,,97,817,1657,1657
1681,,,,,,,True,41,1,1,1681,1681
1705,,,,,,,True,5,25,25,1705,1705
1729,,,,,,,True,7,49,49,1729,1729
1753,7,8,20,440,385660,154264,True,,73,73,1753,1753
1777,3,2,10,445,1581530,316306,True,,97,97,1777,1777
1801,3,1,11,451,3249004,295364,True,,1,121,1801,1801
1825,,,,,,,True,5,25,145,1825,1825
1849,,,,,,,True,43,49,169,1849,1849
1873,7,8,20,470,440155,176062,True,,73,193,1873,1873
1897,,,,,,,True,7,97,217,1897,1897
1921,,,,,,,True,17,1,241,1921,1921
1945,,,,,,,True,5,25,265,1945,1945
1969,,,,,,,True,11,49,289,1969,1969
1993,7,8,20,500,498250,199300,True,,73,313,1993,1993
2017,3,2,10,505,2037170,407434,True,,97,337,2017,2017
2041,,,,,,,True,13,1,361,2041,2041
2065,,,,,,,True,5,25,385,2065,2065
2089,11,2,42,525,2193450,104450,True,,49,409,2089,2089
2113,7,8,20,530,559945,223978,True,,73,433,2113,2113
2137,3,2,10,535,2286590,457318,True,,97,457,2137,2137
2161,23,1,91,546,4719624,51864,True,,1,481,2161,2161
2185,,,,,,,True,5,25,505,2185,2185
2209,,,,,,,True,47,49,529,2209,2209
2233,,,,,,,True,7,73,553,2233,2233
2257,,,,,,,True,37,97,577,2257,2257
2281,7,2,26,572,2609464,200728,True,,1,601,2281,2281
2305,,,,,,,True,5,25,625,2305,2305
2329,,,,,,,True,17,49,649,2329,2329
2353,,,,,,,True,13,73,673,2353,2353
2377,3,2,10,595,2828630,565726,True,,97,697,2377,2377
2401,,,,,,,True,7,1,721,2401,2401
2425,,,,,,,True,5,25,745,2425,2425
2449,,,,,,,True,31,49,769,2449,2449
2473,7,8,20,620,766630,306652,True,,73,793,2473,2473
2497,,,,,,,True,11,97,817,2497,2497
2521,31,8,116,638,804199,55462,True,,1,1,1,2521
2545,,,,,,,True,5,25,25,25,2545
2569,,,,,,,True,7,49,49,49,2569
2593,3,1,11,649,6731428,611948,True,,73,73,73,2593
2617,3,2,10,655,3428270,685654,True,,97,97,97,2617
2641,,,,,,,True,19,1,121,121,2641
2665,,,,,,,True,5,25,145,145,2665
2689,15,8,52,676,908882,139828,True,,49,169,169,2689
2713,7,8,20,680,922420,368968,True,,73,193,193,2713
2737,,,,,,,True,7,97,217,217,2737
2761,,,,,,,True,11,1,241,241,2761
2785,,,,,,,True,5,25,265,265,2785
2809,,,,,,,True,53,49,289,289,2809
2833,7,8,20,710,1005715,402286,True,,73,313,313,2833
2857,3,1,11,715,8171020,742820,True,,97,337,337,2857
2881,,,,,,,True,43,1,361,361,2881
2905,,,,,,,True,5,25,385,385,2905
2929,,,,,,,True,29,49,409,409,2929
2953,7,8,20,740,1092610,437044,True,,73,433,433,2953
2977,,,,,,,True,13,97,457,457,2977
3001,15,2,58,754,4525508,156052,True,,1,481,481,3001
3025,,,,,,,True,5,25,505,505,3025
3049,11,10,34,765,932994,274410,True,,49,529,529,3049
3073,,,,,,,True,7,73,553,553,3073
3097,,,,,,,True,19,97,577,577,3097
3121,3,1,11,781,9750004,886364,True,,1,601,601,3121
3145,,,,,,,True,5,25,625,625,3145
3169,23,8,84,798,1264431,120422,True,,49,649,649,3169
3193,,,,,,,True,31,73,673,673,3193
3217,3,2,10,805,5179370,1035874,True,,97,697,697,3217
3241,,,,,,,True,7,1,721,721,3241
3265,,,,,,,True,5,25,745,745,3265
3289,,,,,,,True,11,49,769,769,3289
3313,7,8,20,830,1374895,549958,True,,73,793,793,3313
3337,,,,,,,True,47,97,817,817,3337
3361,39,20,136,850,571370,84025,True,,1,1,841,3361
3385,,,,,,,True,5,25,25,865,3385
3409,,,,,,,True,7,49,49,889,3409
3433,7,8,20,860,1476190,590476,True,,73,73,913,3433
3457,3,2,10,865,5980610,1196122,True,,97,97,937,3457
3481,,,,,,,True,59,1,121,961,3481
3505,,,,,,,True,5,25,145,985,3505
3529,7,2,26,884,6239272,479944,True,,49,169,1009,3529
3553,,,,,,,True,11,73,193,1033,3553
3577,,,,,,,True,7,97,217,1057,3577
3601,,,,,,,True,13,1,241,1081,3601
3625,,,,,,,True,5,25,265,1105,3625
3649,,,,,,,True,41,49,289,1129,3649
3673,7,5,23,920,2703328,587680,True,,73,313,1153,3673
3697,3,2,10,925,6839450,1367890,True,,97,337,1177,3697
3721,,,,,,,True,61,1,361,1201,3721
3745,,,,,,,True,5,25,385,1225,3745
3769,11,2,42,945,7123410,339210,True,,49,409,1249,3769
3793,7,8,20,950,1801675,720670,True,,73,433,1273,3793
3817,,,,,,,True,11,97,457,1297,3817
3841,,,,,,,True,23,1,481,1321,3841
3865,,,,,,,True,5,25,505,1345,3865
3889,11,5,39,975,3033420,388900,True,,49,529,1369,3889
3913,,,,,,,True,7,73,553,1393,3913
3937,,,,,,,True,31,97,577,1417,3937
3961,,,,,,,True,17,1,601,1441,3961
3985,,,,,,,True,5,25,625,1465,3985
4009,,,,,,,True,19,49,649,1489,4009
4033,,,,,,,True,37,73,673,1513,4033
4057,3,2,10,1015,8235710,1647142,True,,97,697,1537,4057
4081,,,,,,,True,7,1,721,1561,4081
4105,,,,,,,True,5,25,745,1585,4105
4129,15,4,56,1036,4277644,305546,True,,49,769,1609,4129
4153,7,2,26,1040,8638240,664480,True,,73,793,1633,4153
4177,3,1,11,1045,17459860,1587260,True,,97,817,1657,4177
4201,11,18,26,1053,983034,680562,True,,1,1,1681,4201
4225,,,,,,,True,5,25,25,1705,4225
4249,,,,,,,True,7,49,49,1729,4249
4273,7,8,20,1070,2286055,914422,True,,73,73,1753,4273
4297,3,2,10,1075,9238550,1847710,True,,97,97,1777,4297
4321,,,,,,,True,29,1,121,1801,4321
4345,,,,,,,True,5,25,145,1825,4345
4369,,,,,,,True,17,49,169,1849,4369
4393,,,,,,,True,23,73,193,1873,4393
4417,,,,,,,True,7,97,217,1897,4417
4441,3,1,11,1111,19735804,1794164,True,,1,241,1921,4441
4465,,,,,,,True,5,25,265,1945,4465
4489,,,,,,,True,67,49,289,1969,4489
4513,7,8,20,1130,2549845,1019938,True,,73,313,1993,4513
4537,,,,,,,True,13,97,337,2017,4537
4561,15,8,52,1144,2608892,401368,True,,1,361,2041,4561
4585,,,,,,,True,5,25,385,2065,4585
4609,,,,,,,True,11,49,409,2089,4609
4633,,,,,,,True,41,73,433,2113,4633
4657,3,2,10,1165,10850810,2170162,True,,97,457,2137,4657
4681,,,,,,,True,31,1,481,2161,4681
4705,,,,,,,True,5,25,505,2185,4705
4729,23,4,88,1188,5618052,255366,True,,49,529,2209,4729
4753,,,,,,,True,7,73,553,2233,4753
4777,,,,,,,True,17,97,577,2257,4777
4801,15,4,56,1204,5780404,412886,True,,1,601,2281,4801
4825,,,,,,,True,5,25,625,2305,4825
4849,,,,,,,True,13,49,649,2329,4849
4873,,,,,,,True,11,73,673,2353,4873
4897,,,,,,,True,59,97,697,2377,4897
4921,,,,,,,True,7,1,721,2401,4921
4945,,,,,,,True,5,25,745,2425,4945
4969,3,1,11,1243,24705868,2245988,True,,49,769,2449,4969
4993,7,8,20,1250,3120625,1248250,True,,73,793,2473,4993
5017,,,,,,,True,29,97,817,2497,5017
5041,,,,,,,True,71,1,1,1,5041
5065,,,,,,,True,5,25,25,25,5065
5089,,,,,,,True,7,49,49,49,5089
5113,7,8,20,1280,3272320,1308928,True,,73,73,73,5113
5137,,,,,,,True,11,97,97,97,5137
5161,,,,,,,True,13,1,121,121,5161
5185,,,,,,,True,5,25,145,145,5185
5209,11,15,29,1305,1812732,937620,True,,49,169,169,5209
5233,3,1,11,1309,27399988,2490908,True,,73,193,193,5233
5257,,,,,,,True,7,97,217,217,5257
5281,11,2,42,1323,13973526,665406,True,,1,241,241,5281
5305,,,,,,,True,5,25,265,265,5305
5329,,,,,,,True,73,49,289,289,5329
5353,,,,,,,True,53,73,313,313,5353
5377,,,,,,,True,19,97,337,337,5377
5401,,,,,,,True,11,1,361,361,5401
5425,,,,,,,True,5,25,385,385,5425
5449,11,2,42,1365,14875770,708370,True,,49,409,409,5449
5473,,,,,,,True,13,73,433,433,5473
5497,,,,,,,True,23,97,457,457,5497
5521,23,4,88,1386,7652106,347823,True,,1,481,481,5521
5545,,,,,,,True,5,25,505,505,5545
5569,71,2,282,1410,15704580,111380,True,,49,529,529,5569
5593,,,,,,,True,7,73,553,553,5593
5617,,,,,,,True,41,97,577,577,5617
5641,15,4,56,1414,7976374,569741,True,,1,601,601,5641
5665,,,,,,,True,5,25,625,625,5665
5689,11,6,38,1425,5404550,853350,True,,49,649,649,5689
5713,,,,,,,True,29,73,673,673,5713
5737,3,2,10,1435,16465190,3293038,True,,97,697,697,5737
5761,,,,,,,True,7,1,721,721,5761
5785,,,,,,,True,5,25,745,745,5785
5809,,,,,,,True,37,49,769,769,5809
5833,,,,,,,True,19,73,793,793,5833
5857,3,2,10,1465,17161010,3432202,True,,97,817,817,5857
5881,39,8,148,1480,4351940,235240,True,,1,1,841,5881
5905,,,,,,,True,5,25,25,865,5905
5929,,,,,,,True,7,49,49,889,5929
5953,7,8,20,1490,4434985,1773994,True,,73,73,913,5953
5977,,,,,,,True,43,97,97,937,5977
6001,,,,,,,True,17,1,121,961,6001
6025,,,,,,,True,5,25,145,985,6025
6049,,,,,,,True,23,49,169,1009,6049
6073,7,8,20,1520,4615480,1846192,True,,73,193,1033,6073
6097,,,,,,,True,7,97,217,1057,6097
6121,11,2,42,1533,18766986,893666,True,,1,241,1081,6121
6145,,,,,,,True,5,25,265,1105,6145
6169,,,,,,,True,31,49,289,1129,6169
6193,,,,,,,True,11,73,313,1153,6193
6217,3,2,10,1555,19334870,3866974,True,,97,337,1177,6217
6241,,,,,,,True,79,1,361,1201,6241
6265,,,,,,,True,5,25,385,1225,6265
6289,,,,,,,True,19,49,409,1249,6289
6313,,,,,,,True,59,73,433,1273,6313
6337,3,2,10,1585,20088290,4017658,True,,97,457,1297,6337
6361,23,8,84,1596,5076078,483436,True,,1,481,1321,6361
6385,,,,,,,True,5,25,505,1345,6385
6409,,,,,,,True,13,49,529,1369,6409
6433,,,,,,,True,7,73,553,1393,6433
6457,,,,,,,True,11,97,577,1417,6457
6481,15,2,58,1624,21050288,725872,True,,1,601,1441,6481
6505,,,,,,,True,5,25,625,1465,6505
6529,23,1,91,1638,42778008,470088,True,,49,649,1489,6529
6553,3,1,11,1639,42961468,3905588,True,,73,673,1513,6553
6577,3,2,10,1645,21638330,4327666,True,,97,697,1537,6577
6601,,,,,,,True,7,1,721,1561,6601
6625,,,,,,,True,5,25,745,1585,6625
6649,,,,,,,True,61,49,769,1609,6649
6673,7,8,20,1670,5571955,2228782,True,,73,793,1633,6673
6697,,,,,,,True,37,97,817,1657,6697
6721,,,,,,,True,11,1,1,1681,6721
6745,,,,,,,True,5,25,25,1705,6745
6769,,,,,,,True,7,49,49,1729,6769
6793,7,8,20,1700,5774050,2309620,True,,73,73,1753,6793
6817,,,,,,,True,17,97,97,1777,6817
6841,23,4,88,1716,11739156,533598,True,,1,121,1801,6841
6865,,,,,,,True,5,25,145,1825,6865
6889,,,,,,,True,83,49,169,1849,6889
6913,,,,,,,True,31,73,193,1873,6913
6937,,,,,,,True,7,97,217,1897,6937
6961,7,2,26,1742,24252124,1865548,True,,1,241,1921,6961
6985,,,,,,,True,5,25,265,1945,6985
7009,,,,,,,True,43,49,289,1969,7009
7033,,,,,,,True,13,73,313,1993,7033
7057,3,2,10,1765,24911210,4982242,True,,97,337,2017,7057
7081,,,,,,,True,73,1,361,2041,7081
7105,,,,,,,True,5,25,385,2065,7105
7129,11,2,42,1785,25450530,1211930,True,,49,409,2089,7129
7153,,,,,,,True,23,73,433,2113,7153
7177,3,2,10,1795,25765430,5153086,True,,97,457,2137,7177
7201,,,,,,,True,19,1,481,2161,7201
7225,,,,,,,True,5,25,505,2185,7225
7249,,,,,,,True,11,49,529,2209,7249
7273,,,,,,,True,7,73,553,2233,7273
7297,3,2,10,1825,26634050,5326810,True,,97,577,2257,7297
7321,15,4,56,1834,13426714,959051,True,,1,601,2281,7321
7345,,,,,,,True,5,25,625,2305,7345
7369,11,3,41,1845,18127740,1326420,True,,49,649,2329,7369
7393,7,8,20,1850,6838525,2735410,True,,73,673,2353,7393
7417,3,2,10,1855,27517070,5503414,True,,97,697,2377,7417
7441,,,,,,,True,7,1,721,2401,7441
7465,,,,,,,True,5,25,745,2425,7465
7489,15,4,56,1876,14049364,1003526,True,,49,769,2449,7489
7513,,,,,,,True,11,73,793,2473,7513
7537,3,2,10,1885,28414490,5682898,True,,97,817,2497,7537
7561,39,4,152,1900,14365900,378050,True,,1,1,1,7561
7585,,,,,,,True,5,25,25,25,7585
7609,,,,,,,True,7,49,49,49,7609
7633,,,,,,,True,17,73,73,73,7633
7657,,,,,,,True,13,97,97,97,7657
7681,15,8,52,1924,7389122,1136788,True,,1,121,121,7681
7705,,,,,,,True,5,25,145,145,7705
7729,,,,,,,True,59,49,169,169,7729
7753,7,8,20,1940,7520410,3008164,True,,73,193,193,7753
7777,,,,,,,True,7,97,217,217,7777
7801,,,,,,,True,29,1,241,241,7801
7825,,,,,,,True,5,25,265,265,7825
7849,,,,,,,True,47,49,289,289,7849
7873,3,1,11,1969,62007748,5637068,True,,73,313,313,7873
7897,,,,,,,True,53,97,337,337,7897
7921,,,,,,,True,89,1,361,361,7921
7945,,,,,,,True,5,25,385,385,7945
7969,,,,,,,True,13,49,409,409,7969
7993,7,8,20,2000,7993000,3197200,True,,73,433,433,7993
8017,3,2,10,2005,32148170,6429634,True,,97,457,457,8017
8041,,,,,,,True,11,1,481,481,8041
8065,,,,,,,True,5,25,505,505,8065
8089,31,8,116,2030,8210335,566230,True,,49,529,529,8089
8113,,,,,,,True,7,73,553,553,8113
8137,,,,,,,True,79,97,577,577,8137
8161,15,4,56,2044,16681084,1191506,True,,1,601,601,8161
8185,,,,,,,True,5,25,625,625,8185
8209,7,2,26,2054,33722572,2594044,True,,49,649,649,8209
8233,7,8,20,2060,8479990,3391996,True,,73,673,673,8233
8257,,,,,,,True,23,97,697,697,8257
8281,,,,,,,True,7,1,721,721,8281
8305,,,,,,,True,5,25,745,745,8305
8329,15,4,56,2086,17374294,1241021,True,,49,769,769,8329
8353,7,8,20,2090,8728885,3491554,True,,73,793,793,8353
8377,3,2,10,2095,35099630,7019926,True,,97,817,817,8377
8401,,,,,,,True,31,1,1,841,8401
8425,,,,,,,True,5,25,25,865,8425
8449,,,,,,,True,7,49,49,889,8449
8473,,,,,,,True,37,73,73,913,8473
8497,,,,,,,True,29,97,97,937,8497
8521,7,2,26,2132,36333544,2794888,True,,1,121,961,8521
8545,,,,,,,True,5,25,145,985,8545
8569,,,,,,,True,11,49,169,1009,8569
8593,,,,,,,True,13,73,193,1033,8593
8617,,,,,,,True,7,97,217,1057,8617
8641,11,2,42,2163,37380966,1780046,True,,1,241,1081,8641
8665,,,,,,,True,5,25,265,1105,8665
8689,11,15,29,2175,5039620,2606700,True,,49,289,1129,8689
8713,7,8,20,2180,9497170,3798868,True,,73,313,1153,8713
8737,3,2,10,2185,38180690,7636138,True,,97,337,1177,8737
8761,11,1,43,2193,76851492,1787244,True,,1,361,1201,8761
8785,,,,,,,True,5,25,385,1225,8785
8809,,,,,,,True,23,49,409,1249,8809
8833,,,,,,,True,11,73,433,1273,8833
8857,,,,,,,True,17,97,457,1297,8857
8881,,,,,,,True,83,1,481,1321,8881
8905,,,,,,,True,5,25,505,1345,8905
8929,3,1,11,2233,79753828,7250348,True,,49,529,1369,8929
8953,,,,,,,True,7,73,553,1393,8953
8977,,,,,,,True,47,97,577,1417,8977
9001,15,4,56,2254,20288254,1449161,True,,1,601,1441,9001
9025,,,,,,,True,5,25,625,1465,9025
9049,23,8,84,2268,10261566,977292,True,,49,649,1489,9049
9073,,,,,,,True,43,73,673,1513,9073
9097,,,,,,,True,11,97,697,1537,9097
9121,,,,,,,True,7,1,721,1561,9121
9145,,,,,,,True,5,25,745,1585,9145
9169,,,,,,,True,53,49,769,1609,9169
9193,,,,,,,True,29,73,793,1633,9193
9217,,,,,,,True,13,97,817,1657,9217
9241,15,8,52,2314,10691837,1644898,True,,1,1,1681,9241
9265,,,,,,,True,5,25,25,1705,9265
9289,,,,,,,True,7,49,49,1729,9289
9313,,,,,,,True,67,73,73,1753,9313
9337,3,2,10,2335,43603790,8720758,True,,97,97,1777,9337
9361,,,,,,,True,11,1,121,1801,9361
9385,,,,,,,True,5,25,145,1825,9385
9409,,,,,,,True,97,49,169,1849,9409
9433,7,8,20,2360,11130940,4452376,True,,73,193,1873,9433
9457,,,,,,,True,7,97,217,1897,9457
9481,,,,,,,True,19,1,241,1921,9481
9505,,,,,,,True,5,25,265,1945,9505
9529,,,,,,,True,13,49,289,1969,9529
9553,,,,,,,True,41,73,313,1993,9553
9577,,,,,,,True,61,97,337,2017,9577
9601,19,2,74,2405,46180810,1248130,True,,1,361,2041,9601
9625,,,,,,,True,5,25,385,2065,9625
9649,11,2,42,2415,46604670,2219270,True,,49,409,2089,9649
9673,,,,,,,True,17,73,433,2113,9673
9697,3,2,10,2425,47030450,9406090,True,,97,457,2137,9697
9721,3,1,11,2431,94527004,8593364,True,,1,481,2161,9721
9745,,,,,,,True,5,25,505,2185,9745
9769,7,2,26,2444,47750872,3673144,True,,49,529,2209,9769
9793,,,,,,,True,7,73,553,2233,9793
9817,3,2,10,2455,48201470,9640294,True,,97,577,2257,9817
9841,,,,,,,True,13,1,601,2281,9841
9865,,,,,,,True,5,25,625,2305,9865
9889,,,,,,,True,11,49,649,2329,9889
9913,,,,,,,True,23,73,673,2353,9913
9937,,,,,,,True,19,97,697,2377,9937
9961,,,,,,,True,7,1,721,2401,9961
9985,,,,,,,True,5,25,745,2425,9985
10009,15,4,56,2506,25082554,1791611,True,,49,769,2449,10009
10033,,,,,,,True,79,73,793,2473,10033
10057,,,,,,,True,89,97,817,2497,10057
10081,,,,,,,True,17,1,1,1,10081
10105,,,,,,,True,5,25,25,25,10105
10129,,,,,,,True,7,49,49,49,10129
10153,,,,,,,True,11,73,73,73,10153
10177,3,2,10,2545,51800930,10360186,True,,97,97,97,10177
10201,,,,,,,True,101,1,121,121,10201
10225,,,,,,,True,5,25,145,145,10225
10249,,,,,,,True,37,49,169,169,10249
10273,7,8,20,2570,13200805,5280322,True,,73,193,193,10273
10297,,,,,,,True,7,97,217,217,10297
10321,11,2,42,2583,53318286,2538966,True,,1,241,241,10321
10345,,,,,,,True,5,25,265,265,10345
10369,15,1,59,2596,107671696,1824944,True,,49,289,289,10369
10393,,,,,,,True,19,73,313,313,10393
10417,,,,,,,True,11,97,337,337,10417
10441,,,,,,,True,53,1,361,361,10441
10465,,,,,,,True,5,25,385,385,10465
10489,,,,,,,True,17,49,409,409,10489
10513,3,1,11,2629,110554708,10050428,True,,73,433,433,10513
10537,,,,,,,True,41,97,457,457,10537
10561,,,,,,,True,59,1,481,481,10561
10585,,,,,,,True,5,25,505,505,10585
10609,,,,,,,True,103,49,529,529,10609
10633,,,,,,,True,7,73,553,553,10633
10657,3,2,10,2665,56801810,11360362,True,,97,577,577,10657
10681,,,,,,,True,11,1,601,601,10681
10705,,,,,,,True,5,25,625,625,10705
10729,23,8,84,2688,14419776,1373312,True,,49,649,649,10729
10753,7,8,20,2690,14462785,5785114,True,,73,673,673,10753
10777,,,,,,,True,13,97,697,697,10777
10801,,,,,,,True,7,1,721,721,10801
10825,,,,,,,True,5,25,745,745,10825
10849,,,,,,,True,19,49,769,769,10849
10873,,,,,,,True,83,73,793,793,10873
10897,,,,,,,True,17,97,817,817,10897
10921,,,,,,,True,67,1,1,841,10921
10945,,,,,,,True,5,25,25,865,10945
10969,,,,,,,True,7,49,49,889,10969
10993,7,8,20,2750,15115375,6046150,True,,73,73,913,10993
11017,,,,,,,True,23,97,97,937,11017
11041,,,,,,,True,61,1,121,961,11041
11065,,,,,,,True,5,25,145,985,11065
11089,,,,,,,True,13,49,169,1009,11089
11113,7,8,20,2780,15447070,6178828,True,,73,193,1033,11113
11137,,,,,,,True,7,97,217,1057,11137
11161,11,2,42,2793,62345346,2968826,True,,1,241,1081,11161
11185,,,,,,,True,5,25,265,1105,11185
11209,,,,,,,True,11,49,289,1129,11209
11233,,,,,,,True,47,73,313,1153,11233
11257,3,2,10,2815,63376910,12675382,True,,97,337,1177,11257
11281,,,,,,,True,29,1,361,1201,11281
11305,,,,,,,True,5,25,385,1225,11305
11329,7,2,26,2834,64212772,4939444,True,,49,409,1249,11329
11353,7,8,20,2840,16121260,6448504,True,,73,433,1273,11353
11377,,,,,,,True,31,97,457,1297,11377
11401,,,,,,,True,13,1,481,1321,11401
11425,,,,,,,True,5,25,505,1345,11425
11449,,,,,,,True,107,49,529,1369,11449
11473,,,,,,,True,7,73,553,1393,11473
11497,3,2,10,2875,66107750,13221550,True,,97,577,1417,11497
11521,,,,,,,True,41,1,601,1441,11521
11545,,,,,,,True,5,25,625,1465,11545
11569,,,,,,,True,23,49,649,1489,11569
11593,7,8,20,2900,16809850,6723940,True,,73,673,1513,11593
11617,3,2,10,2905,67494770,13498954,True,,97,697,1537,11617
11641,,,,,,,True,7,1,721,1561,11641
11665,,,,,,,True,5,25,745,1585,11665
11689,11,5,39,2925,27352260,3506700,True,,49,769,1609,11689
11713,,,,,,,True,13,73,793,1633,11713
11737,,,,,,,True,11,97,817,1657,11737
11761,,,,,,,True,19,1,1,1681,11761
11785,,,,,,,True,5,25,25,1705,11785
11809,,,,,,,True,7,49,49,1729,11809
11833,3,1,11,2959,140055388,12732308,True,,73,73,1753,11833
11857,,,,,,,True,71,97,97,1777,11857
11881,,,,,,,True,109,1,121,1801,11881
11905,,,,,,,True,5,25,145,1825,11905
11929,,,,,,,True,79,49,169,1849,11929
11953,7,2,26,2990,71478940,5498380,True,,73,193,1873,11953
11977,,,,,,,True,7,97,217,1897,11977
12001,,,,,,,True,11,1,241,1921,12001
12025,,,,,,,True,5,25,265,1945,12025
12049,15,2,58,3016,72679568,2506192,True,,49,289,1969,12049
12073,7,8,20,3020,18230230,7292092,True,,73,313,1993,12073
12097,3,1,11,3025,146373700,13306700,True,,97,337,2017,12097
12121,,,,,,,True,17,1,361,2041,12121
12145,,,,,,,True,5,25,385,2065,12145
12169,,,,,,,True,43,49,409,2089,12169
12193,,,,,,,True,89,73,433,2113,12193
12217,,,,,,,True,19,97,457,2137,12217
12241,23,8,84,3066,18765453,1787186,True,,1,481,2161,12241
12265,,,,,,,True,5,25,505,2185,12265
12289,11,3,41,3075,50384900,3686700,True,,49,529,2209,12289
12313,,,,,,,True,7,73,553,2233,12313
12337,,,,,,,True,13,97,577,2257,12337
12361,,,,,,,True,47,1,601,2281,12361
12385,,,,,,,True,5,25,625,2305,12385
12409,23,8,84,3108,19283586,1836532,True,,49,649,2329,12409
12433,7,8,20,3110,19333315,7733326,True,,73,673,2353,12433
12457,3,2,10,3115,77607110,15521422,True,,97,697,2377,12457
12481,,,,,,,True,7,1,721,2401,12481
12505,,,,,,,True,5,25,745,2425,12505
12529,,,,,,,True,11,49,769,2449,12529
12553,7,8,20,3140,19708210,7883284,True,,73,793,2473,12553
12577,3,2,10,3145,79109330,15821866,True,,97,817,2497,12577
12601,47,2,186,3162,79688724,856868,True,,1,1,1,12601
12625,,,,,,,True,5,25,25,25,12625
12649,,,,,,,True,7,49,49,49,12649
12673,,,,,,,True,19,73,73,73,12673
12697,3,2,10,3175,80625950,16125190,True,,97,97,97,12697
12721,39,11,145,3190,14756360,1119448,True,,1,121,121,12721
12745,,,,,,,True,5,25,145,145,12745
12769,,,,,,,True,113,49,169,169,12769
12793,,,,,,,True,11,73,193,193,12793
12817,,,,,,,True,7,97,217,217,12817
12841,11,2,42,3213,82516266,3929346,True,,1,241,241,12841
12865,,,,,,,True,5,25,265,265,12865
12889,3,1,11,3223,166164988,15105908,True,,49,289,289,12889
12913,,,,,,,True,37,73,313,313,12913
12937,,,,,,,True,17,97,337,337,12937
12961,,,,,,,True,13,1,361,361,12961
12985,,,,,,,True,5,25,385,385,12985
13009,11,2,42,3255,84688590,4032790,True,,49,409,409,13009
13033,7,8,20,3260,21243790,8497516,True,,73,433,433,13033
13057,,,,,,,True,11,97,457,457,13057
13081,,,,,,,True,103,1,481,481,13081
13105,,,,,,,True,5,25,505,505,13105
13129,,,,,,,True,19,49,529,529,13129
13153,,,,,,,True,7,73,553,553,13153
