n,d,a,b,x,y,z,verified,covered_by_divisor,n_mod_120,n_mod_840,n_mod_2520,n_mod_27720
489193,,,,,,,True,19,73,313,313,17953
489217,3,2,10,122305,119667370370,23933474074,True,,97,337,337,17977
489241,47,74,114,122322,3234861492,2099822372,True,,1,361,361,18001
489265,,,,,,,True,5,25,385,385,18025
489289,,,,,,,True,379,49,409,409,18049
489313,,,,,,,True,11,73,433,433,18073
489337,3,2,10,122335,119726083790,23945216758,True,,97,457,457,18097
489361,23,8,84,122346,29935680453,2851017186,True,,1,481,481,18121
489385,,,,,,,True,5,25,505,505,18145
489409,3,1,11,122353,239522637508,21774785228,True,,49,529,529,18169
489433,,,,,,,True,7,73,553,553,18193
489457,3,2,10,122365,119784811610,23956962322,True,,97,577,577,18217
489481,,,,,,,True,17,1,601,601,18241
489505,,,,,,,True,5,25,625,625,18265
489529,11,3,41,122385,79881342220,5844976260,True,,49,649,649,18289
489553,7,8,20,122390,29958195835,11983278334,True,,73,673,673,18313
489577,,,,,,,True,11,97,697,697,18337
489601,,,,,,,True,7,1,721,721,18361
489625,,,,,,,True,5,25,745,745,18385
489649,,,,,,,True,19,49,769,769,18409
489673,3,1,11,122419,239781115948,21798283268,True,,73,793,793,18433
489697,,,,,,,True,13,97,817,817,18457
489721,,,,,,,True,79,1,1,841,18481
489745,,,,,,,True,5,25,25,865,18505
489769,,,,,,,True,7,49,49,889,18529
489793,7,8,20,122450,29987576425,11995030570,True,,73,73,913,18553
489817,3,2,10,122455,119961081470,23992216294,True,,97,97,937,18577
489841,,,,,,,True,11,1,121,961,18601
489865,,,,,,,True,5,25,145,985,18625
489889,,,,,,,True,17,49,169,1009,18649
489913,7,8,20,122480,30002272120,12000908848,True,,73,193,1033,18673
489937,,,,,,,True,7,97,217,1057,18697
489961,11,2,42,122493,120033585546,5715885026,True,,1,241,1081,18721
