focus_r,d,a,b,missing_prime,count,avg_lift_ratio,example_residues
529,39,8,148,37,891,37,25345849;47568049;60901369;65345809;83123569
361,31,62,62,31,884,31,11652001;33994321;48889201;52612921;63784081
529,31,62,62,31,880,31,32072569;35796289;99099529;113994409;125165569
289,35,2,138,23,873,23,15375649;20901169;26426689;31952209;310990969
361,47,4,184,23,858,23,14655001;22943281;25706041;36757081;39519841
961,23,6,86,43,853,43,14295241;19460401;24625561;34955881;40121041
841,39,46,110,23,835,23,18499321;48889681;73754521;79280041;93093841
529,27,1,107,107,834,107,15736249;43243729;68949409;80000449;105706129
841,39,1,155,31,829,31,32313121;36036841;43484281;76997761;88168921
361,31,56,68,17,815,17,19459801;21501841;33754081;43964281;46006321
961,27,26,82,41,812,41,12853801;17778721;22703641;47328241;52253161
841,35,6,134,67,804,67,20541361;28589401;29670481;36637441;61862641
961,47,2,186,31,800,31,25706641;33154081;36877801;48048961;59220121
289,47,2,186,31,798,31,11051329;14775049;22222489;33393649;271711729
529,47,2,186,31,787,31,27988489;31712209;57778249;72673129;106186609
361,39,1,155,31,783,31,65465761;84084361;95255521;128769001;132492721
841,47,4,184,23,779,23,21982801;52373161;68949721;71712481;74475241
289,47,4,184,23,765,23,13693969;16456729;21982249;24745009;35796049
529,43,26,146,73,759,73,97898329;121802209;124204609;150510889;168048409
961,47,4,184,23,759,23,13454401;18979921;24505441;30030961;32793721
289,39,8,148,37,758,37,21021289;5354349289;8225457529;9661011649;15403228129
289,27,1,107,107,754,107,10330609;12132409;36036289;37838089;1940058409
361,27,1,107,107,724,107,44084401;56937241;58739041;69790081;95495761
841,27,7,101,101,720,101,33033841;57298081;63664441;69430201;75796561
841,23,16,76,19,718,19,21141961;30271081;48529321;57658441;66787561
289,27,2,106,53,715,53,35315569;1862460889;8031463729;12144132289;26538472249
289,47,14,174,29,712,29,21621889;892491889;4267984009;7643476129;11018968249
361,59,6,230,23,711,23,12973321;18498841;57177481;79279561;93093361
361,39,40,116,29,702,29,17778121;21261601;35195521;66546841;76997281
841,27,1,107,107,695,107,16337161;18138961;29190001;43844641;56697481
361,39,8,148,37,694,37,16096441;69429721;91651921;100540801;109429681
361,35,11,129,43,694,43,17658001;27988321;48648961;58979281;64144441
361,35,66,74,37,683,37,15135481;24024361;41802121;59579881;72913201
289,47,42,146,73,677,73,17297569;34835089;35675929;815254729;3647564209
961,27,1,107,107,677,107,12613561;14415361;64024921;65826721;76877761
841,47,2,186,31,676,31,26547361;33994801;56337121;78679441;97298041
961,39,10,146,73,672,73,36036961;39160081;74235121;106187041;114955801
841,39,8,148,37,666,37,42523321;51412201;95856601;100301041;104745481
361,47,2,186,31,663,31,15015361;22462801;33633961;55976281;59700001
529,47,24,164,41,656,41,38438929;48288769;97537969;112312729;117237649
361,39,10,146,73,645,73,14294641;43724041;49369681;66907201;93213481
841,59,6,230,23,642,23,17538361;23063881;36877681;50691481;53454241
961,39,8,148,37,640,37,22463401;49130041;53574481;115796641;129129961
961,59,6,230,23,635,23,39400321;47688601;86367241;113994841;116757601
289,63,4,248,31,630,31,6967249;10690969;14414689;77717929;4888764169
529,59,14,222,37,630,37,30150649;34595089;39039529;96817249;114595009
289,47,24,164,41,614,41,15856129;25705969;15209234329;21572230969;29525976769
361,39,20,136,17,609,17,13814161;15856201;17898241;21982321;40360681
529,63,4,248,31,589,31,53694169;98378809;120721129;161682049;169129489
841,11,17,27,3,570,95.4947368421,65466241;71952721;83844601;102222961;108709441
961,63,4,248,31,557,31,36517441;55136041;92373241;99820681;125886721
361,55,104,116,29,550,29,9850201;27267601;58618921;79519801;103904161
529,35,1,139,139,539,139,89009449;122402809;58427209369;63875372089;89988979609
841,71,8,276,23,531,23,37958761;54535321;95976721;101502241;109790521
529,35,3,137,137,528,137,50571049;111712129;116396809;9957347929;20665805689
961,47,24,164,41,526,41,22943881;52493401;72193081;82042921;111592441
529,23,16,76,19,525,19,23904409;28468969;33033529;74114569;78679129
289,35,1,139,139,519,139,23423689;2444442289;7837469929;9311822809;18623525209
529,51,2,202,101,515,101,44324809;146667049;86983096729;105957732409;43773770569
289,71,8,276,23,513,23,7567849;35195449;37958209;2250928969;3143300449
361,35,3,137,137,513,137,54414721;70871161;115555801;148468681;164925121
361,71,8,276,23,508,23,14054401;22342681;102462721;116276521;163243441
361,35,22,118,59,499,59,26066401;47327641;68588881;75675961;104024281
289,51,2,202,101,498,101,9249529;26666929;232912969;931290649;4151587729
961,71,8,276,23,496,23,23904841;43244161;46006921;51532441;54295201
289,35,3,137,137,492,137,27868129;32552809;8535847609;19166707849;24404540449
529,51,10,194,97,491,97,22462969;51411889;74715169;86366809;87922435129
961,35,1,139,139,491,139,20061001;36757681;58499401;91892761;103544401
361,35,1,139,139,480,139,39760081;44805121;56456761;73153441;144985201
529,55,8,212,53,475,53,14174689;52372849;58739209;71471929;166967329
841,63,4,248,31,474,31,29910721;70871641;74595361;100661401;111832561
289,55,8,212,53,466,53,5645929;12012289;31111369;13928875249;34492218049
529,31,35,89,89,459,89,52132609;62823289;73513969;105586009;126967369
841,35,1,139,139,458,139,20661481;87448201;104144881;109189921;120841561
841,47,24,164,41,456,41,21502321;36277081;75676441;115075801;129850561
361,47,24,164,41,453,41,45285601;74835121;79760041;84684961;99459721
289,63,88,164,41,451,41,16024008289;22387004929;27159252409;28750001569;31931499889
529,47,47,141,47,451,47,22703209;79159609;90450889;135616009;152552929
529,55,2,218,109,448,109,27147649;69670129;95856289;122042449;135135529
961,95,6,374,17,442,17,28709641;43003921;47088001;71592481;92012881
961,35,3,137,137,441,137,45406321;83003881;99460321;127688521;132373201
289,51,10,194,97,434,97,1280479489;2987624929;10514584369;16334398369;18041543809
961,47,47,141,47,433,47,32673601;83484361;123003841;529489921;37858461601
289,55,2,218,109,432,109,9079030249;38682484129;42911548969;89431262209;93660327049
361,11,17,27,3,431,81.3341067285,20300641;26787121;38679001;45165481;75435721
841,35,3,137,137,429,137,24625441;41081881;52853641;57538321;106907641
289,75,1,299,23,428,23,18979249;5936811169;7721554129;9506297089;10398668569
961,59,1,235,47,423,47,27148081;44085001;49730641;77958841;123123961
361,59,14,222,37,422,37,20901241;65345641;140901121;149790001;158678881
529,87,7,341,31,420,31,66186649;129489889;3194111449;9018009529;14841907609
841,55,56,164,41,414,41,57057841;61982761;66907681;71832601;76757521
289,75,13,287,41,405,41,1125284449;5897531929;20214274369;42484762609;44075511769
961,51,2,202,101,403,101,39520441;51652561;56937841;69069961;93334201
361,63,4,248,31,401,31,22102441;40721041;51892201;81681961;89129401
361,23,18,74,37,400,77.145,21141481;34474801;61141441;74474761;101141401
529,95,3,377,29,400,29,18258769;126246649;136697089;178498849;21417276409
841,11,17,27,17,398,133.266331658,65466241;71952721;83844601;102222961;108709441
529,71,2,282,47,393,47,39880369;45526009;62462929;90691129;96336769
529,71,120,164,41,391,41,21982489;41682169;59554415449;74959565209;98067289849
529,63,8,244,61,389,61,64144609;93453889;108108529;38701102969;27241174489
529,47,16,172,43,386,43,35075569;138378769;179700049;20478778849;28557089089
529,95,8,372,31,382,31,19459969;30631129;56697169;112552969;160961329
841,39,22,134,67,379,67,33754561;65946721;106186921;138379081;146427121
289,63,8,244,61,372,61,11368157089;20835054529;32668676329;58702644289;63436093009
289,47,47,141,47,371,47,31591849;2560838569;6207922009;9855005449;20796255769
361,31,32,92,23,371,23,38078401;49129441;93333601;115435681;126486721
289,23,18,74,37,369,95.1571815718,17177449;4617172849;13230497569;26150484649;39070471729
361,47,47,141,47,369,47,26667001;54895201;83123401;88769041;150871081
529,23,9,83,83,369,178.371273713,19219729;32192689;62102569;138859249;38513235289
961,23,38,54,3,368,9,86967841;128048881;6618853201;10192903681;14958304321
361,51,2,202,101,367,101,42042361;66306601;158078281;4683359041;39720921601
841,23,9,83,83,367,217.790190736,16577401;33514321;76397161;123243961;136216921
961,39,5,151,151,366,151,31352281;76997881;85766641;103904761;131412241
361,55,26,194,97,365,97,99820081;111471721;146426641;165765961;92450718721
529,87,4,344,43,363,43,49850329;111832249;153153529;168649009;107836409209
289,47,21,167,167,359,167,12372649;3763600129;7294287289;33211858969;59129430649
361,39,5,151,151,358,151,50450761;96096361;114234481;150510721;159279481
289,71,120,164,41,354,41,14174449;1319278249;2910027409;12454522369;14045271529
361,23,9,83,83,353,168.586402266,10691041;27627961;70510801;87447721;117357601
841,23,18,74,37,351,97.5071225071,47568361;60901681;74235001;127568281;140901601
361,59,21,215,43,350,43,13093441;23423761;28588921;38919241;111231481
529,23,18,74,37,349,79.1948424069,43724209;97057489;137057449;163724089;29683694569
289,71,2,282,47,344,47,14895169;31832089;5587141849;21999017329;27469642489
841,55,8,212,53,344,53,56457241;62823601;81922681;94655401;120120841
841,39,5,151,151,343,151,30030841;120721441;165766441;175135801;211412041
289,47,16,172,43,341,67.9677419355,8408689;29069329;10359389329;23706162769;33716242849
361,55,8,212,53,341,53,13934281;58498801;90330601;122162401;134895121
289,95,8,372,31,339,31,17417689;21141409;6906299689;18933915289;22542199969
289,47,7,181,181,338,181,16937209;4849965409;11872540969;12105333529;18895116529
961,11,17,27,3,338,103.224852071,21622561;40000921;58379281;76757641;95136001
361,59,1,235,47,335,47,15495841;71952241;150991201;16478182081;106153527841
361,55,2,218,109,334,109,24144481;40480801;50330641;105946201;31568617441
841,55,14,206,103,334,103,22102921;40961761;96337081;121081801;133454161
841,83,66,266,19,334,19,44925721;63183961;79159921;92853601;95135881
289,23,9,83,83,331,213.894259819,4500776569;14161667809;24288144169;33949035409;62466124009
961,95,8,372,31,329,31,102823681;117718561;18929952001;31240570321;72275964721
961,55,2,218,109,325,109,56817721;69910801;122283121;2515073521;13634341681
961,59,30,206,103,325,103,82163041;65259515281;76246411201;78893856001;119796878161
961,55,8,212,53,325,53,95736601;108469321;114835681;13369597201;111589799281
289,23,18,74,3,323,99.9659442724,17177449;4617172849;13230497569;26150484649;39070471729
841,59,1,235,47,322,47,54174961;71111881;144505201;150150841;155796481
961,23,9,83,83,321,206.07788162,40481401;57418321;100301161;10060291201;43020978961
529,71,40,244,61,319,61,60060529;126006409;3569846809;37949632249;72329417689
961,23,18,74,37,314,98.2738853503,40841761;54175081;67508401;94175041;120841681
841,47,36,152,3,313,40.6102236422,19700521;95015761;115556281;122403121;136096801
841,23,18,74,3,312,102.346153846,47568361;60901681;74235001;127568281;140901601
961,71,2,282,47,307,47,38559481;123244081;9133685521;77570133601;83791628881
961,47,42,146,73,307,73,45646561;98259121;32034083041;51360430081;80349950641
961,59,10,226,113,304,113,26787721;88169041;118076039041;177908291521;194190077041
841,23,9,83,3,301,246.548172757,16577401;33514321;76397161;123243961;136216921
289,87,4,344,43,300,43,1552070809;33250657729;38255697769;39924044449;41592391129
529,71,30,254,127,298,127,24384889;100661089;178018369;44525001049;68384196409
961,23,18,74,3,297,97.5454545455,40841761;54175081;67508401;94175041;120841681
289,71,40,244,61,296,61,28708969;17343166129;26810063569;33910236649;52844031529
289,31,32,92,2,292,58.0547945205,6727009;28829089;194594689;7333566529;10903052449
961,31,32,92,2,284,46,12012961;23064001;34115041;56217121;78319201
961,31,32,92,23,284,46,12012961;23064001;34115041;56217121;78319201
841,55,2,218,109,282,109,34595401;47688481;77117881;116397121;204805441
361,95,8,372,31,280,31,47447761;77237521;121922161;129369601;40241281441
361,59,30,206,103,276,103,13213561;25826161;38198521;87687961;137177401
361,35,33,107,107,275,107,12132481;24985321;102102361;39547468321;132344973121
529,47,36,152,3,275,40.5054545455,13333849;61261729;88649089;122883289;170811169
529,47,72,116,29,275,57.0509090909,49009489;2818376089;19162864249;51851840569;3006484009
361,59,10,226,113,274,113,10931281;30991321;65225521;98859121;62096394721
841,95,68,312,17,274,17,25586401;48048841;58259041;68469241;117478201
361,47,16,172,43,273,43,51531841;72192481;82522801;123844081;4162999201
841,79,20,296,37,273,37,21021841;25466281;78799561;118799521;132132841
961,79,20,296,37,271,37,98739601;53743130401;78231994801;83129767681;97823086321
529,95,52,328,41,270,41,84324769;10333083289;64251107449;125871706489;611133923929
529,51,5,199,199,269,199,55015489;150631009;24986762329;29119851289;11648397289
841,31,32,92,2,268,42.552238806,26066881;81322081;103424161;125526241;136577281
361,59,70,166,83,266,83,127327561;138498721;158438641;37466028961;46138692961
961,47,21,167,167,266,167,37118041;77358241;117478321;60096997921;149183515441
961,47,16,172,43,265,43,25226161;107868721;23165142961;40241161921;63009187201
961,87,4,344,43,262,43,29670601;50331241;60661561;81322201;122643481
289,23,9,83,3,261,249,4500776569;14161667809;24288144169;33949035409;62466124009
361,79,20,296,37,261,37,52372681;56817121;65706001;96817081;172372561
361,23,38,54,3,260,3.06923076923,29429761;111591841;152672881;5205640801;13011038401
961,47,7,181,181,260,181,29070001;50811721;72553441;116036881;33887294401
841,95,8,372,31,255,31,66427201;118559281;189309961;207928561;260060641
361,71,2,282,47,253,47,26907241;83363641;60361861921;166341816001;313083290881
841,71,2,282,47,253,47,31712521;127688401;161562241;195436081;201081721
841,71,12,272,17,252,17,75195961;111952681;205886521;230391001;242643241
289,51,5,199,199,250,199,18739921489;23279376409;34181827969;38721282889;72786594169
361,11,17,27,17,250,135.456,20300641;26787121;38679001;45165481;75435721
289,71,30,254,127,249,127,5045329;24094150369;109141032289;118995917329;48731362969
529,95,4,376,47,249,47,11892409;96577009;107868289;113513929;186907249
841,31,32,92,23,248,45.9072580645,26066881;81322081;103424161;125526241;136577281
961,63,8,244,61,248,61,63424321;100060921;33622549921;49771963201;73996083121
361,23,18,74,3,246,98.2682926829,21141481;34474801;61141441;74474761;101141401
841,47,72,116,3,241,3,159159841;169610281;221862481;232312921;253213801
529,59,42,194,97,239,97,55495969;102102529;111969498169;39076838329;5636631529
961,11,17,27,17,239,142.330543933,21622561;40000921;58379281;76757641;95136001
961,23,9,83,3,238,249,40481401;57418321;100301161;30445856401;63406544161
841,47,36,152,19,234,54.4017094017,19700521;95015761;115556281;122403121;136096801
961,71,12,272,17,234,17,15015961;84445321;88529401;92613481;104865721
841,39,55,101,101,230,101,63904681;197358001;209490121;233754361;318679201
841,59,10,226,113,228,113,75436201;89009761;176937601;204084721;258378961
841,63,8,244,61,228,61,256577161;293213761;315195721;337177681;417778201
841,47,16,172,43,227,43,32553361;42883681;53214001;94535281;301141681
289,31,32,92,23,224,77.0089285714,6727009;28829089;194594689;7333566529;10903052449
361,59,35,201,67,224,67,51411721;75555841;147988201;114132378721;137375118241
529,35,18,122,61,224,130.714285714,12493009;56456929;16345089289;50724874729;119484445609
841,83,3,329,47,223,47,31832641;172973641;291532081;342342841;364925401
961,95,4,376,47,219,47,21862801;92395824481;98617319761;117281805601;198161244241
529,23,18,74,3,217,102.041474654,43724209;97057489;137057449;163724089;19163705089
289,75,118,182,59,215,59,4539575329;9117829009;20563463209;22852590049;73213380529
289,95,12,368,2,213,26.1690140845,21689107729;28828079569;41321280289;46675509169;68092424689
