focus_r,d,a,b,missing_prime,count,avg_lift_ratio,example_residues
529,59,18,218,3,47,327,174174529;87923996689;149356728049;333654922129;50726556409
529,139,2,554,277,47,277,129441192409;96001586209;148040933569;69137348809;114601327369
529,59,19,217,31,47,209.085106383,32877445129;16534038049;49786857649;160440921169;293452199569
961,87,16,332,83,47,83,70511401;90451321;110391241;43419897481;230197128121
289,119,32,444,2,46,114.826086957,4684969;50671300969;8769120649;25995770089;335648793769
289,23,31,61,61,46,1254.47826087,100993292689;64716812449;356987871529;51020970289;845580896449
361,31,38,86,43,46,43,63183481;161321521;6245880001;21162862081;28621353121
361,63,116,136,29,46,200.47826087,75799444081;273709876801;359222343841;439878839761;154027954441
361,119,120,356,89,46,89,155241286561;37119963241;236244568921;481681200361;574305251881
529,143,224,348,29,46,29,98068370929;185238974449;246297411889;311675364529;338916178129
841,55,68,152,17,46,143.391304348,76277041;231472081;309069601;425465881;196824789001
841,39,25,131,5,46,655,311832361;353874361;21869768761;141896675761;276673117561
961,35,47,93,47,46,1181.13043478,15736681;55331597281;91734684001;180292193041;373158546721
961,15,17,43,17,46,575.782608696,38199121;104178155041;297706369921;394470477361;587998692241
961,79,32,284,71,46,120.391304348,50211121;33754922161;146536070641;240520361041;99015157201
961,119,5,471,157,46,157,38387950561;59170392241;273482250001;439741783441;287117191321
961,79,68,248,31,46,203.52173913,64333630321;128269902721;267790243681;546830925601;190750200601
289,19,29,47,29,45,1096.2,37237489;93854320849;32785432969;41786745289;56685589249
289,143,24,548,137,45,137,7915067449;103592809609;114223669849;427387249;73214221369
289,167,12,656,41,45,61.9555555556,98471373289;111197366569;264569225209;172305773929;56530754569
289,79,152,164,41,45,41,167999351809;875882728009;85280395489;50283913969;258672053929
361,71,72,212,3,45,155.533333333,107027281;228264636961;26712045721;103031969401;694855161361
361,143,14,558,31,45,66.8222222222,419236698241;44924640121;196349713921;341530109281;57413997001
529,111,1,443,443,45,443,48889369;58619089;120799279129;14842147849;64064320849
529,39,34,122,61,45,61,142342729;14467253329;60306967249;71766895729;163446323569
841,59,18,218,3,45,319.8,24505321;150542553001;160715876161;405346982881;111891780841
841,119,1,475,5,45,95,40481281;7629062281;33567174481;323462380081;468409982881
841,119,24,452,113,45,113,224024641;359760241;419076939121;100193294041;223780557841
841,95,1,379,379,45,379,237958561;386907361;477958321;787294829161;366184139161
841,159,16,620,31,45,31,340541041;385225681;213099006961;244631467921;214625732161
841,115,2,458,229,45,229,61539518881;250734524881;201910189321;39671072281;156137742601
961,15,2,58,1,45,1,13694641;14535481;17178121;18018961;24145081
961,119,30,446,223,45,223,129009841;56787691921;168113466481;282086445601;606795550321
289,111,5,439,439,44,439,15480825649;32513481289;69061913209;678862624729;489020292049
289,71,90,194,97,44,260.136363636,17731153729;40312032049;108054667009;187087741129;85823337889
289,63,64,188,2,44,303.818181818,86637751489;101226085249;45627822529;713665112449;100955094529
361,115,14,446,223,44,223,34835161;17866288801;70770139801;722607686161;130611761641
361,59,61,175,61,44,271.727272727,107988241;75799203841;181605704641;287412205441;393218706241
361,87,16,332,83,44,83,170330521;216817561321;60189489721;189759089881;18734396041
529,35,57,83,83,44,694.181818182,39159649;121321729;8266779049;154992277969;31187717089
529,27,47,61,61,44,2739.45454545,75195649;40016416969;91681350289;297960062929;27618591529
529,311,40,1204,43,44,43,80783463289;91867896649;278046088849;4886602249;161380619929
529,59,47,189,47,44,292.681818182,45464579689;124932608329;47344577809;285748663729;271470840169
529,87,32,316,79,44,79,63687744649;167578571689;178852073929;208535167369;505366101769
529,59,9,227,3,44,681,67633566529;178663365409;62561859889;173591658769;301529548849
529,23,19,73,73,44,640.409090909,300401622049;108776828689;548951043169;399032634529;57489432529
529,47,74,114,37,44,309.454545455,368973565489;129067138729;112347155449;170022653329;681586586209
961,59,9,227,3,44,681,28725497761;118870993201;209016488641;450331562641;540477058081
961,91,2,362,181,44,181,37991554561;259583164801;307501915681;571055045521;34947713761
361,95,36,344,3,43,123.139534884,35558042881;57933516001;169810881601;192186354721;159057018481
529,51,25,179,5,43,895,23544049;99219649;6012126649;43962238849;305850265249
529,111,5,439,439,43,439,79880329;45276471769;127750383289;65942997649;100698518449
529,311,14,1230,41,43,41,172612969;250240350889;20103764209;312801609649;57301684969
529,59,102,134,67,43,67,30247297609;80595835849;156118643209;44339415649;94687953889
529,63,116,136,29,43,29,24613549489;68198851249;84543339409;111784153009;117232315729
841,167,56,612,3,43,37.6046511628,91171921;228864997201;876806331241;146983277281;17293316881
841,83,134,198,67,43,176.069767442,412492921;436637041;889012685401;314817223561;181058798761
289,39,17,139,139,42,139,9489769;8808640129;46559833609;51952861249;62738916529
289,131,70,454,227,42,227,33405852769;56258322409;6441074929;113137785049;66890023489
289,27,47,61,47,42,2867,58392254209;77326049089;26810544049;43920797209;45744338929
289,87,32,316,79,42,242.642857143,73329776809;97850593129;66307561609;78567969769;6751585129
289,51,25,179,5,42,895,84542618449;223442179249;78490372249;105184039249;318693735649
289,51,25,179,179,42,895,84542618449;223442179249;78490372249;105184039249;318693735649
289,63,64,188,47,42,318.928571429,86637751489;101226085249;45627822529;713665112449;100955094529
289,95,48,332,2,42,166,30768017569;32203691809;128812604209;753550237729;379995776449
289,35,57,83,83,42,83,2137295449;15018483769;21187486609;21459077929;24679375009
361,95,1,379,379,42,379,32072401;197736859681;340835815681;406574608801;97307650801
361,71,68,216,3,42,73,44324641;12835663201;65912366881;7285398481;272668916881
361,155,2,618,103,42,103,88288561;295911416161;348108121;36079483801;768572685241
361,47,9,179,3,42,537,411604753921;5550745561;119336577721;44058454801;541002102001
529,27,47,61,47,42,2867,75195649;40016416969;91681350289;297960062929;27618591529
529,59,17,219,73,42,73,143543929;54106492969;108963855529;136392536809;177535558729
841,167,4,664,83,42,83,89129881;507868201;374830016401;205470305881;796449654841
841,19,17,59,17,42,1003,125045761;472312681;239037599641;305663238721;114942828841
841,55,98,122,7,42,427,417551535241;206488082641;254804430721;471971540881;345333469321
841,55,98,122,61,42,427,417551535241;206488082641;254804430721;471971540881;345333469321
961,23,31,61,61,42,1629.57142857,28857149281;422796935521;97295399161;70425035641;214048916041
961,99,10,386,193,42,193,12576084481;191410980721;153552880441;200545145761;353832199681
961,35,29,111,37,42,37,1723722961;6621495841;21314814481;50701451761;212327956801
289,63,68,184,23,41,23,6847129;2214292369;4891406809;12030378649;15599864569
289,119,48,428,107,41,161.804878049,21184243369;71001851209;120819459049;475712077129;367773926809
289,111,100,344,5,41,215,45317072089;62000538889;162101339689;53426373289;61768106689
289,111,100,344,43,41,215,45317072089;62000538889;162101339689;53426373289;61768106689
289,131,230,294,7,41,70.8536585366,403041639289;502987245049;253123230649;284240196529;53077304569
289,75,62,238,31,41,31,13154221369;14356982929;17965267609;19168029169;22776313849
361,35,34,106,53,41,321.87804878,36036361;243008165761;399289571041;216816960721;99389450521
361,167,132,536,67,41,67,94294561;259659680641;210920750401;84647002801;340317137521
529,59,89,147,7,41,623,77591034049;257568631849;905712488209;167392746049;248363956369
529,59,89,147,89,41,623,77591034049;257568631849;905712488209;167392746049;248363956369
841,59,45,191,191,41,554.365853659,157838521;205766401;226667281;263957574721;166310465161
961,51,83,121,83,41,892.756097561,122163001;477997360801;523136294641;598588951921;719444807041
961,27,34,74,17,41,420.024390244,154743870241;470716887601;87499493041;203854932241;53877304441
961,19,29,47,47,41,47,8747379601;17748691921;23970187201;39854856001;46076351281
289,215,48,812,29,40,42.775,8048329;497400223609;23396133049;32397445369;45899413849
289,191,12,752,47,40,79.9,27387649;11600949649;15248033089;44424700609;48071784049
289,215,56,804,67,40,67,8264256289;42717915529;46403917849;272552569;91255644769
361,119,5,471,157,40,157,147027241;165886081;28793605201;192186594961;301115254801
361,35,57,83,83,40,83,339796297201;685315230961;8673985681;486711225361;313951758481
529,83,18,314,157,40,345.4,40360849;122302220569;29120692129;265271086609;201396195529
529,95,96,284,71,40,71,70639449409;123993870529;137332475809;217364107489;216988852609
529,111,124,320,31,40,62,45653288209;127187861329;13152660049;24800456209;36448252369
841,35,34,106,53,40,519.4,40361161;256817401;365045521;281758157521;286844879161
961,27,47,61,47,40,2726,89130001;96457321;141638297761;178041384481;323121359521
961,27,47,61,61,40,2726.7,89130001;96457321;141638297761;178041384481;323121359521
961,51,83,121,11,40,913,122163001;477997360801;523136294641;598588951921;719444807041
961,79,95,221,17,40,17,26343518161;51097127041;69099751681;80351392081;120857297521
289,47,54,134,67,39,527.41025641,12803711209;59595015769;82990668049;39458819689;179832733369
289,71,45,239,239,39,606.692307692,59051833129;60099760009;62583000769;67937229649;214868253889
289,111,16,428,107,39,183.820512821,76162086289;92690838529;11717946529;460076417089;302320658929
289,79,32,284,71,39,229.384615385,86249763889;14200826929;58276218289;322728566449;12222210289
289,23,19,73,73,39,73,894173569;14861727169;17888030449;26190965089;312448216369
361,47,54,134,67,39,451.820512821,124444681;185768583361;198951272881;303543600721;245090686201
361,119,180,296,37,39,74.9487179487,211266215521;230519529601;18559741561;268852824601;134079626041
529,35,51,89,89,39,89,160480849;4885761409;38326208449;88486879009;121927326049
529,215,8,852,71,39,71,38701343209;164573769889;17661484369;77591394409;97130233729
529,207,4,824,103,39,103,15218483809;64064561089;165889083889;204589825969;417443907409
841,15,19,41,19,39,740.025641026,46727521;140301001;233874481;357029553721;753219668041
841,167,56,612,17,39,44.0256410256,91171921;146983277281;17293316881;169870461601;247684437841
841,59,17,219,17,39,17,107147881;4579215481;385003099321;21871210201;393649096681
841,59,45,191,3,39,573,157838521;205766401;226667281;263957574721;166310465161
841,35,29,111,37,39,37,250451041;379339801;508228561;10174885561;47810403481
961,35,47,93,31,39,1383.87179487,15736681;91734684001;180292193041;373158546721;455229335521
961,119,180,296,37,39,92.0256410256,52419408001;41566085521;188499271921;306045821041;438285688801
961,131,42,482,241,39,241,33358526161;399500622481;478129733041;206237632561;42097256161
961,35,57,83,83,39,83,17474938441;35742307561;46729203481;50435626201;79689891241
289,111,1,443,443,38,443,30418348249;60952972369;706331906569;87569282089;87453126049
289,111,124,320,2,38,144.631578947,95716661329;385660395409;683945262289;857142926929;655078984849
361,59,61,175,5,38,305,107988241;31395644641;126101255641;50996225641;134600946841
361,199,56,740,37,38,37,316031996641;277178702161;302849787601;161312151361;26365619641
361,159,52,584,73,38,73,28446578521;146395169281;361650689761;126621615481;227918331001
529,51,23,181,181,38,181,137898289;38142424849;106150525009;143348325649;177352375729
529,31,38,86,19,38,775,160360729;224503920169;57865528249;38139782209;345115571329
529,151,8,596,149,38,149,58803785569;117419342569;8832904609;400724885089;65193328729
529,47,51,137,137,38,137,99571792849;176785409329;202523281489;228261153649;305474770129
841,59,9,227,227,38,561.526315789,456937321;571653483241;237002646721;275147113081;333635342881
961,167,4,664,83,38,83,13334281;87100934881;13502690161;54539045521;87499733281
961,79,17,299,17,38,302.421052632,49508419921;204781057441;256538603281;515326332481;567083878321
289,71,90,194,3,37,291,17731153729;40312032049;108054667009;187087741129;85823337889
289,231,1,923,71,37,71,17653556209;42445963849;69993083449;20331511489;72671038729
289,131,35,489,163,37,163,108947038489;355629914929;153255582769;56336760769;473733820849
289,131,15,509,509,37,509,112982109529;125902096609;543663409;20292232249;52960788169
361,27,29,79,79,37,1872.51351351,410564034241;226183437841;9193985161;176923547161;222194853241
529,71,134,150,67,37,269.810810811,50450929;115539824929;178475497729;52040789329;177912134929
529,35,47,93,31,37,1457,107387809;63123901369;96376720969;83414451649;116667271249
529,111,200,244,61,37,272.027027027,11272421689;43585902889;67069963489;42083802289;49411122289
529,111,160,284,71,37,71,132823891729;25739794609;412559347729;425897953009;505929584689
841,35,57,83,83,37,890.567567568,95736481;359064146281;144440817361;598609972801;312275124001
841,119,32,444,37,37,65,123964681;84426102601;293457004681;554363410441;85954989961
841,79,32,284,71,37,130.486486486,125766481;159880561;193994641;257345929681;190721131441
841,167,12,656,41,37,41,303664201;490811161;211572882361;890029861561;4578494761
841,119,120,356,89,37,89,356637121;12715063201;277181105041;210556787281;216661165561
961,139,2,554,277,37,277,49639590961;100867647841;123106904881;68172785641;443315833921
961,143,24,548,137,37,137,69496147681;214576122721;21048388321;39183385201;93588375841
961,59,45,191,3,37,573,88690122481;164539416001;81807246481;233505833521;385204420561
961,111,16,428,107,37,107,209281233121;129593625121;228740432881;257068092241;35742187441
961,55,92,128,23,37,179.027027027,128667620041;250450080841;274806573001;299163065161;7150384201
289,95,96,284,71,36,226.805555556,6246720769;17265568609;86483036929;822767225569;80547187009
289,111,124,320,31,36,154.138888889,95716661329;776696209;385660395409;683945262289;857142926929
289,215,8,852,71,36,71,39381222169;64173629809;15364909849;73213861009;1164924049
361,143,28,544,17,36,17,101742001;109910161;14052959281;22899076561;55334839921
529,71,29,255,29,36,29,19700209;9021012529;19917337969;96191616049;101639778769
529,131,5,519,173,36,173,136216609;67445098249;6952305889;39266387689;234273039529
841,47,54,134,3,36,547.166666667,27988801;409922714041;126639754081;315326051881;456714018601
841,47,54,134,67,36,547.166666667,27988801;409922714041;126639754081;315326051881;456714018601
841,119,40,436,109,36,109,269670241;454678104721;992764413481;536562227041;60524024401
961,59,25,211,211,36,937.777777778,61817837041;82600999441;107089863841;23166224041;329210963041
961,159,280,356,89,36,89,87233307121;94118105041;211929398641;197368692481;17872175281
961,47,54,134,3,36,491.833333333,175525591201;103382960641;373555663441;453376124161;221592572161
961,47,54,134,67,36,495.055555556,175525591201;255346051921;103382960641;373555663441;453376124161
961,139,11,545,109,36,109,179099641681;51494484001;52685954281;182543121721;300354655561
961,155,2,618,103,36,103,213914261521;13370678281;194588635201;442654453201;116754118441
961,23,31,61,31,36,1891,97295399161;70425035641;214048916041;167189623561;42098697601
289,47,54,134,3,35,580.028571429,12803711209;59595015769;82990668049;39458819689;179832733369
289,35,29,111,37,35,836.2,119655496249;13580046769;846201436369;5975609929;89237748889
361,47,74,114,37,35,37,71351641;18733555201;44404640641;76493497441;102164582881
361,59,63,173,3,35,519,30874804321;300941561281;38334616681;64352608681;218379121321
361,59,18,218,3,35,327,32956243681;89675466241;203113911361;128876147761;242314592881
361,143,168,404,101,35,101,54811356961;212480388481;102684702481;434328334801;440746226281
361,95,48,332,83,35,83,165648002881;167382775921;39547948801;255497282401;30355645681
361,179,6,710,71,35,71,367721074081;416981805601;179351652841;534410997481;189065637121
361,63,68,184,23,35,117.628571429,379168990561;85860575161;221501040121;15785930521;133907734321
529,239,8,948,79,35,79,148041173809;122115914449;507996129169;226946200009;38703385249
529,43,23,149,149,35,149,31193362729;41338217449;171154784329;181299639049;209291923369
841,107,6,422,211,35,211,124445161;453934321;476997361;502342681;243614652121
841,83,134,198,3,35,201,412492921;436637041;314817223561;181058798761;589963615081
841,159,4,632,79,35,79,198858540721;315835360681;639806207881;138847069201;441457096921
961,59,18,218,3,35,299.228571429,69670561;108949801;229931783041;273217505521;489646117921
961,227,6,902,41,35,41,123604441;16415239801;141242262121;168511544161;136213918801
961,151,8,596,149,35,149,27136310161;46859773921;106030165201;8737289521;49508660161
961,35,17,123,17,35,483.285714286,18797579761;111061031041;427034048401;519297499681;77571575041
289,139,2,554,277,34,277,42096775009;106580314129;96531795649;64290026089;72088696969
289,111,160,284,71,34,183.764705882,69488699569;41515153969;85590545329;764801878129;110732622289
289,55,92,128,23,34,297.647058824,19632773449;62466604489;17731994569;32009938249;103399656649
361,47,54,134,3,34,508.411764706,124444681;185768583361;198951272881;303543600721;245090686201
361,79,41,275,41,34,185.705882353,395126692321;11795544121;82911388921;481854533521;517412455921
361,79,32,284,71,34,71,91410239281;288453165361;530594905201;62617955761;122112911281
361,79,41,275,5,34,181.470588235,173800787521;11795544121;82911388921;481854533521;517412455921
529,59,62,174,31,34,669.235294118,90090529;181293753169;39829630369;249866056969;8081193649
529,115,2,458,229,34,229,123604009;37011134689;123054532129;29309040289;160629749809
529,27,41,67,67,34,2431.70588235,146546929;41895093769;89238349729;63500717809;257192896489
529,351,40,1364,31,34,31,151471849;170772322249;35508193249;216049033729;167767280209
529,27,29,79,79,34,1835.58823529,127186780249;78341423689;97880263009;5825820529;436230675409
529,87,106,242,11,34,549.352941176,416503007449;115164089569;154240807249;451447957489;32878886569
529,15,19,41,19,34,667.235294118,120049490089;217553056249;144285021409;46594308289;558721964329
529,47,86,102,43,34,43,14657643529;38892574249;71205815209;79284125449;95440745929
841,63,68,184,23,34,207,40000801;133934641;274835401;18310132681;128165758561
841,51,46,158,79,34,1510.29411765,127328041;174954780841;285827102401;14750616721;178007630641
841,83,126,206,103,34,296.882352941,502222561;292947695881;269044296361;130708939201;263959256401
841,119,30,446,223,34,223,91037867761;46790824921;91546816201;349909801081;508080934201
961,95,96,284,71,34,129.470588235,164406323041;559140342721;4104261121;210869700001;72673561921
961,87,32,316,79,34,146.382352941,61818918121;82733732041;25417272841;234565412041;161496416041
961,103,188,224,47,34,85.7058823529,37992635641;261966465721;265805500921;8341734361;145214630521
961,35,58,82,41,34,41,363364682641;21447186721;26874448561;12449357881;28731143401
289,95,96,284,2,33,240.96969697,6246720769;17265568609;86483036929;822767225569;80547187009
289,87,32,316,2,33,287.272727273,73329776809;6751585129;104834850409;216924588169;842205404329
289,79,32,284,2,33,258.181818182,86249763889;12222210289;34259905969;100372993009;208582854769
289,131,210,314,157,33,157,3259216249;107473166089;113564571409;14046472729;148057389769
289,159,8,628,157,33,157,96143808049;96803867449;279546027049;50090520769;498138841489
289,71,38,246,41,33,41,3766963489;5357712649;8539210969;11720709289;19674455089
361,19,17,59,17,33,1003,124805041;181433572681;529380852361;52037666041;76147912201
361,59,9,227,3,33,681,148476128161;155240806081;96613837681;7286359441;132172721041
529,83,9,323,3,33,45.5454545455,79640089;78530732809;99947648329;110656106089;142781479369
529,143,36,536,67,33,140.090909091,39828309049;457835458609;22734272089;60495675769;595167213169
529,71,34,250,5,33,25,5263658929;85107422929;108590882929;136771034929;141467726929
529,51,89,115,89,33,89,6580654609;157062666289;173782889809;190503113329;43217614969
841,83,21,311,311,33,311,52012801;157662545881;315833438761;574196663881;732367556761
841,51,38,166,83,33,807.363636364,138138841;180041142121;347875448761;113416824361;197333977681
961,27,19,89,89,33,89,19855836961;31636966321;43418095681;66980354401;78761483761
961,215,6,854,61,33,61,185850625921;149316608401;88558470961;29917929001;5561917321
961,51,46,158,79,33,974.333333333,111723252601;490837468081;226093228321;119798800081;17872295401
289,51,19,185,37,32,37,1241680729;4112788969;8419451329;12726113689;27081654889
289,27,46,62,23,32,605.1875,103593290089;225809504209;27625678369;82952710129;34648614289
289,111,34,410,41,32,41,428348209;498332835289;277218702049;332894922649;417204628129
361,35,47,93,47,32,1324.8125,124366122241;85512827761;397903146001;378476498761;416115860521
529,111,200,244,5,32,305,11272421689;43585902889;67069963489;42083802289;180167147689
529,51,38,166,83,32,783.3125,25926100729;162694012009;123806243089;101074734289;9959269849
529,87,106,242,53,32,583,416503007449;115164089569;154240807249;451447957489;32878886569
529,147,2,586,293,32,293,49409800969;145035050689;480942943009;171712981969;446939133169
529,95,117,263,263,32,542.4375,49973404009;261889588489;47157911329;420826726849;131886475249
529,95,146,234,3,32,219,51101691169;463847224369;504990246289;32503151209;116104509049
841,63,64,188,2,32,141.75,67388161;473874241;178514777281;34076723521;57472255681
841,27,34,74,17,32,571.625,244084681;319640161;470751121;219203865721;287354908681
841,83,126,206,3,32,309,502222561;292947695881;269044296361;130708939201;263959256401
961,59,51,185,37,32,425.5,18379321;93934801;248067020161;31373903521;197898181441
961,79,32,284,2,32,142,50211121;33754922161;146536070641;240520361041;223975032241
961,191,12,752,47,32,47,33490177681;108148121041;156068313361;191014824961;222122301361
961,199,20,776,97,32,97,53875502641;135285150961;34020747721;146273007841;126814408681
961,111,1,443,443,32,443,197631755281;451787537161;57318382081;84191027881;208753305721
961,119,32,444,37,32,70.53125,15223889641;663904201;214974801001;44877193321;182014833961
289,47,49,139,7,31,973,1784863369;105688303009;1901740129;115155320569;879646207729
289,47,49,139,139,31,973,1784863369;105688303009;1901740129;115155320569;879646207729
289,39,62,94,47,31,911.193548387,22619797489;52029738049;108559531369;375107132689;168232144369
289,119,72,404,101,31,270.419354839,60642582289;49468899769;108249021169;65337712729;551447496889
289,119,92,384,2,31,121.35483871,64483659529;93039546889;121595434249;85745860489;794250136969
289,155,2,618,103,31,103,66035609929;94009515889;76589233009;92574322129;21495113929
289,107,186,242,11,31,277.129032258,76821665209;158415817849;388588489;13618965649;675875120209
289,59,23,213,71,31,877.193548387,4617533209;18740762329;55327993009;6092847049;263057154649
289,95,144,236,59,31,247.419354839,40351191169;7566359089;89974925329;60294234289;870645135649
361,107,39,389,389,31,389,260180040481;283076113681;202594152121;23070247561;60189850081
529,35,29,111,37,31,772.225806452,28829329;147477570769;169646437489;371228458129;85482077209
529,71,90,194,3,31,291,154835209;51853161889;164198274769;218867769649;124559395489
529,39,47,109,109,31,4799.51612903,57675978889;196135299889;412747215409;133764070969;51290760049
529,131,3,521,521,31,521,69511642729;67446419569;229200492049;32315884129;423081139009
529,59,114,122,61,31,486.032258065,82850248009;117794237089;1128648049;102201700129;421013393329
841,79,32,284,2,31,142,125766481;159880561;193994641;257345929681;190721131441
841,95,48,332,83,31,83,182463121;180040541521;132743051281;511641411121;680492653681
841,55,17,203,17,31,17,304985521;423423841;12208036681;211065975961;38146028761
961,59,25,211,5,31,1055,61817837041;82600999441;107089863841;23166224041;329210963041
961,131,1,523,523,31,523,71083893841;67378552201;315841366801;417238502641;53744812081
961,131,17,507,13,31,133.774193548,97824167401;185852427721;78631033441;39979300321;30714564841
289,71,45,239,3,30,717,59051833129;62583000769;67937229649;214868253889;799061183209
289,23,31,61,31,30,1891,100993292689;51020970289;845580896449;186467561569;772212441289
289,151,8,596,149,30,149,11795423929;46481515369;45783498049;51564513289;109374665689
361,55,92,128,2,30,92,92733001;122980297801;138937999561;170853403081;298515017161
361,55,92,128,23,30,92,92733001;122980297801;138937999561;170853403081;298515017161
361,87,32,316,79,30,79,120120361;220807467241;261915894601;357835558441;508566458761
361,167,4,664,83,30,83,143063281;65565940801;387495949201;273190357801;373966713481
361,159,4,632,79,30,79,24803939521;196696380241;22896554041;16652476201;158017259761
361,59,90,146,3,30,219,59494595521;97480863841;363384742081;27058952281;65045220601
361,27,29,79,29,30,2291,226183437841;9193985161;37814256841;389924415241;99043384801
529,27,41,67,41,30,2747,146546929;41895093769;63500717809;257192896489;51291841129
529,135,2,538,269,30,269,289692323449;31000209769;120989909569;184677413449;285750225289
529,131,131,393,131,30,131,9769720489;12964071649;170022292969;68574106129;111784393249
529,51,95,109,109,30,893.8,130568638729;166640074129;297960183049;202711509529;334031618449
529,155,6,614,307,30,307,90553423489;148228801249;380246106769;282743741809;299276337889
529,39,62,94,47,30,1363,189559931089;256065570289;465725901169;135830375209;48847999729
529,131,11,513,3,30,61.4,109340912209;205717032049;494845391569;36072877369;25740995809
529,87,164,184,41,30,41,24052829329;31755404209;116483727889;131888877649;208914626449
841,63,68,184,17,30,228.933333333,40000801;133934641;274835401;128165758561;92564833201
841,179,6,710,71,30,71,249009601;492822210721;555378904921;134777884081;279216898801
841,111,196,248,7,30,196,259700281;468228601;239545947481;194790556801;149018590561
961,167,12,656,41,30,41,91470299881;36271796521;90544414921;1590509881;131844794041
961,35,51,89,89,30,1038.33333333,3972369361;204251568481;404530767601;604809966721;48317310001
961,119,180,296,3,30,107.4,41566085521;188499271921;306045821041;438285688801;482365644721
289,215,48,812,2,29,38.6896551724,8048329;100178999209;82991508889;92807955529;160317797929
289,191,12,752,2,29,90.8275862069,27387649;5548823569;104020076449;52068897169;117717889
289,35,29,111,29,29,1001,119655496249;13580046769;846201436369;5975609929;89237748889
289,95,164,216,41,29,309.620689655,97850953489;798750793129;612633141409;784434050689;425894949769
289,35,47,93,47,29,922.172413793,596764448569;55793578129;112323371449;35152998169;177078862249
289,111,68,376,47,29,47,19827728209;554125452169;692714622889;333476904049;140181481729
289,71,29,255,29,29,29,20217397489;42720678289;672812540689;591800729809;508538590849
289,71,34,250,5,29,25,39383984929;43263860929;68483054929;338134436929;171299768929
361,63,64,188,2,29,94,85165441;82737335041;147955768321;339275216641;53425172161
361,63,64,188,47,29,94,85165441;82737335041;147955768321;339275216641;53425172161
361,119,116,360,29,29,63,113994241;145354209361;281168127601;296258562961;529554185521
361,35,29,111,37,29,930.103448276,157357561;21681780481;207797149921;7632905641;347254788241
361,95,96,284,71,29,71,6938251681;154720446241;191665994881;216296360641;290187457921
361,35,47,93,31,29,1457,124366122241;85512827761;397903146001;378476498761;416115860521
361,135,2,538,269,29,269,254282628961;164260616881;399637318441;550715485681;287933766481
361,143,24,548,137,29,137,197564487481;465376592041;242836153921;391832761681;439358960401
361,71,38,246,41,29,41,106328302441;134774640361;234336823081;262783161001;269894745481
361,59,19,217,31,29,31,2430508441;147610903801;20471931841;25848983521;74242448641
529,59,62,174,29,29,779,90090529;181293753169;108401934169;8081193649;176974237969
529,59,34,202,101,29,101,17284427689;74208334729;101639058049;120613693729;443182500289
529,39,47,109,47,29,5123,57675978889;196135299889;412747215409;133764070969;51290760049
529,123,1,491,491,29,491,163069747369;18412234369;99195577009;100510891009;372167796529
529,51,62,142,71,29,1833.75862069,83790187009;323322199729;236339824249;69513444529;149357448769
529,131,22,502,251,29,251,207970723489;476246491249;285185180809;37200443809;220935275089
529,143,16,556,139,29,139,20667127009;45278033329;123618855889;94499845969;381749528689
529,191,12,752,47,29,47,21042862369;29872643329;74021548129;36636120049;398657139409
529,175,2,698,349,29,349,40205365729;464786562769;131133923449;232207576129;903083421769
529,119,72,404,101,29,226.379310345,91493242369;60119580049;401663022289;515510836369;15970795369
529,71,38,246,41,29,473.620689655,603433030729;481319639329;164011968649;431725694929;358457660089
529,59,19,217,19,29,313.827586207,38891252929;105396892129;216050955649;99949089769;321257216809
529,31,23,101,101,29,101,8833264969;65757172009;78532174249;84731807689;122681079049
841,35,58,82,41,29,41,194715361;11192061721;73748395561;136304729401;219713174521
841,27,34,74,37,29,629,244084681;319640161;470751121;219203865721;103755092281
961,39,41,115,41,29,476.448275862,133034102161;121253693521;177777000361;552258067321;279836117521
961,179,6,710,71,29,71,208883395681;200943343561;276130775881;59438139721;400561882681
961,119,32,444,2,29,74,15223889641;663904201;214974801001;44877193321;182014833961
961,87,32,316,2,29,158,61818918121;82733732041;25417272841;234565412041;161496416041
961,31,23,101,101,29,1020.44827586,144683940361;143227965841;450728679361;15488994481;134359506241
961,83,18,314,157,29,351.896551724,119798079361;244492729441;133433020681;195780345721;1722882121
961,71,38,246,41,29,41,18534036481;61952131201;67379393041;89088440401;127079273281
289,87,136,212,53,28,53,3336813769;23900156569;25956490849;28012825129;32125493689
289,239,8,948,79,28,79,8575006729;6363957889;43145182369;113642529289;37014978289
289,95,164,216,3,28,316.714285714,97850953489;798750793129;612633141409;784434050689;425894949769
289,151,176,428,107,28,175.785714286,388647659689;14938483849;23241418489;31544353129;73059026329
289,131,3,521,521,28,521,28362494449;48576648409;26694508129;350120971489;19788689209
289,111,16,428,2,28,214,92690838529;11717946529;460076417089;302320658929;40739659249
289,103,146,266,73,28,73,23397214129;249981972529;139521902809;473734421449;530380611049
361,31,23,101,101,28,1688.14285714,29790121;26538472321;9019811161;32956363801;15437702641
361,139,2,554,277,28,277,19254275401;11102331601;376741965961;272496905041;448898890801
529,71,45,239,3,28,717,20781289;114223910329;218867048929;17662205089;154430356609
529,71,134,150,5,28,335,50450929;115539824929;178475497729;52040789329;177912134929
529,143,1,571,571,28,571,81922369;213982489249;231266796289;51290519809;70453743889
529,231,20,904,113,28,113,85165609;65754048889;39828549289;61057597129;118921683409
529,43,38,134,67,28,583.857142857,20102202649;213231018529;173779526449;167204277769;108027039649
529,27,29,79,29,28,2210.21428571,127186780249;78341423689;44903499169;475308354049;176035620289
