iteration,focus_r,active_before,active_after,d,a,b,q,fully_covered,partially_reduced,unknown_fullness,empty_after_application,validation_failures,score_full,score_partial,score_negative_q,score_coverage_ratio
1,361,60447,59910,79,44,272,2992,537,0,14085,0,0,537,14085,-2992,0.0
2,361,59910,59430,143,28,544,3808,480,0,7311,0,0,480,7311,-3808,0.0
3,361,59430,59013,479,56,1860,26040,417,0,48457,0,0,417,48457,-26040,0.0
4,361,59013,58664,159,116,520,15080,349,0,47628,0,0,349,47628,-15080,0.0
5,361,58664,58411,143,68,504,8568,253,0,20212,0,0,253,20212,-8568,0.0
6,361,58411,58190,159,16,620,2480,221,0,24229,0,0,221,24229,-2480,0.0
7,361,58190,58032,199,56,740,10360,158,0,52437,0,0,158,52437,-10360,0.0
8,361,58032,57874,143,224,348,19488,158,0,9953,0,0,158,9953,-19488,0.0
9,361,57874,57737,143,56,516,7224,137,0,51255,0,0,137,51255,-7224,0.0
10,361,57737,57610,255,28,992,6944,127,0,12348,0,0,127,12348,-6944,0.0
11,361,57610,57500,167,12,656,1968,110,0,22594,0,0,110,22594,-1968,0.0
12,361,57500,57413,159,260,376,24440,87,0,53036,0,0,87,53036,-24440,0.0
13,361,57413,57326,199,140,656,22960,87,0,22554,0,0,87,22554,-22960,0.0
14,361,57326,57246,143,8,564,1128,80,0,52949,0,0,80,52949,-1128,0.0
15,361,57246,57182,299,30,1166,34980,64,0,54023,0,0,64,54023,-34980,0.0
16,361,57182,57119,239,36,920,8280,63,0,34833,0,0,63,34833,-8280,0.0
17,361,57119,57059,143,14,558,7812,60,0,35200,0,0,60,35200,-7812,0.0
18,361,57059,57004,191,12,752,2256,55,0,27604,0,0,55,27604,-2256,0.0
19,361,57004,56952,239,16,940,3760,52,0,27604,0,0,52,27604,-3760,0.0
20,361,56952,56908,87,124,224,6944,44,0,10416,0,0,44,10416,-6944,0.0
21,361,56908,56866,263,104,948,24648,42,0,53579,0,0,42,53579,-24648,0.0
22,361,56866,56824,299,11,1185,52140,42,0,53579,0,0,42,53579,-52140,0.0
23,361,56824,56784,239,8,948,1896,40,0,53579,0,0,40,53579,-1896,0.0
24,361,56784,56745,159,4,632,632,39,0,53579,0,0,39,53579,-632,0.0
25,361,56745,56720,99,1,395,1580,25,0,53579,0,0,25,53579,-1580,0.0
26,361,56720,56695,239,276,680,46920,25,0,19453,0,0,25,19453,-46920,0.0
27,361,56695,56670,199,320,476,38080,25,0,3768,0,0,25,3768,-38080,0.0
28,361,56670,56646,199,20,776,3880,24,0,54409,0,0,24,54409,-3880,0.0
29,361,56646,56625,167,4,664,664,21,0,54716,0,0,21,54716,-664,0.0
30,361,56625,56607,199,14,782,10948,18,0,19509,0,0,18,19509,-10948,0.0
31,361,56607,56589,199,116,680,19720,18,0,19062,0,0,18,19062,-19720,0.0
32,361,56589,56573,143,21,551,46284,16,0,2384,0,0,16,2384,-46284,0.0
33,361,56573,56558,87,16,332,1328,15,0,24961,0,0,15,24961,-1328,0.0
34,361,56558,56545,143,124,448,13888,13,0,11575,0,0,13,11575,-13888,0.0
35,361,56545,56533,215,8,852,1704,12,0,55716,0,0,12,55716,-1704,0.0
36,361,56533,56521,359,16,1420,5680,12,0,26026,0,0,12,26026,-5680,0.0
37,361,56521,56509,263,26,1026,26676,12,0,4084,0,0,12,4084,-26676,0.0
38,361,56509,56498,215,4,856,856,11,0,55256,0,0,11,55256,-856,0.0
39,361,56498,56488,179,6,710,4260,10,0,55693,0,0,10,55693,-4260,0.0
40,361,56488,56478,207,4,824,824,10,0,55397,0,0,10,55397,-824,0.0
41,361,56478,56468,367,26,1442,37492,10,0,55397,0,0,10,55397,-37492,0.0
42,361,56468,56458,239,12,944,2832,10,0,29102,0,0,10,29102,-2832,0.0
43,361,56458,56448,255,44,976,10736,10,0,29016,0,0,10,29016,-10736,0.0
44,361,56448,56438,159,208,428,22256,10,0,28385,0,0,10,28385,-22256,0.0
45,361,56438,56428,143,164,408,16728,10,0,22141,0,0,10,22141,-16728,0.0
46,361,56428,56419,143,84,488,10248,9,0,55817,0,0,9,55817,-10248,0.0
47,361,56419,56410,143,4,568,568,9,0,55624,0,0,9,55624,-568,0.0
48,361,56410,56401,155,2,618,1236,9,0,55339,0,0,9,55339,-1236,0.0
49,361,56401,56392,143,236,336,19824,9,0,29061,0,0,9,29061,-19824,0.0
50,361,56392,56383,103,68,344,5848,9,0,22387,0,0,9,22387,-5848,0.0
