focus_r,d,a,b,q,covered_residue_count,selected_order,classes_fully_covered,classes_partially_covered
361,63,4,248,248,2,1,130,49816
361,59,6,230,1380,8,2,98,49823
361,87,4,344,344,2,3,78,54201
361,79,20,296,1480,4,4,50,55088
361,55,104,116,3016,4,5,48,49296
361,59,14,222,3108,8,6,36,55088
361,59,1,235,940,4,7,31,56183
361,59,21,215,18060,16,8,19,54201
361,59,70,166,11620,8,9,16,58895
361,55,26,194,5044,4,10,16,58510
361,55,8,212,424,2,11,12,57581
361,79,11,305,13420,8,12,4,60287
361,63,8,244,488,2,13,3,60287
361,35,6,134,804,4,14,0,60983
361,35,1,139,556,2,15,0,60983
361,35,3,137,1644,4,16,0,60983
361,51,2,202,404,2,17,0,60983
361,55,2,218,436,2,18,0,60983
361,39,10,146,1460,4,19,0,60983
361,39,5,151,3020,4,20,0,60983
361,59,10,226,2260,4,21,0,60983
361,59,35,201,28140,16,22,0,60983
361,59,105,131,55020,16,23,0,60983
361,59,3,233,2796,4,24,0,60983
361,59,7,229,6412,4,25,0,60983
361,31,2,122,244,2,26,0,60287
361,19,5,71,1420,4,27,0,60154
361,59,30,206,6180,8,28,0,59778
361,15,1,59,236,2,29,0,59728
361,35,22,118,2596,4,30,0,59728
