relation_type,focus_r,qA,qB,count,success_rate,example_base_class,notes
independent,289,184,4108,730,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,184,4520,730,1.0,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,184,5068,730,1.0,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,184,7620,716,1.0,500349529969 mod 666097111680,symbolic_too_large
independent,289,184,8520,716,1.0,500349529969 mod 666097111680,independent
independent,289,184,3108,713,1.0,1922209 mod 105765419760,independent
independent,289,184,4440,713,1.0,1922209 mod 105765419760,independent
independent,529,244,7812,702,0.17673716012084592,9394825969 mod 203460697440,independent
unknown_large_lcm,289,116,6624,669,0.9557142857142857,233453100169 mod 466671485280,symbolic_too_large
unknown_large_lcm,841,244,404,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,428,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,436,666,1.0,2038437241 mod 619968869520,symbolic_too_large
independent,841,244,488,666,1.0,2038437241 mod 619968869520,independent
unknown_large_lcm,841,244,536,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,556,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,568,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,596,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,628,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,664,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,804,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,852,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,856,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,872,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,940,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,1068,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,1128,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,1480,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,1644,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,1704,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,2260,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,2296,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,2796,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,2828,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,2884,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,2948,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,3020,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,3948,666,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,4260,647,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,212,4720,629,1.0,1018978801 mod 741012832560,symbolic_too_large
independent,529,244,16588,627,1.0,3389666809 mod 925999794720,independent
independent,289,116,2256,613,0.1544858870967742,1047686929 mod 130286236080,independent
unknown_large_lcm,961,236,5848,599,1.0,266427121 mod 250315905840,symbolic_too_large
unknown_large_lcm,289,116,8556,595,0.9139784946236559,256228332649 mod 754092699360,symbolic_too_large
unknown_large_lcm,289,116,11844,557,0.8716744913928013,1474473289 mod 521144944320,symbolic_too_large
independent,961,236,3944,553,1.0,29070001 mod 132372240,independent
independent,841,248,344,550,1.0,2038437241 mod 619968869520,independent
independent,841,212,2584,543,0.19941241278002203,10680590761 mod 319901902320,independent
independent,289,184,8556,542,1.0,500349529969 mod 666097111680,independent
independent,841,244,1380,540,1.0,3056334121 mod 458237860080,independent
independent,841,244,3864,540,1.0,3056334121 mod 458237860080,independent
independent,529,244,9548,529,1.0,205532527729 mod 604746061920,independent
independent,961,236,4216,480,0.08419575513067883,20650310641 mod 200279199120,independent
unknown_large_lcm,289,116,9920,456,0.8803088803088803,337552095169 mod 851322391920,symbolic_too_large
independent,289,116,6080,451,1.0,42162409 mod 107588961480,independent
unknown_large_lcm,841,244,1968,445,1.0,2038437241 mod 619968869520,symbolic_too_large
independent,841,244,5016,445,1.0,2038437241 mod 619968869520,independent
unknown_large_lcm,841,244,6180,445,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,7080,445,1.0,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,289,116,14028,431,1.0,17304367369 mod 781717416480,symbolic_too_large
unknown_large_lcm,841,244,7896,426,1.0,2038437241 mod 619968869520,symbolic_too_large
independent,841,212,4784,391,1.0,1018978801 mod 741012832560,independent
independent,289,184,944,386,0.965,500349529969 mod 666097111680,independent
independent,289,184,2832,386,0.965,500349529969 mod 666097111680,independent
independent,289,184,3408,386,0.965,500349529969 mod 666097111680,independent
independent,289,184,344,382,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,289,244,14028,374,1.0,350630569 mod 51757545840,symbolic_too_large
independent,289,184,1128,365,1.0,970690009 mod 41631069480,independent
unknown_large_lcm,961,236,6180,359,1.0,928408441 mod 347741874480,symbolic_too_large
unknown_large_lcm,841,244,2584,354,0.9291338582677166,2038437241 mod 619968869520,symbolic_too_large
unknown_large_lcm,841,244,7616,354,0.9698630136986301,2038437241 mod 619968869520,symbolic_too_large
independent,529,244,2852,348,1.0,47327809 mod 187867680,independent
independent,289,184,1968,344,1.0,970690009 mod 41631069480,independent
independent,289,184,2544,330,0.9593023255813954,9894404809 mod 166524277920,independent
independent,529,244,2584,325,1.0,26907409 mod 187867680,independent
independent,361,248,344,315,1.0,522522361 mod 173973639840,independent
unknown_large_lcm,289,244,14740,312,1.0,350630569 mod 51757545840,symbolic_too_large
unknown_large_lcm,289,184,5088,311,0.9688473520249221,583903609 mod 105765419760,symbolic_too_large
independent,961,236,3128,307,0.06745770160404307,41167767601 mod 209280511440,independent
independent,289,116,5088,295,0.135383203304268,145883458009 mod 521144944320,independent
independent,289,184,6624,294,1.0,9894404809 mod 166524277920,independent
independent,289,116,3128,285,1.0,17057329 mod 38798760,independent
independent,361,236,8280,269,0.2427797833935018,163740617401 mod 380383043040,independent
unknown_large_lcm,289,244,11844,238,1.0,350630569 mod 51757545840,symbolic_too_large
unknown_large_lcm,841,344,404,228,1.0,522282601 mod 835610215440,symbolic_too_large
unknown_large_lcm,841,244,944,221,1.0,1535494801 mod 458237860080,symbolic_too_large
unknown_large_lcm,841,244,1712,221,1.0,1535494801 mod 458237860080,symbolic_too_large
unknown_large_lcm,841,244,2256,221,1.0,1535494801 mod 458237860080,symbolic_too_large
independent,841,244,2480,221,1.0,1535494801 mod 458237860080,independent
unknown_large_lcm,841,244,2832,221,1.0,1535494801 mod 458237860080,symbolic_too_large
unknown_large_lcm,841,244,3760,221,1.0,1535494801 mod 458237860080,symbolic_too_large
independent,841,244,6448,217,1.0,2038437241 mod 619968869520,independent
unknown_large_lcm,361,236,10248,213,1.0,135467732761 mod 380383043040,symbolic_too_large
unknown_large_lcm,361,244,404,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,424,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,436,208,1.0,522522361 mod 173973639840,symbolic_too_large
independent,361,244,488,208,1.0,522522361 mod 173973639840,independent
unknown_large_lcm,361,244,556,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,568,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,632,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,664,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,804,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,824,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,856,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,940,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1128,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1236,208,1.0,522522361 mod 173973639840,symbolic_too_large
independent,361,244,1380,208,1.0,522522361 mod 173973639840,independent
unknown_large_lcm,361,244,1420,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1460,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1480,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1580,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1644,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1704,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1896,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,2260,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,2796,208,1.0,522522361 mod 173973639840,symbolic_too_large
independent,361,244,3016,208,1.0,522522361 mod 173973639840,independent
unknown_large_lcm,361,244,3020,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,3108,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,3880,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,4260,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,5044,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,6180,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,6412,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,7224,208,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,841,212,7616,207,0.9495412844036697,5088284041 mod 647432625840,symbolic_too_large
independent,289,116,14740,193,1.0,11989297609 mod 331962190560,independent
unknown_large_lcm,289,184,3008,188,1.0,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,244,14924,185,1.0,156787230889 mod 414060366720,symbolic_too_large
independent,289,184,2256,183,0.9289340101522843,500349529969 mod 666097111680,independent
unknown_large_lcm,361,244,7812,181,0.9945054945054945,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,289,184,9920,175,0.9162303664921466,1922209 mod 105765419760,symbolic_too_large
independent,361,236,8568,175,0.5537974683544303,7291764841 mod 209358108960,independent
independent,841,212,3944,142,1.0,15376201 mod 508588080,independent
unknown_large_lcm,361,236,8568,141,0.4462025316455696,699699361 mod 252721428960,symbolic_too_large
unknown_large_lcm,361,244,1328,115,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,1968,115,1.0,522522361 mod 173973639840,symbolic_too_large
unknown_large_lcm,361,244,5680,115,1.0,522522361 mod 173973639840,symbolic_too_large
independent,361,236,7812,104,0.07022282241728561,128009241721 mod 380383043040,independent
independent,289,244,6624,103,1.0,251804673409 mod 957514598040,independent
unknown_large_lcm,361,244,2256,93,1.0,2433030961 mod 173973639840,symbolic_too_large
independent,361,244,2480,93,1.0,2433030961 mod 173973639840,independent
unknown_large_lcm,361,244,3760,93,1.0,2433030961 mod 173973639840,symbolic_too_large
unknown_large_lcm,841,212,7896,90,1.0,6613087321 mod 613865812560,symbolic_too_large
independent,289,244,8556,84,1.0,87453126049 mod 957514598040,independent
independent,289,116,11844,82,0.12832550860719874,117832314889 mod 331962190560,independent
unknown_large_lcm,289,244,8584,80,1.0,10360710649 mod 51757545840,symbolic_too_large
independent,289,244,9744,67,1.0,630402973489 mod 957514598040,independent
independent,289,116,9920,62,0.11969111969111969,12842509969 mod 260572472160,independent
unknown_large_lcm,289,244,16296,59,1.0,357764807689 mod 931635825120,symbolic_too_large
independent,289,116,8556,56,0.08602150537634409,12687314929 mod 130286236080,independent
independent,289,184,11256,50,1.0,9894404809 mod 166524277920,independent
independent,289,116,3008,45,0.012044967880085654,278886448129 mod 933342970560,independent
independent,289,116,12528,38,1.0,209322073249 mod 815394740160,independent
independent,289,244,9920,32,0.036036036036036036,250098368809 mod 802241960520,independent
independent,289,116,6624,31,0.04428571428571428,3026423689 mod 130286236080,independent
independent,841,244,2584,27,0.07086614173228346,17296800361 mod 458237860080,independent
independent,289,116,13940,20,1.0,637271194849 mod 663924381120,independent
unknown_large_lcm,361,244,5848,20,1.0,15959864281 mod 173973639840,symbolic_too_large
independent,289,184,3128,17,1.0,970690009 mod 41631069480,independent
independent,289,184,9920,16,0.08376963350785341,529139411089 mod 846123358080,independent
independent,289,116,14924,16,1.0,3999155449 mod 567548261280,independent
unknown_large_lcm,289,184,944,14,0.035,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,184,2256,14,0.07106598984771574,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,184,2544,14,0.040697674418604654,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,184,2832,14,0.035,970690009 mod 41631069480,symbolic_too_large
unknown_large_lcm,289,184,3408,14,0.035,970690009 mod 41631069480,symbolic_too_large
independent,529,244,8928,14,1.0,111220309729 mod 168893044320,independent
independent,841,212,7616,11,0.05045871559633028,2035794601 mod 613865812560,independent
independent,841,244,7616,11,0.030136986301369864,22382681161 mod 458237860080,independent
independent,289,184,5088,10,0.03115264797507788,2756634169 mod 211530839520,independent
unknown_large_lcm,361,236,10360,10,1.0,12494522401 mod 758164286880,symbolic_too_large
independent,529,244,8584,10,0.003093102381688834,14285151409 mod 660354895200,independent
independent,289,184,8584,5,1.0,28325017009 mod 105765419760,independent
independent,289,116,3408,4,0.0007365126127784938,21924062449 mod 101924342520,independent
independent,361,244,8280,3,1.0,360438078361 mod 521920919520,independent
independent,361,244,10248,3,1.0,206240634961 mod 521920919520,independent
unknown_large_lcm,841,212,8280,3,1.0,23408265721 mod 908338310880,symbolic_too_large
unknown_large_lcm,289,184,14028,2,1.0,127300653769 mod 634592518560,symbolic_too_large
independent,361,236,5848,2,0.0005443658138268917,210059730241 mod 350549078880,independent
independent,529,244,8816,2,0.0017391304347826088,570557628169 mod 964324801440,independent
independent,361,244,7812,1,0.005494505494505495,277876839601 mod 521920919520,independent
