relation_type,focus_r,qA,qB,count,success_rate,example_base_class,notes
unknown_large_lcm,961,236,1896,9387,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,529,244,4520,9373,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,361,236,5044,9346,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,529,244,2920,9342,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,4088,9342,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,841,212,404,9334,1.0,15376201 mod 508588080,symbolic_too_large
independent,841,212,424,9334,1.0,15376201 mod 508588080,independent
unknown_large_lcm,841,212,556,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,596,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,628,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,1068,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,2260,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,2796,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,2828,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,2884,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,3020,9334,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,1644,9307,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,961,236,488,9302,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,361,236,632,9234,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1580,9234,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1896,9234,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,424,9232,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,841,212,244,9222,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,488,9222,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,536,9193,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,804,9193,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,2948,9193,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,664,9138,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,436,9134,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,872,9134,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,361,236,6180,9129,1.0,10330681 mod 173453280,symbolic_too_large
unknown_large_lcm,841,212,428,9098,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,856,9098,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,568,9072,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,852,9072,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,1704,9072,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,361,236,940,9056,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,1128,9056,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,529,244,3108,8949,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,4440,8949,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,961,236,436,8903,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,872,8903,1.0,11772721 mod 132372240,symbolic_too_large
independent,961,236,248,8897,1.0,11772721 mod 132372240,independent
unknown_large_lcm,529,244,1128,8867,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,841,212,344,8810,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,361,236,1480,8808,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,3108,8808,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,961,236,5124,8792,1.0,529489921 mod 209280511440,symbolic_too_large
independent,841,244,248,8772,1.0,15376201 mod 508588080,independent
unknown_large_lcm,361,236,344,8666,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,841,212,940,8607,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,1128,8607,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,2296,8542,1.0,15376201 mod 508588080,symbolic_too_large
independent,841,212,248,8446,1.0,15376201 mod 508588080,independent
independent,841,212,1480,8368,1.0,15376201 mod 508588080,independent
unknown_large_lcm,961,236,344,8245,1.0,11772721 mod 132372240,symbolic_too_large
independent,361,244,248,8144,1.0,9249601 mod 173453280,independent
independent,361,236,248,8043,1.0,9249601 mod 173453280,independent
unknown_large_lcm,961,236,1480,7959,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,3108,7959,1.0,11772721 mod 132372240,symbolic_too_large
independent,361,236,1380,7928,1.0,9249601 mod 173453280,independent
unknown_large_lcm,361,236,6412,7925,1.0,1908106561 mod 427562335200,symbolic_too_large
independent,361,236,3016,7915,1.0,9249601 mod 173453280,independent
independent,529,244,248,7718,1.0,11532049 mod 187867680,independent
independent,529,244,3720,7718,1.0,11532049 mod 187867680,independent
unknown_large_lcm,529,248,404,7718,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,961,236,5412,7468,1.0,529489921 mod 209280511440,symbolic_too_large
independent,841,212,1380,7283,1.0,15376201 mod 508588080,independent
independent,961,248,344,7142,1.0,11772721 mod 132372240,independent
unknown_large_lcm,841,212,3948,7061,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,529,244,4824,7030,1.0,11532049 mod 187867680,symbolic_too_large
independent,289,116,244,6960,1.0,4564849 mod 38798760,independent
unknown_large_lcm,289,116,404,6960,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,428,6960,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,436,6960,1.0,4564849 mod 38798760,symbolic_too_large
independent,289,116,488,6960,1.0,4564849 mod 38798760,independent
unknown_large_lcm,289,116,556,6960,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,1068,6960,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,1644,6960,1.0,4564849 mod 38798760,symbolic_too_large
independent,289,116,1740,6960,1.0,4564849 mod 38798760,independent
independent,289,116,2440,6960,1.0,4564849 mod 38798760,independent
unknown_large_lcm,289,116,2796,6960,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,3980,6960,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,4108,6959,1.0,4564849 mod 38798760,symbolic_too_large
independent,961,236,1380,6899,1.0,11772721 mod 132372240,independent
independent,841,212,3864,6893,1.0,15376201 mod 508588080,independent
unknown_large_lcm,289,116,568,6676,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,852,6676,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,1704,6676,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,3692,6676,1.0,4564849 mod 38798760,symbolic_too_large
independent,289,116,536,6555,1.0,4564849 mod 38798760,independent
unknown_large_lcm,841,212,4260,6530,1.0,15376201 mod 508588080,symbolic_too_large
independent,289,116,424,6375,1.0,4564849 mod 38798760,independent
independent,289,116,2120,6375,1.0,4564849 mod 38798760,independent
independent,289,116,3108,6327,1.0,4564849 mod 38798760,independent
unknown_large_lcm,289,116,664,6322,1.0,4564849 mod 38798760,symbolic_too_large
independent,289,116,4440,6293,1.0,77717929 mod 130286236080,independent
unknown_large_lcm,289,116,2920,6168,1.0,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,4520,6161,1.0,77717929 mod 130286236080,symbolic_too_large
independent,289,116,3608,6010,1.0,4564849 mod 38798760,independent
unknown_large_lcm,289,116,1940,5847,1.0,4564849 mod 38798760,symbolic_too_large
independent,841,212,4452,5783,1.0,16577401 mod 508588080,independent
independent,289,184,244,5777,1.0,4564849 mod 38798760,independent
unknown_large_lcm,529,244,8148,5672,1.0,135452958169 mod 396212937120,symbolic_too_large
independent,289,116,344,5544,1.0,4564849 mod 38798760,independent
independent,289,116,248,5537,1.0,4564849 mod 38798760,independent
independent,289,116,3720,5537,1.0,4564849 mod 38798760,independent
unknown_large_lcm,289,116,5068,5534,1.0,77717929 mod 130286236080,symbolic_too_large
independent,961,236,2480,5463,1.0,11772721 mod 132372240,independent
unknown_large_lcm,289,116,3408,5427,0.9992634873872215,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,961,236,2256,5411,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,3760,5411,1.0,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,961,236,4216,5221,0.9158042448693212,11772721 mod 132372240,symbolic_too_large
independent,361,236,2832,5157,1.0,9249601 mod 173453280,independent
unknown_large_lcm,529,244,944,5116,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,2832,5116,1.0,11532049 mod 187867680,symbolic_too_large
independent,289,116,184,5047,1.0,4564849 mod 38798760,independent
independent,289,116,552,5047,1.0,4564849 mod 38798760,independent
independent,289,116,1196,5047,1.0,4564849 mod 38798760,independent
independent,289,116,1128,4939,1.0,4564849 mod 38798760,independent
unknown_large_lcm,361,236,2256,4759,1.0,9249601 mod 173453280,symbolic_too_large
unknown_large_lcm,361,236,3760,4759,1.0,9249601 mod 173453280,symbolic_too_large
independent,841,212,2544,4752,1.0,15376201 mod 508588080,independent
unknown_large_lcm,361,236,5680,4496,1.0,10330681 mod 173453280,symbolic_too_large
unknown_large_lcm,841,212,1968,4392,1.0,15376201 mod 508588080,symbolic_too_large
unknown_large_lcm,529,244,1968,4391,1.0,13093609 mod 187867680,symbolic_too_large
unknown_large_lcm,529,244,2256,4389,1.0,11532049 mod 187867680,symbolic_too_large
unknown_large_lcm,841,212,944,4346,1.0,15976801 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,1712,4346,1.0,15976801 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,2832,4346,1.0,15976801 mod 508588080,symbolic_too_large
unknown_large_lcm,361,236,1328,4299,1.0,10330681 mod 173453280,symbolic_too_large
unknown_large_lcm,961,236,3128,4244,0.9325422983959569,11772721 mod 132372240,symbolic_too_large
unknown_large_lcm,841,212,6180,4221,1.0,5086121881 mod 319901902320,symbolic_too_large
unknown_large_lcm,289,116,2544,4188,0.8182883939038686,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,529,244,2544,4159,1.0,13093609 mod 187867680,symbolic_too_large
unknown_large_lcm,841,212,2256,4087,1.0,15976801 mod 508588080,symbolic_too_large
unknown_large_lcm,841,212,3760,4087,1.0,15976801 mod 508588080,symbolic_too_large
independent,361,236,2480,4082,1.0,9249601 mod 173453280,independent
independent,841,212,2480,4069,1.0,15976801 mod 508588080,independent
unknown_large_lcm,289,116,944,3918,0.7786168521462639,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,289,116,2832,3918,0.7775352252431038,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,961,236,1328,3909,1.0,12853801 mod 132372240,symbolic_too_large
unknown_large_lcm,529,244,6608,3903,1.0,13093609 mod 187867680,symbolic_too_large
unknown_large_lcm,361,236,1968,3817,1.0,10330681 mod 173453280,symbolic_too_large
unknown_large_lcm,961,236,5512,3771,1.0,529489921 mod 209280511440,symbolic_too_large
unknown_large_lcm,289,116,3008,3691,0.9879550321199143,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,961,236,2544,3682,1.0,12853801 mod 132372240,symbolic_too_large
unknown_large_lcm,361,236,5848,3672,0.9994556341861731,10330681 mod 173453280,symbolic_too_large
unknown_large_lcm,289,116,1968,3498,0.732872407291012,4564849 mod 38798760,symbolic_too_large
unknown_large_lcm,961,236,1968,3459,1.0,12853801 mod 132372240,symbolic_too_large
unknown_large_lcm,289,116,2256,3355,0.8455141129032258,4564849 mod 38798760,symbolic_too_large
independent,529,244,6448,3313,1.0,13093609 mod 187867680,independent
unknown_large_lcm,361,236,7224,3297,1.0,520600441 mod 67820232480,symbolic_too_large
unknown_large_lcm,529,244,7812,3270,0.823262839879154,11532049 mod 187867680,symbolic_too_large
independent,289,244,248,3257,1.0,77717929 mod 130286236080,independent
unknown_large_lcm,289,116,7620,3233,1.0,77717929 mod 130286236080,symbolic_too_large
unknown_large_lcm,529,244,8584,3223,0.9969068976183112,189309649 mod 203460697440,symbolic_too_large
unknown_large_lcm,289,244,344,3067,1.0,427267129 mod 110654063520,symbolic_too_large
unknown_large_lcm,529,244,9380,2666,1.0,113098385929 mod 964324801440,symbolic_too_large
unknown_large_lcm,289,116,8520,2632,1.0,77717929 mod 130286236080,symbolic_too_large
independent,841,212,5016,2613,1.0,5086121881 mod 319901902320,independent
unknown_large_lcm,289,244,404,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,424,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,428,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,436,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
independent,289,244,488,2310,1.0,333088075609 mod 957514598040,independent
unknown_large_lcm,289,244,536,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,556,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,568,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,664,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,852,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,1068,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,1128,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,1644,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,1704,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,1940,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,2120,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
independent,289,244,2440,2310,1.0,333088075609 mod 957514598040,independent
unknown_large_lcm,289,244,2796,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,2920,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,3608,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,3692,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,3980,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,4108,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,4520,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,5068,2310,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,7620,2306,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,529,404,412,2282,1.0,1129488889 mod 238779821280,symbolic_too_large
independent,361,236,2992,2273,1.0,9249601 mod 173453280,independent
unknown_large_lcm,289,244,8520,2244,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,841,212,2584,2180,0.8005875872199779,15376201 mod 508588080,symbolic_too_large
independent,529,244,6944,1992,1.0,28108609 mod 187867680,independent
unknown_large_lcm,289,244,944,1972,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,2256,1972,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,2832,1972,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,3408,1972,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,361,244,344,1957,1.0,695735401 mod 446295289440,symbolic_too_large
unknown_large_lcm,289,244,1968,1951,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,289,244,2544,1951,1.0,333088075609 mod 957514598040,symbolic_too_large
unknown_large_lcm,529,244,5088,1944,1.0,14294809 mod 187867680,symbolic_too_large
unknown_large_lcm,289,244,3008,1920,1.0,333088075609 mod 957514598040,symbolic_too_large
independent,289,116,8584,1918,1.0,77717929 mod 130286236080,independent
unknown_large_lcm,289,116,5088,1884,0.864616796695732,77717929 mod 130286236080,symbolic_too_large
independent,841,212,6448,1829,1.0,13223771401 mod 198857939280,independent
unknown_large_lcm,289,244,5088,1812,1.0,333088075609 mod 957514598040,symbolic_too_large
independent,361,236,6944,1800,1.0,174414601 mod 67820232480,independent
unknown_large_lcm,961,248,404,1755,1.0,398318881 mod 620428688880,symbolic_too_large
unknown_large_lcm,289,244,3108,1702,1.0,350630569 mod 51757545840,symbolic_too_large
unknown_large_lcm,289,244,4440,1702,1.0,350630569 mod 51757545840,symbolic_too_large
independent,289,116,11256,1638,1.0,77717929 mod 130286236080,independent
unknown_large_lcm,841,244,344,1554,1.0,1018978801 mod 741012832560,symbolic_too_large
unknown_large_lcm,289,244,11256,1422,1.0,350630569 mod 51757545840,symbolic_too_large
unknown_large_lcm,361,236,7812,1377,0.9297771775827144,2255253361 mod 303716693280,symbolic_too_large
independent,289,244,3720,1371,1.0,333088075609 mod 957514598040,independent
independent,289,248,344,1371,1.0,333088075609 mod 957514598040,independent
unknown_large_lcm,529,244,12040,1363,1.0,2643169 mod 168893044320,symbolic_too_large
independent,289,116,1968,1275,0.26712759270898806,77717929 mod 130286236080,independent
independent,361,236,3808,1198,1.0,10931281 mod 173453280,independent
unknown_large_lcm,529,244,8816,1148,0.9982608695652174,1129488889 mod 238779821280,symbolic_too_large
independent,289,116,2832,1121,0.22246477475689622,1047686929 mod 130286236080,independent
independent,289,116,944,1114,0.22138314785373608,1047686929 mod 130286236080,independent
unknown_large_lcm,961,344,404,1103,1.0,529489921 mod 209280511440,symbolic_too_large
unknown_large_lcm,841,212,7080,990,1.0,2035794601 mod 613865812560,symbolic_too_large
independent,289,116,9744,953,1.0,77717929 mod 130286236080,independent
unknown_large_lcm,529,244,12460,952,1.0,356575499809 mod 506679132960,symbolic_too_large
independent,529,244,2668,944,1.0,15736249 mod 187867680,independent
unknown_large_lcm,289,344,404,939,1.0,193723770529 mod 802241960520,symbolic_too_large
