iteration,focus_r,active_before,active_after,d,a,b,q,fully_covered,partially_reduced,unknown_fullness,empty_after_application,validation_failures,score_full,score_partial,score_negative_q,score_coverage_ratio
1,961,59722,59457,439,20,1736,8680,265,0,52908,0,0,265,52908,-8680,0.0
2,961,59457,59243,227,6,902,5412,214,0,50709,0,0,214,50709,-5412,0.0
3,961,59243,59154,167,12,656,1968,89,0,20415,0,0,89,20415,-1968,0.0
4,961,59154,59074,239,36,920,8280,80,0,36170,0,0,80,36170,-8280,0.0
5,961,59074,58996,159,16,620,2480,78,0,32319,0,0,78,32319,-2480,0.0
6,961,58996,58923,383,48,1484,17808,73,0,30901,0,0,73,30901,-17808,0.0
7,961,58923,58859,215,6,854,5124,64,0,54825,0,0,64,54825,-5124,0.0
8,961,58859,58797,239,16,940,3760,62,0,31708,0,0,62,31708,-3760,0.0
9,961,58797,58740,199,20,776,3880,57,0,55725,0,0,57,55725,-3880,0.0
10,961,58740,58683,139,11,545,23980,57,0,52266,0,0,57,52266,-23980,0.0
11,961,58683,58631,143,8,564,1128,52,0,55939,0,0,52,55939,-1128,0.0
12,961,58631,58579,111,8,436,872,52,0,52214,0,0,52,52214,-872,0.0
13,961,58579,58527,191,12,752,2256,52,0,31599,0,0,52,31599,-2256,0.0
14,961,58527,58487,159,4,632,632,40,0,54882,0,0,40,54882,-632,0.0
15,961,58487,58447,215,12,848,2544,40,0,21570,0,0,40,21570,-2544,0.0
16,961,58447,58409,239,8,948,1896,38,0,54842,0,0,38,54842,-1896,0.0
17,961,58409,58373,239,80,876,17520,36,0,31521,0,0,36,31521,-17520,0.0
18,961,58373,58341,135,4,536,536,32,0,56170,0,0,32,56170,-536,0.0
19,961,58341,58309,131,13,511,26572,32,0,55737,0,0,32,55737,-26572,0.0
20,961,58309,58279,215,56,804,11256,30,0,56138,0,0,30,56138,-11256,0.0
21,961,58279,58249,39,40,116,1160,30,0,0,0,0,30,0,-1160,0.0
22,961,58249,58220,179,6,710,4260,29,0,56069,0,0,29,56069,-4260,0.0
23,961,58220,58192,215,8,852,1704,28,0,56069,0,0,28,56069,-1704,0.0
24,961,58192,58164,271,308,776,59752,28,0,55177,0,0,28,55177,-59752,0.0
25,961,58164,58136,47,14,174,2436,28,0,0,0,0,28,0,-2436,0.0
26,961,58136,58109,215,84,776,16296,27,0,55149,0,0,27,55149,-16296,0.0
27,961,58109,58083,143,4,568,568,26,0,55986,0,0,26,55986,-568,0.0
28,961,58083,58059,359,440,996,109560,24,0,56660,0,0,24,56660,-109560,0.0
29,961,58059,58038,99,1,395,1580,21,0,54492,0,0,21,54492,-1580,0.0
30,961,58038,58019,107,2,426,852,19,0,55941,0,0,19,55941,-852,0.0
31,961,58019,58001,83,114,218,24852,18,0,1734,0,0,18,1734,-24852,0.0
32,961,58001,57985,79,95,221,83980,16,0,3121,0,0,16,3121,-83980,0.0
33,961,57985,57971,167,4,664,664,14,0,56586,0,0,14,56586,-664,0.0
34,961,57971,57957,99,5,391,7820,14,0,26435,0,0,14,26435,-7820,0.0
35,961,57957,57944,359,72,1364,24552,13,0,44328,0,0,13,44328,-24552,0.0
36,961,57944,57932,131,26,498,12948,12,0,56559,0,0,12,56559,-12948,0.0
37,961,57932,57921,63,116,136,3944,11,0,3197,0,0,11,3197,-3944,0.0
38,961,57921,57911,79,152,164,6232,10,0,3046,0,0,10,3046,-6232,0.0
39,961,57911,57902,87,16,332,1328,9,0,22620,0,0,9,22620,-1328,0.0
40,961,57902,57894,215,216,644,34776,8,0,34617,0,0,8,34617,-34776,0.0
41,961,57894,57887,91,2,362,724,7,0,55758,0,0,7,55758,-724,0.0
42,961,57887,57880,183,8,724,1448,7,0,55758,0,0,7,55758,-1448,0.0
43,961,57880,57875,159,280,356,24920,5,0,57530,0,0,5,57530,-24920,0.0
44,961,57875,57871,103,56,356,4984,4,0,57530,0,0,4,57530,-4984,0.0
45,961,57871,57867,87,164,184,7544,4,0,37593,0,0,4,37593,-7544,0.0
46,961,57867,57863,143,276,296,20424,4,0,32601,0,0,4,32601,-20424,0.0
47,961,57863,57860,239,136,820,27880,3,0,29107,0,0,3,29107,-27880,0.0
48,961,57860,57857,63,68,184,3128,3,0,26344,0,0,3,26344,-3128,0.0
49,961,57857,57855,79,68,248,4216,2,0,33039,0,0,2,33039,-4216,0.0
50,961,57855,57853,103,68,344,5848,2,0,29778,0,0,2,29778,-5848,0.0
