iteration,focus_r,active_before,active_after,d,a,b,q,fully_covered,partially_reduced,unknown_fullness,empty_after_application,validation_failures,score_full,score_partial,score_negative_q,score_coverage_ratio
1,289,60963,60615,191,20,744,3720,348,0,46512,0,0,348,46512,-3720,0.0
2,289,60615,60430,143,8,564,1128,185,0,46053,0,0,185,46053,-1128,0.0
3,289,60430,60262,191,24,740,4440,168,0,52676,0,0,168,52676,-4440,0.0
4,289,60262,60107,215,48,812,9744,155,0,34492,0,0,155,34492,-9744,0.0
5,289,60107,59968,231,104,820,21320,139,0,54104,0,0,139,54104,-21320,0.0
6,289,59968,59844,151,164,440,18040,124,0,54104,0,0,124,54104,-18040,0.0
7,289,59844,59761,191,12,752,2256,83,0,36786,0,0,83,36786,-2256,0.0
8,289,59761,59704,151,20,584,2920,57,0,55027,0,0,57,55027,-2920,0.0
9,289,59704,59651,215,84,776,16296,53,0,53077,0,0,53,53077,-16296,0.0
10,289,59651,59609,371,10,1474,14740,42,0,57170,0,0,42,57170,-14740,0.0
11,289,59609,59567,335,92,1248,28704,42,0,28408,0,0,42,28408,-28704,0.0
12,289,59567,59529,231,260,664,43160,38,0,55724,0,0,38,55724,-43160,0.0
13,289,59529,59493,167,4,664,664,36,0,55724,0,0,36,55724,-664,0.0
14,289,59493,59458,231,20,904,4520,35,0,54947,0,0,35,54947,-4520,0.0
15,289,59458,59426,215,32,828,6624,32,0,27056,0,0,32,27056,-6624,0.0
16,289,59426,59398,215,14,846,11844,28,0,39867,0,0,28,39867,-11844,0.0
17,289,59398,59371,215,56,804,11256,27,0,56959,0,0,27,56959,-11256,0.0
18,289,59371,59344,215,12,848,2544,27,0,43994,0,0,27,43994,-2544,0.0
19,289,59344,59318,231,1,923,3692,26,0,57553,0,0,26,57553,-3692,0.0
20,289,59318,59293,431,20,1704,8520,25,0,57553,0,0,25,57553,-8520,0.0
21,289,59293,59269,215,8,852,1704,24,0,57553,0,0,24,57553,-1704,0.0
22,289,59269,59247,143,4,568,568,22,0,57553,0,0,22,57553,-568,0.0
23,289,59247,59226,251,18,986,17748,21,0,2198,0,0,21,2198,-17748,0.0
24,289,59226,59206,215,188,672,31584,20,0,36232,0,0,20,36232,-31584,0.0
25,289,59206,59187,135,4,536,536,19,0,56794,0,0,19,56794,-536,0.0
26,289,59187,59169,107,2,426,852,18,0,57493,0,0,18,57493,-852,0.0
27,289,59169,59154,63,68,184,3128,15,0,1790,0,0,15,1790,-3128,0.0
28,289,59154,59140,239,12,944,2832,14,0,43789,0,0,14,43789,-2832,0.0
29,289,59140,59127,131,90,434,39060,13,0,39374,0,0,13,39374,-39060,0.0
30,289,59127,59114,143,204,368,18768,13,0,3591,0,0,13,3591,-18768,0.0
31,289,59114,59102,271,140,944,33040,12,0,43764,0,0,12,43764,-33040,0.0
32,289,59102,59090,167,32,636,5088,12,0,40928,0,0,12,40928,-5088,0.0
33,289,59090,59078,111,34,410,13940,12,0,5557,0,0,12,5557,-13940,0.0
34,289,59078,59068,111,64,380,6080,10,0,2846,0,0,10,2846,-6080,0.0
35,289,59068,59060,179,3,713,8556,8,0,31134,0,0,8,31134,-8556,0.0
36,289,59060,59053,131,54,470,25380,7,0,38958,0,0,7,38958,-25380,0.0
37,289,59053,59046,103,116,296,8584,7,0,38072,0,0,7,38072,-8584,0.0
38,289,59046,59039,159,188,448,21056,7,0,34640,0,0,7,34640,-21056,0.0
39,289,59039,59034,383,48,1484,17808,5,0,46152,0,0,5,46152,-17808,0.0
40,289,59034,59029,143,108,464,12528,5,0,28456,0,0,5,28456,-12528,0.0
41,289,59029,59025,311,60,1184,17760,4,0,37249,0,0,4,37249,-17760,0.0
42,289,59025,59023,191,180,584,26280,2,0,46583,0,0,2,46583,-26280,0.0
43,289,59023,59021,167,12,656,1968,2,0,41691,0,0,2,41691,-1968,0.0
44,289,59021,59019,63,64,188,3008,2,0,34560,0,0,2,34560,-3008,0.0
45,289,59019,59017,107,87,341,118668,2,0,33675,0,0,2,33675,-118668,0.0
46,289,59017,59015,107,54,374,20196,2,0,8549,0,0,2,8549,-20196,0.0
47,289,59015,59014,287,12,1136,3408,1,0,46053,0,0,1,46053,-3408,0.0
48,289,59014,59013,159,62,574,35588,1,0,41279,0,0,1,41279,-35588,0.0
49,289,59013,59012,271,224,860,48160,1,0,36682,0,0,1,36682,-48160,0.0
50,289,59012,59011,111,124,320,9920,1,0,34419,0,0,1,34419,-9920,0.0
