iteration,focus_r,d,a,b,q,covered_residue_count,fully_covered_count,partial_count,empty_after_application_count,unknown_fullness_count
1,961,439,20,1736,8680,8,265,0,0,52908
2,961,227,6,902,5412,8,214,0,0,50709
3,961,167,12,656,1968,4,89,0,0,20415
4,961,239,36,920,8280,8,80,0,0,36170
5,961,159,16,620,2480,4,78,0,0,32319
6,961,383,48,1484,17808,8,73,0,0,30901
7,961,215,6,854,5124,8,64,0,0,54825
8,961,239,16,940,3760,4,62,0,0,31708
9,961,199,20,776,3880,4,57,0,0,55725
10,961,139,11,545,23980,8,57,0,0,52266
11,961,143,8,564,1128,4,52,0,0,55939
12,961,111,8,436,872,2,52,0,0,52214
13,961,191,12,752,2256,4,52,0,0,31599
14,961,159,4,632,632,2,40,0,0,54882
15,961,215,12,848,2544,4,40,0,0,21570
16,961,239,8,948,1896,4,38,0,0,54842
17,961,239,80,876,17520,8,36,0,0,31521
18,961,135,4,536,536,2,32,0,0,56170
19,961,131,13,511,26572,8,32,0,0,55737
20,961,215,56,804,11256,8,30,0,0,56138
21,961,39,40,116,1160,4,30,0,0,0
22,961,179,6,710,4260,8,29,0,0,56069
23,961,215,8,852,1704,4,28,0,0,56069
24,961,271,308,776,59752,8,28,0,0,55177
25,961,47,14,174,2436,8,28,0,0,0
26,961,215,84,776,16296,8,27,0,0,55149
27,961,143,4,568,568,2,26,0,0,55986
28,961,359,440,996,109560,16,24,0,0,56660
29,961,99,1,395,1580,4,21,0,0,54492
30,961,107,2,426,852,4,19,0,0,55941
31,961,83,114,218,24852,8,18,0,0,1734
32,961,79,95,221,83980,16,16,0,0,3121
33,961,167,4,664,664,2,14,0,0,56586
34,961,99,5,391,7820,8,14,0,0,26435
35,961,359,72,1364,24552,8,13,0,0,44328
36,961,131,26,498,12948,8,12,0,0,56559
37,961,63,116,136,3944,4,11,0,0,3197
38,961,79,152,164,6232,4,10,0,0,3046
39,961,87,16,332,1328,2,9,0,0,22620
40,961,215,216,644,34776,8,8,0,0,34617
41,961,91,2,362,724,2,7,0,0,55758
42,961,183,8,724,1448,2,7,0,0,55758
43,961,159,280,356,24920,8,5,0,0,57530
44,961,103,56,356,4984,4,4,0,0,57530
45,961,87,164,184,7544,4,4,0,0,37593
46,961,143,276,296,20424,8,4,0,0,32601
47,961,239,136,820,27880,8,3,0,0,29107
48,961,63,68,184,3128,4,3,0,0,26344
49,961,79,68,248,4216,4,2,0,0,33039
50,961,103,68,344,5848,4,2,0,0,29778
