class_id,modulus,residue,d,a,b,rule_modulus,covered_subclasses
1,120120,529,11,10,34,340,184
1,120120,529,47,4,184,184,120
1,120120,529,23,24,68,408,84
1,120120,529,31,56,68,952,84
1,120120,529,95,68,312,5304,84
1,120120,529,35,2,138,276,48
1,120120,529,71,8,276,552,48
1,120120,529,95,104,276,7176,48
1,120120,529,71,12,272,816,36
1,120120,529,87,161,187,120428,4
5,187867680,360889,11,6,38,228,74
5,187867680,360889,23,16,76,304,37
5,187867680,360889,19,2,74,148,32
1584,132070979040,3381979129,47,36,152,1368,1
1600,132070979040,6387862009,311,180,1064,47880,1
1603,132070979040,6951465049,47,36,152,1368,1
1622,132070979040,10520950969,47,36,152,1368,1
1628,132070979040,11648157049,23,18,74,1332,1
1641,132070979040,14090436889,47,36,152,1368,1
1657,132070979040,17096319769,311,180,1064,47880,1
1660,132070979040,17659922809,47,36,152,1368,1
1665,132070979040,18599261209,23,18,74,1332,1
1674,132070979040,20290070329,31,50,74,3700,1
1698,132070979040,24798894649,47,36,152,1368,1
1702,132070979040,25550365369,23,18,74,1332,1
1711,132070979040,27241174489,31,50,74,3700,1
1717,132070979040,28368380569,47,36,152,1368,1
1736,132070979040,31937866489,47,36,152,1368,1
1755,132070979040,35507352409,47,36,152,1368,1
1774,132070979040,39076838329,47,36,152,1368,1
1793,132070979040,42646324249,47,36,152,1368,1
1812,132070979040,46215810169,47,36,152,1368,1
1813,132070979040,46403677849,23,18,74,1332,1
1822,132070979040,48094486969,31,50,74,3700,1
1847,132070979040,52791178969,311,180,1064,47880,1
1850,132070979040,53354782009,23,18,74,1332,1
1850,132070979040,53354782009,47,36,152,1368,1
1859,132070979040,55045591129,31,50,74,3700,1
1869,132070979040,56924267929,47,36,152,1368,1
1887,132070979040,60305886169,23,18,74,1332,1
1888,132070979040,60493753849,47,36,152,1368,1
1896,132070979040,61996695289,31,50,74,3700,1
1907,132070979040,64063239769,47,36,152,1368,1
1924,132070979040,67256990329,23,18,74,1332,1
1926,132070979040,67632725689,47,36,152,1368,1
1945,132070979040,71202211609,47,36,152,1368,1
1961,132070979040,74208094489,23,18,74,1332,1
1964,132070979040,74771697529,47,36,152,1368,1
1983,132070979040,78341183449,47,36,152,1368,1
2002,132070979040,81910669369,47,36,152,1368,1
2007,132070979040,82850007769,31,50,74,3700,1
2021,132070979040,85480155289,47,36,152,1368,1
2035,132070979040,88110302809,23,18,74,1332,1
2040,132070979040,89049641209,47,36,152,1368,1
2044,132070979040,89801111929,31,50,74,3700,1
2059,132070979040,92619127129,47,36,152,1368,1
2072,132070979040,95061406969,23,18,74,1332,1
2075,132070979040,95625010009,311,180,1064,47880,1
2078,132070979040,96188613049,47,36,152,1368,1
2116,132070979040,103327584889,47,36,152,1368,1
2135,132070979040,106897070809,47,36,152,1368,1
2146,132070979040,108963615289,23,18,74,1332,1
2154,132070979040,110466556729,47,36,152,1368,1
2183,132070979040,115914719449,23,18,74,1332,1
2192,132070979040,117605528569,47,36,152,1368,1
2211,132070979040,121175014489,47,36,152,1368,1
2220,132070979040,122865823609,23,18,74,1332,1
2229,132070979040,124556632729,31,50,74,3700,1
2230,132070979040,124744500409,47,36,152,1368,1
2249,132070979040,128313986329,47,36,152,1368,1
2257,132070979040,129816927769,23,18,74,1332,1
2266,132070979040,131507736889,31,50,74,3700,1
2268,132070979040,131883472249,47,36,152,1368,1
7,187867680,601129,39,4,152,152,114
7,187867680,601129,11,6,38,228,57
7,187867680,601129,23,16,76,304,57
7,187867680,601129,47,36,152,1368,19
2713,203460697440,46779653449,311,28,1216,8512,1
2823,203460697440,67445098249,131,11,513,22572,1
3055,203460697440,111030400009,311,28,1216,8512,1
3450,203460697440,185238133609,131,11,513,22572,1
3454,203460697440,185989604329,311,28,1216,8512,1
12,187867680,1201729,31,8,116,232,82
12,187867680,1201729,11,3,41,492,54
12,187867680,1201729,43,29,143,16588,39
12,187867680,1201729,47,24,164,984,26
12,187867680,1201729,95,52,328,4264,26
12,187867680,1201729,71,120,164,4920,26
12,187867680,1201729,35,17,123,8364,26
3563,223374671520,752672449,47,72,116,2088,1
3650,223374671520,17097160609,47,72,116,2088,1
3708,223374671520,27993486049,47,72,116,2088,1
3737,223374671520,33441648769,47,72,116,2088,1
3766,223374671520,38889811489,47,72,116,2088,1
3795,223374671520,44337974209,47,72,116,2088,1
3824,223374671520,49786136929,47,72,116,2088,1
3853,223374671520,55234299649,47,72,116,2088,1
3882,223374671520,60682462369,47,72,116,2088,1
3911,223374671520,66130625089,47,72,116,2088,1
3940,223374671520,71578787809,47,72,116,2088,1
3969,223374671520,77026950529,47,72,116,2088,1
3998,223374671520,82475113249,47,72,116,2088,1
4027,223374671520,87923275969,47,72,116,2088,1
4085,223374671520,98819601409,47,72,116,2088,1
4143,223374671520,109715926849,47,72,116,2088,1
4172,223374671520,115164089569,47,72,116,2088,1
4201,223374671520,120612252289,47,72,116,2088,1
4230,223374671520,126060415009,47,72,116,2088,1
4259,223374671520,131508577729,47,72,116,2088,1
4288,223374671520,136956740449,47,72,116,2088,1
4317,223374671520,142404903169,47,72,116,2088,1
4346,223374671520,147853065889,47,72,116,2088,1
4375,223374671520,153301228609,47,72,116,2088,1
4404,223374671520,158749391329,47,72,116,2088,1
4433,223374671520,164197554049,47,72,116,2088,1
4491,223374671520,175093879489,47,72,116,2088,1
4520,223374671520,180542042209,47,72,116,2088,1
4578,223374671520,191438367649,47,72,116,2088,1
4607,223374671520,196886530369,47,72,116,2088,1
4636,223374671520,202334693089,47,72,116,2088,1
4665,223374671520,207782855809,47,72,116,2088,1
4694,223374671520,213231018529,47,72,116,2088,1
4723,223374671520,218679181249,47,72,116,2088,1
14,187867680,1441969,39,4,152,152,114
14,187867680,1441969,11,6,38,228,57
14,187867680,1441969,47,36,152,1368,19
4877,203460697440,5073869329,111,64,380,6080,1
4878,203460697440,5261737009,23,38,54,2052,1
4935,203460697440,15970194769,23,38,54,2052,1
4991,203460697440,26490784849,111,64,380,6080,1
4992,203460697440,26678652529,23,38,54,2052,1
5049,203460697440,37387110289,23,38,54,2052,1
5143,203460697440,55046672209,111,64,380,6080,1
5163,203460697440,58804025809,23,38,54,2052,1
5219,203460697440,69324615889,111,64,380,6080,1
5220,203460697440,69512483569,23,38,54,2052,1
5238,203460697440,72894101809,111,64,380,6080,1
5277,203460697440,80220941329,23,38,54,2052,1
5314,203460697440,87172045489,111,64,380,6080,1
5333,203460697440,90741531409,111,64,380,6080,1
5334,203460697440,90929399089,23,38,54,2052,1
5371,203460697440,97880503249,111,64,380,6080,1
5390,203460697440,101449989169,111,64,380,6080,1
5391,203460697440,101637856849,23,38,54,2052,1
5409,203460697440,105019475089,111,64,380,6080,1
5428,203460697440,108588961009,111,64,380,6080,1
5448,203460697440,112346314609,23,38,54,2052,1
5505,203460697440,123054772369,23,38,54,2052,1
5599,203460697440,140714334289,111,64,380,6080,1
5619,203460697440,144471687889,23,38,54,2052,1
5676,203460697440,155180145649,23,38,54,2052,1
5694,203460697440,158561763889,111,64,380,6080,1
5713,203460697440,162131249809,111,64,380,6080,1
5731,203460697440,165512868049,719,68,2808,47736,1
5732,203460697440,165700735729,111,64,380,6080,1
5770,203460697440,172839707569,111,64,380,6080,1
5789,203460697440,176409193489,111,64,380,6080,1
5790,203460697440,176597061169,23,38,54,2052,1
5884,203460697440,194256623089,111,64,380,6080,1
5904,203460697440,198013976689,23,38,54,2052,1
5922,203460697440,201395594929,111,64,380,6080,1
16,187867680,1682209,39,4,152,152,58
16,187867680,1682209,31,8,116,232,34
6025,103515091680,1128888289,47,72,116,2088,1
6571,310545275040,104643979969,131,11,513,22572,1
6032,103515091680,2443962049,47,36,152,1368,1
6033,103515091680,2631829729,111,19,425,32300,1
6051,103515091680,6013447969,47,36,152,1368,1
6063,103515091680,8267860129,131,11,513,22572,1
6070,103515091680,9582933889,47,36,152,1368,1
6072,103515091680,9958669249,23,38,54,2052,1
6083,103515091680,12025213729,47,72,116,2088,1
6089,103515091680,13152419809,47,36,152,1368,1
6101,103515091680,15406831969,131,11,513,22572,1
6105,103515091680,16158302689,311,180,1064,47880,1
6110,103515091680,17097641089,23,38,54,2052,1
6112,103515091680,17473376449,47,72,116,2088,1
6127,103515091680,20291391649,47,36,152,1368,1
6139,103515091680,22545803809,131,11,513,22572,1
6141,103515091680,22921539169,47,72,116,2088,1
6146,103515091680,23860877569,47,36,152,1368,1
6148,103515091680,24236612929,23,38,54,2052,1
6165,103515091680,27430363489,47,36,152,1368,1
6170,103515091680,28369701889,47,72,116,2088,1
6177,103515091680,29684775649,191,300,464,34800,1
6184,103515091680,30999849409,47,36,152,1368,1
6186,103515091680,31375584769,23,38,54,2052,1
6203,103515091680,34569335329,47,36,152,1368,1
6204,103515091680,34757203009,111,19,425,32300,1
6222,103515091680,38138821249,47,36,152,1368,1
6223,103515091680,38326688929,111,19,425,32300,1
6228,103515091680,39266027329,47,72,116,2088,1
6241,103515091680,41708307169,47,36,152,1368,1
6242,103515091680,41896174849,111,19,425,32300,1
6243,103515091680,42084042529,23,38,54,2052,1
6257,103515091680,44714190049,47,72,116,2088,1
6260,103515091680,45277793089,47,36,152,1368,1
6279,103515091680,48847279009,47,36,152,1368,1
6281,103515091680,49223014369,23,38,54,2052,1
6293,103515091680,51477426529,191,300,464,34800,1
6299,103515091680,52604632609,111,19,425,32300,1
6315,103515091680,55610515489,47,72,116,2088,1
6317,103515091680,55986250849,47,36,152,1368,1
6318,103515091680,56174118529,111,19,425,32300,1
6319,103515091680,56361986209,23,38,54,2052,1
6344,103515091680,61058678209,47,72,116,2088,1
6348,103515091680,61810148929,131,11,513,22572,1
6355,103515091680,63125222689,47,36,152,1368,1
6357,103515091680,63500958049,23,38,54,2052,1
6373,103515091680,66506840929,47,72,116,2088,1
6374,103515091680,66694708609,47,36,152,1368,1
6375,103515091680,66882576289,111,19,425,32300,1
6390,103515091680,69700591489,311,180,1064,47880,1
6402,103515091680,71955003649,47,72,116,2088,1
6431,103515091680,77403166369,47,36,152,1368,1
6432,103515091680,77591034049,111,19,425,32300,1
6450,103515091680,80972652289,47,36,152,1368,1
6460,103515091680,82851329089,47,72,116,2088,1
6469,103515091680,84542138209,47,36,152,1368,1
6489,103515091680,88299491809,47,72,116,2088,1
6490,103515091680,88487359489,23,38,54,2052,1
6496,103515091680,89614565569,191,300,464,34800,1
6504,103515091680,91117507009,311,180,1064,47880,1
6507,103515091680,91681110049,47,36,152,1368,1
6518,103515091680,93747654529,47,72,116,2088,1
6519,103515091680,93935522209,131,11,513,22572,1
6526,103515091680,95250595969,47,36,152,1368,1
6542,103515091680,98256478849,143,108,464,12528,1
6545,103515091680,98820081889,47,36,152,1368,1
6547,103515091680,99195817249,47,72,116,2088,1
6881,310545275040,202710908929,23,38,54,2052,1
6564,103515091680,102389567809,47,36,152,1368,1
6565,103515091680,102577435489,111,19,425,32300,1
18,187867680,1922449,11,6,38,228,290
18,187867680,1922449,31,8,116,232,170
19,187867680,2042569,15,2,58,116,118
19,187867680,2042569,31,8,116,232,59
19,187867680,2042569,119,12,464,1392,59
19,187867680,2042569,11,15,29,1740,59
19,187867680,2042569,95,3,377,4524,59
19,187867680,2042569,43,29,143,16588,59
19,187867680,2042569,15,1,59,236,44
