class_id,modulus,residue,d,a,b,rule_modulus,covered_subclasses
1,120120,361,39,4,152,152,152
1,120120,361,11,6,38,228,76
1,120120,361,119,20,456,2280,76
1,120120,361,23,16,76,304,38
3,173453280,120481,79,44,272,2992,290
3,173453280,120481,55,104,116,3016,150
3,173453280,120481,79,116,200,5800,15
4,173453280,240601,23,24,68,408,46
4,173453280,240601,71,8,276,552,30
4,173453280,240601,39,20,136,680,21
4,173453280,240601,71,12,272,816,21
4,173453280,240601,31,56,68,952,21
4,173453280,240601,119,16,460,1840,12
3948,67820232480,6418011961,39,64,92,1472,1
3965,67820232480,9366717721,11,17,27,1836,1
3971,67820232480,10407437401,39,64,92,1472,1
3973,67820232480,10754343961,199,320,476,38080,1
3994,67820232480,14396862841,39,64,92,1472,1
4007,67820232480,16651755481,167,92,576,13248,1
4017,67820232480,18386288281,39,64,92,1472,1
4033,67820232480,21161540761,11,17,27,1836,1
4050,67820232480,24110246521,11,17,27,1836,1
4063,67820232480,26365139161,39,64,92,1472,1
4069,67820232480,27405858841,143,68,504,8568,1
4086,67820232480,30354564601,39,64,92,1472,1
4109,67820232480,34343990041,39,64,92,1472,1
4135,67820232480,38853775321,11,17,27,1836,1
4137,67820232480,39200681881,143,68,504,8568,1
4168,67820232480,44577733561,167,92,576,13248,1
4178,67820232480,46312266361,39,64,92,1472,1
4188,67820232480,48046799161,143,68,504,8568,1
4201,67820232480,50301691801,39,64,92,1472,1
4203,67820232480,50648598361,11,17,27,1836,1
4247,67820232480,58280542681,39,64,92,1472,1
4270,67820232480,62269968121,39,64,92,1472,1
4271,67820232480,62443421401,11,17,27,1836,1
4273,67820232480,62790327961,143,68,504,8568,1
4288,67820232480,65392127161,11,17,27,1836,1
4293,67820232480,66259393561,39,64,92,1472,1
4296,67820232480,66779753401,199,320,476,38080,1
5,173453280,360721,23,24,68,408,206
5,173453280,360721,39,20,136,680,103
5,173453280,360721,31,56,68,952,103
5,173453280,360721,59,30,206,6180,26
7,173453280,600961,47,36,152,1368,697
7,173453280,600961,23,24,68,408,164
7,173453280,600961,39,20,136,680,82
7,173453280,600961,31,56,68,952,82
7,173453280,600961,11,3,41,492,52
7,173453280,600961,47,24,164,984,26
7,173453280,600961,35,17,123,8364,2
8,173453280,721081,23,24,68,408,86
8,173453280,721081,11,1,43,172,30
8266,126794347680,1214894041,95,36,344,3096,1
8268,126794347680,1561800601,143,68,504,8568,1
8298,126794347680,6765399001,83,9,323,11628,1
8309,126794347680,8673385081,95,36,344,3096,1
8349,126794347680,15611516281,83,9,323,11628,1
8352,126794347680,16131876121,95,36,344,3096,1
8395,126794347680,23590367161,95,36,344,3096,1
8400,126794347680,24457633561,83,9,323,11628,1
8438,126794347680,31048858201,95,36,344,3096,1
8472,126794347680,36946269721,143,68,504,8568,1
8523,126794347680,45792387001,143,68,504,8568,1
8529,126794347680,46833106681,199,320,476,38080,1
8563,126794347680,52730518201,199,320,476,38080,1
8567,126794347680,53424331321,95,36,344,3096,1
8604,126794347680,59842102681,83,9,323,11628,1
8608,126794347680,60535915801,143,68,504,8568,1
8625,126794347680,63484621561,143,68,504,8568,1
8653,126794347680,68341313401,95,36,344,3096,1
8676,126794347680,72330738841,143,68,504,8568,1
8693,126794347680,75279444601,143,68,504,8568,1
8696,126794347680,75799804441,95,36,344,3096,1
8757,126794347680,86380454521,83,9,323,11628,1
8782,126794347680,90716786521,95,36,344,3096,1
8801,126794347680,94012398841,199,320,476,38080,1
8825,126794347680,98175277561,95,36,344,3096,1
8835,126794347680,99909810361,199,320,476,38080,1
8842,126794347680,101123983321,83,9,323,11628,1
8911,126794347680,113092259641,95,36,344,3096,1
8937,126794347680,117602044921,199,320,476,38080,1
8944,126794347680,118816217881,83,9,323,11628,1
8954,126794347680,120550750681,95,36,344,3096,1
8988,126794347680,126448162201,199,320,476,38080,1
10,173453280,961321,23,24,68,408,46
10,173453280,961321,35,2,138,276,30
9091,67820232480,1908947401,143,68,504,8568,1
9102,67820232480,3816933481,55,92,128,2944,1
9123,67820232480,7459452361,11,17,27,1836,1
9125,67820232480,7806358921,55,92,128,2944,1
9487,271280929920,7806358921,239,36,920,8280,1
9157,67820232480,13356863881,87,92,256,5888,1
9191,67820232480,19254275401,11,17,27,1836,1
9217,67820232480,23764060681,55,92,128,2944,1
9227,67820232480,25498593481,143,68,504,8568,1
9240,67820232480,27753486121,55,92,128,2944,1
9259,67820232480,31049098441,11,17,27,1836,1
9276,67820232480,33997804201,11,17,27,1836,1
9286,67820232480,35732337001,55,92,128,2944,1
9318,67820232480,41282841961,87,92,256,5888,1
9332,67820232480,43711187881,55,92,128,2944,1
9344,67820232480,45792627241,11,17,27,1836,1
9361,67820232480,48741333001,11,17,27,1836,1
9400,67820232480,55506010921,215,32,828,6624,1
9401,67820232480,55679464201,55,92,128,2944,1
9412,67820232480,57587450281,11,17,27,1836,1
9424,67820232480,59668889641,55,92,128,2944,1
9429,67820232480,60536156041,11,17,27,1836,1
9447,67820232480,63658315081,55,92,128,2944,1
9469,67820232480,67474287241,215,32,828,6624,1
12,173453280,1201561,31,56,68,952,174
12,173453280,1201561,119,12,464,1392,90
9636,256537401120,4510986841,395,14,1566,21924,1
9655,256537401120,7806599161,11,17,27,1836,1
9706,256537401120,16652716441,11,17,27,1836,1
9748,256537401120,23937754201,199,320,476,38080,1
9757,256537401120,25498833721,11,17,27,1836,1
9808,256537401120,34344951001,11,17,27,1836,1
9859,256537401120,43191068281,11,17,27,1836,1
10012,256537401120,69729420121,11,17,27,1836,1
10063,256537401120,78575537401,11,17,27,1836,1
10114,256537401120,87421654681,11,17,27,1836,1
10238,256537401120,108929861401,311,432,812,87696,1
10267,256537401120,113960006521,11,17,27,1836,1
10318,256537401120,122806123801,11,17,27,1836,1
10369,256537401120,131652241081,11,17,27,1836,1
10394,256537401120,135988573081,199,320,476,38080,1
10420,256537401120,140498358361,11,17,27,1836,1
10471,256537401120,149344475641,11,17,27,1836,1
10522,256537401120,158190592921,11,17,27,1836,1
10624,256537401120,175882827481,11,17,27,1836,1
10675,256537401120,184728944761,11,17,27,1836,1
10717,256537401120,192013982521,199,320,476,38080,1
10726,256537401120,193575062041,11,17,27,1836,1
10777,256537401120,202421179321,11,17,27,1836,1
10819,256537401120,209706217081,199,320,476,38080,1
10828,256537401120,211267296601,11,17,27,1836,1
10853,256537401120,215603628601,199,320,476,38080,1
10879,256537401120,220113413881,11,17,27,1836,1
10981,256537401120,237805648441,11,17,27,1836,1
11032,256537401120,246651765721,11,17,27,1836,1
11040,256537401120,248039391961,199,320,476,38080,1
11083,256537401120,255497883001,11,17,27,1836,1
13,173453280,1321681,31,56,68,952,46
13,173453280,1321681,35,38,102,3876,23
13,173453280,1321681,63,68,184,3128,2
11180,67820232480,695134801,35,19,121,9196,1
11184,67820232480,1388947921,35,19,121,9196,1
11189,67820232480,2256214321,119,200,276,13800,1
