feature,remaining_count,covered_count,enrichment_ratio
r_mod_59=15,4846,378,1.0110192441586938
r_mod_29=28,9389,733,1.0101437396864235
r_mod_53=36,5356,419,1.008078512262594
r_mod_41=10,7094,555,1.008012721861199
r_mod_53=24,5378,421,1.0074105955801154
r_mod_59=18,4852,380,1.006943279788386
gcd_r_m=1,286082,22426,1.0060197984482298
gcd_r_m_is_1=True,286082,22426,1.0060197984482298
r_mod_43=30,6758,530,1.0055649567685634
r_mod_59=8,4857,381,1.0053353184844804
r_mod_53=1,5453,428,1.0047535305706417
r_mod_31=15,7610,598,1.003578352853857
r_mod_59=47,4771,375,1.0033349971919474
r_mod_53=44,5429,427,1.0026740584867277
r_mod_53=15,5435,428,1.001436904208956
r_mod_12=1,286082,22561,1.0
r_mod_24=1,286082,22561,1.0
r_mod_8=1,286082,22561,1.0
r_qr_mod_11=True,286082,22561,1.0
r_qr_mod_13=True,286082,22561,1.0
r_qr_mod_5=True,286082,22561,1.0
r_qr_mod_7=True,286082,22561,1.0
r_mod_59=38,4843,382,0.9998133200999633
is_integer_square=False,285864,22559,0.9993265695729944
r_mod_59=42,4847,383,0.998026465526335
r_mod_53=0,5096,403,0.9972227678461691
r_mod_47=15,6156,487,0.996867557121336
r_mod_59=10,4859,385,0.9952999489656811
r_mod_59=31,4806,381,0.9947789871600604
r_mod_59=48,4856,385,0.9946854398389273
r_mod_43=26,6683,530,0.9944052391364767
r_mod_29=12,11667,926,0.9936101594699026
r_mod_59=11,4873,387,0.9930091690340783
r_mod_41=12,7056,562,0.9901250969006448
r_mod_53=18,5459,435,0.9896728347398507
r_mod_59=46,4929,393,0.9890860576941294
r_mod_59=33,4850,387,0.9883222798717998
r_mod_29=4,11338,906,0.9869066315184367
r_mod_59=26,4835,387,0.9852656130268354
r_mod_59=21,4883,391,0.984867438522223
r_mod_19=15,15779,1264,0.9844648501460898
r_mod_59=32,4902,393,0.9836680573780934
r_mod_59=51,4829,388,0.9815067531283114
r_mod_59=16,4863,391,0.9808335763943418
r_mod_47=23,5479,441,0.9797844063579062
r_mod_59=44,4715,380,0.9785114518141469
r_mod_59=57,4848,391,0.9778081797984307
r_mod_59=19,4866,393,0.9764440569567121
r_mod_29=27,4605,372,0.9762352988800188
r_mod_43=35,6721,543,0.9761170035306366
r_qr_mod_59=False,139996,11313,0.975900750993791
r_mod_41=27,6971,564,0.9747287838070134
r_mod_59=2,4832,391,0.9745810900961256
r_mod_59=35,4877,396,0.9712373647338098
r_mod_59=40,4830,393,0.9692200565353306
focus=361,56383,4600,0.9666253055144116
r_mod_11=9,56383,4600,0.9666253055144116
r_mod_13=10,56383,4600,0.9666253055144116
r_mod_840=361,56383,4600,0.9666253055144116
r_mod_59=55,4790,391,0.9661099796275749
r_qr_mod_53=False,139719,11442,0.962989024708839
r_mod_43=39,6372,522,0.962660332014766
r_qr_mod_43=False,138751,11368,0.9625423997418772
r_mod_43=27,6596,541,0.9615042187469975
r_mod_53=30,5350,439,0.9610745435317231
r_mod_59=24,4853,399,0.9591912489327988
r_mod_53=5,5407,446,0.9560691902973787
r_mod_59=39,4855,401,0.954800579385005
r_mod_43=33,6711,555,0.9535908340020448
r_mod_41=35,6157,510,0.9520654163190013
r_mod_41=6,6990,579,0.9520646151201331
r_mod_47=11,6041,503,0.9471279717476767
r_mod_59=34,4838,405,0.9420601932226804
r_mod_59=0,4706,394,0.9419405930151651
r_mod_23=15,12777,1074,0.9381935128260878
r_qr_mod_41=False,137640,11574,0.9378405316359919
r_mod_53=23,5387,453,0.9378137279925591
r_mod_37=15,7446,629,0.933555622022565
r_mod_47=20,6037,510,0.9335096505307474
r_mod_59=14,4812,407,0.9323930371881659
r_mod_19=14,8700,736,0.9322003261150726
r_mod_29=14,4616,391,0.9310153791150074
r_qr_mod_37=False,137494,11696,0.9270735687827768
r_qr_mod_47=False,138730,11842,0.9238748436217746
r_mod_59=58,4648,397,0.9233012528492958
r_mod_59=28,4823,412,0.9231831266654962
r_mod_23=21,7026,601,0.9219375113480199
r_mod_37=0,6804,584,0.9187963686625723
r_mod_43=37,6693,575,0.9179537335449277
r_mod_53=51,5104,441,0.9127248786367501
r_mod_59=54,4880,424,0.9076570340763891
r_mod_47=35,5923,515,0.9069896179539263
r_mod_43=32,5990,522,0.9049490566177727
r_mod_47=0,5419,474,0.9015890357127255
r_mod_37=18,6769,594,0.8986816652153863
r_mod_37=35,6734,591,0.898573162397524
r_mod_53=19,5378,472,0.8985590269898912
r_mod_53=26,5032,442,0.8978135908316766
r_qr_mod_29=False,117044,10288,0.8971932801722131
r_mod_29=11,8393,742,0.8920334293914676
r_mod_43=20,6023,533,0.891155447854184
r_mod_53=45,5313,471,0.8895835041193704
r_mod_17=5,18953,1684,0.887572193102916
r_mod_41=0,6201,551,0.8875195835301164
r_mod_53=27,5287,470,0.8871136560013219
r_mod_29=17,10534,941,0.8828186572340485
r_mod_53=39,5326,476,0.8823929338235809
r_mod_43=0,5983,535,0.8819278009762184
r_mod_31=12,8783,786,0.8812277180693384
r_qr_mod_23=False,126751,11397,0.8770586948376504
r_mod_29=5,13278,1196,0.8755265025751323
r_mod_41=30,6190,558,0.8748311979829629
r_mod_23=18,18114,1633,0.8747742506588141
r_mod_23=11,6996,631,0.8743559178798058
r_mod_17=4,24556,2222,0.8715280760394045
r_mod_31=24,9452,865,0.8617383439074604
r_mod_23=0,7035,644,0.8614816806856532
r_mod_23=22,7036,646,0.8589366321457597
r_mod_53=41,5281,485,0.8587015387484966
r_mod_31=6,9017,830,0.856745416239661
r_mod_41=13,6983,645,0.8537881831354366
r_mod_41=15,7041,654,0.8490326825522341
r_mod_47=29,6128,570,0.8478357266478743
r_mod_47=41,6105,570,0.8446535755850642
r_mod_59=56,4777,447,0.8427825413301583
r_mod_120=1,165909,15581,0.8397353392718453
r_mod_5=1,165909,15581,0.8397353392718453
r_mod_60=1,165909,15581,0.8397353392718453
r_mod_37=23,7656,723,0.8350864553502215
r_mod_53=48,5299,504,0.8291463539202824
r_mod_37=8,7661,729,0.8287542074639376
r_qr_mod_31=False,133360,12912,0.8145164911296956
r_mod_19=10,12210,1199,0.8030901385879676
r_mod_17=11,5137,517,0.7835863010263239
r_qr_mod_19=False,109003,10986,0.782468149228335
r_mod_17=0,5134,521,0.7771161835255455
r_mod_41=17,6822,699,0.7696660878136533
r_mod_23=10,10834,1118,0.764213736884851
r_mod_59=43,4631,478,0.7640375382907303
