modulus,residue,method,d,a,b
840,0,formula_even,,,
840,2,formula_even,,,
840,3,formula_divisible_by_3,,,
840,4,formula_even,,,
840,5,general_key_d_3,3,4,8
840,6,formula_even,,,
840,7,formula_3_mod_4,,,
840,8,formula_even,,,
840,9,formula_divisible_by_3,,,
840,10,formula_even,,,
840,11,formula_3_mod_4,,,
840,12,formula_even,,,
840,13,general_key_d_3,3,4,8
840,14,formula_even,,,
840,15,formula_divisible_by_3,,,
840,16,formula_even,,,
840,17,general_key_d_7,7,4,24
840,18,formula_even,,,
840,19,formula_3_mod_4,,,
840,20,formula_even,,,
840,21,formula_divisible_by_3,,,
840,22,formula_even,,,
840,23,formula_3_mod_4,,,
840,24,formula_even,,,
840,25,general_key_d_3,3,2,10
840,26,formula_even,,,
840,27,formula_divisible_by_3,,,
840,28,formula_even,,,
840,29,general_key_d_3,3,4,8
840,30,formula_even,,,
840,31,formula_3_mod_4,,,
840,32,formula_even,,,
840,33,formula_divisible_by_3,,,
840,34,formula_even,,,
840,35,formula_3_mod_4,,,
840,36,formula_even,,,
840,37,general_key_d_3,3,4,8
840,38,formula_even,,,
840,39,formula_divisible_by_3,,,
840,40,formula_even,,,
840,41,general_key_d_7,7,4,24
840,42,formula_even,,,
840,43,formula_3_mod_4,,,
840,44,formula_even,,,
840,45,formula_divisible_by_3,,,
840,46,formula_even,,,
840,47,formula_3_mod_4,,,
840,48,formula_even,,,
840,49,general_key_d_11,11,2,42
840,50,formula_even,,,
840,51,formula_divisible_by_3,,,
840,52,formula_even,,,
840,53,general_key_d_3,3,4,8
840,54,formula_even,,,
840,55,formula_3_mod_4,,,
840,56,formula_even,,,
840,57,formula_divisible_by_3,,,
840,58,formula_even,,,
840,59,formula_3_mod_4,,,
840,60,formula_even,,,
840,61,general_key_d_3,3,4,8
840,62,formula_even,,,
840,63,formula_divisible_by_3,,,
840,64,formula_even,,,
840,65,general_key_d_7,7,4,24
840,66,formula_even,,,
840,67,formula_3_mod_4,,,
840,68,formula_even,,,
840,69,formula_divisible_by_3,,,
840,70,formula_even,,,
840,71,formula_3_mod_4,,,
840,72,formula_even,,,
840,73,general_key_d_7,7,8,20
840,74,formula_even,,,
840,75,formula_divisible_by_3,,,
840,76,formula_even,,,
840,77,general_key_d_3,3,4,8
840,78,formula_even,,,
840,79,formula_3_mod_4,,,
840,80,formula_even,,,
840,81,formula_divisible_by_3,,,
840,82,formula_even,,,
840,83,formula_3_mod_4,,,
840,84,formula_even,,,
840,85,general_key_d_3,3,4,8
840,86,formula_even,,,
840,87,formula_divisible_by_3,,,
840,88,formula_even,,,
840,89,general_key_d_7,7,4,24
840,90,formula_even,,,
840,91,formula_3_mod_4,,,
840,92,formula_even,,,
840,93,formula_divisible_by_3,,,
840,94,formula_even,,,
840,95,formula_3_mod_4,,,
840,96,formula_even,,,
840,97,general_key_d_3,3,2,10
840,98,formula_even,,,
840,99,formula_divisible_by_3,,,
840,100,formula_even,,,
840,101,general_key_d_3,3,4,8
840,102,formula_even,,,
840,103,formula_3_mod_4,,,
840,104,formula_even,,,
840,105,formula_divisible_by_3,,,
840,106,formula_even,,,
840,107,formula_3_mod_4,,,
840,108,formula_even,,,
840,109,general_key_d_3,3,4,8
840,110,formula_even,,,
840,111,formula_divisible_by_3,,,
840,112,formula_even,,,
840,113,general_key_d_7,7,4,24
840,114,formula_even,,,
840,115,formula_3_mod_4,,,
840,116,formula_even,,,
840,117,formula_divisible_by_3,,,
840,118,formula_even,,,
840,119,formula_3_mod_4,,,
840,120,formula_even,,,
840,122,formula_even,,,
840,123,formula_divisible_by_3,,,
840,124,formula_even,,,
840,125,general_key_d_3,3,4,8
840,126,formula_even,,,
840,127,formula_3_mod_4,,,
840,128,formula_even,,,
840,129,formula_divisible_by_3,,,
840,130,formula_even,,,
840,131,formula_3_mod_4,,,
840,132,formula_even,,,
840,133,general_key_d_3,3,4,8
840,134,formula_even,,,
