class_id,modulus,residue,d,a,b,rule_modulus,covered_subclasses
1,120120,961,139,5,551,11020,8
1,120120,961,135,76,464,8816,3
2,132372240,961,7,11,17,748,186
2,132372240,961,47,2,186,372,90
2,132372240,961,39,1,155,620,45
2,132372240,961,95,8,372,744,45
2,132372240,961,19,14,62,868,45
1136,209280511440,4235912641,71,68,216,3672,1
1146,209280511440,5559635041,11,17,27,1836,1
1187,209280511440,10986896881,71,68,216,3672,1
1238,209280511440,17737881121,71,68,216,3672,1
1248,209280511440,19061603521,11,17,27,1836,1
1299,209280511440,25812587761,11,17,27,1836,1
1340,209280511440,31239849601,71,68,216,3672,1
1391,209280511440,37990833841,71,68,216,3672,1
1401,209280511440,39314556241,11,17,27,1836,1
1442,209280511440,44741818081,71,68,216,3672,1
1452,209280511440,46065540481,11,17,27,1836,1
1544,209280511440,58243786561,71,68,216,3672,1
1554,209280511440,59567508961,11,17,27,1836,1
1605,209280511440,66318493201,11,17,27,1836,1
1646,209280511440,71745755041,71,68,216,3672,1
1697,209280511440,78496739281,71,68,216,3672,1
1707,209280511440,79820461681,11,17,27,1836,1
1748,209280511440,85247723521,71,68,216,3672,1
1758,209280511440,86571445921,11,17,27,1836,1
1799,209280511440,91998707761,71,68,216,3672,1
1850,209280511440,98749692001,71,68,216,3672,1
1851,209280511440,98882064241,2735,28,10912,76384,1
1860,209280511440,100073414401,11,17,27,1836,1
1901,209280511440,105500676241,71,68,216,3672,1
1911,209280511440,106824398641,11,17,27,1836,1
1952,209280511440,112251660481,71,68,216,3672,1
1962,209280511440,113575382881,11,17,27,1836,1
2013,209280511440,120326367121,11,17,27,1836,1
2054,209280511440,125753628961,71,68,216,3672,1
2105,209280511440,132504613201,71,68,216,3672,1
2115,209280511440,133828335601,11,17,27,1836,1
2166,209280511440,140579319841,11,17,27,1836,1
2207,209280511440,146006581681,71,68,216,3672,1
2217,209280511440,147330304081,11,17,27,1836,1
2258,209280511440,152757565921,71,68,216,3672,1
2319,209280511440,160832272561,11,17,27,1836,1
2360,209280511440,166259534401,71,68,216,3672,1
2370,209280511440,167583256801,11,17,27,1836,1
2411,209280511440,173010518641,71,68,216,3672,1
2462,209280511440,179761502881,71,68,216,3672,1
2472,209280511440,181085225281,11,17,27,1836,1
2513,209280511440,186512487121,71,68,216,3672,1
2523,209280511440,187836209521,11,17,27,1836,1
2564,209280511440,193263471361,71,68,216,3672,1
2574,209280511440,194587193761,11,17,27,1836,1
2625,209280511440,201338178001,11,17,27,1836,1
2666,209280511440,206765439841,71,68,216,3672,1
2676,209280511440,208089162241,11,17,27,1836,1
4,132372240,241201,23,24,68,408,178
4,132372240,241201,39,20,136,680,89
4,132372240,241201,7,11,17,748,89
4,132372240,241201,95,6,374,2244,89
4,132372240,241201,23,3,89,1068,24
4,132372240,241201,119,120,356,10680,12
4,132372240,241201,71,17,267,18156,1
8,132372240,721681,47,4,184,184,148
8,132372240,721681,19,2,74,148,84
8,132372240,721681,35,2,138,276,70
8,132372240,721681,71,8,276,552,70
8,132372240,721681,95,12,368,1104,70
8,132372240,721681,39,8,148,296,36
4364,225297552480,3045283201,23,18,74,1332,1
4377,225297552480,4766122321,119,180,296,13320,1
4401,225297552480,7943056081,23,18,74,1332,1
4414,225297552480,9663895201,119,180,296,13320,1
4438,225297552480,12840828961,23,18,74,1332,1
4451,225297552480,14561668081,119,180,296,13320,1
4475,225297552480,17738601841,23,18,74,1332,1
4512,225297552480,22636374721,23,18,74,1332,1
4538,225297552480,26078052961,239,36,920,8280,1
4549,225297552480,27534147601,23,18,74,1332,1
4562,225297552480,29254986721,119,180,296,13320,1
4586,225297552480,32431920481,23,18,74,1332,1
4599,225297552480,34152759601,119,180,296,13320,1
