iteration,focus_r,d,a,b,q,covered_residue_count,fully_covered_count,partial_count,empty_after_application_count,unknown_fullness_count
1,841,303,68,1144,19448,8,1964,0,0,33972
2,841,215,24,836,5016,8,1532,0,0,33367
3,841,215,44,816,8976,8,1059,0,0,16219
4,841,167,24,644,3864,8,588,0,0,41694
5,841,303,16,1196,4784,4,454,0,0,19890
6,841,251,42,962,40404,16,146,0,0,47926
7,841,199,380,416,39520,8,126,0,0,15078
8,841,407,16,1612,6448,4,124,0,0,24146
9,841,335,24,1316,7896,8,104,0,0,48672
10,841,159,16,620,2480,4,92,0,0,22574
11,841,143,8,564,1128,4,86,0,0,48641
12,841,479,24,1892,11352,8,73,0,0,49752
13,841,279,56,1060,14840,8,68,0,0,48913
14,841,279,80,1036,20720,8,68,0,0,24867
15,841,191,12,752,2256,4,65,0,0,22530
16,841,239,16,940,3760,4,62,0,0,22530
17,841,167,12,656,1968,4,46,0,0,25202
18,841,215,12,848,2544,4,46,0,0,24722
19,841,135,76,464,8816,4,43,0,0,717
20,841,111,38,406,15428,8,28,0,0,3175
21,841,215,68,792,13464,8,25,0,0,27827
22,841,359,20,1416,7080,8,24,0,0,50727
23,841,239,36,920,8280,8,24,0,0,36053
24,841,239,12,944,2832,4,23,0,0,23744
25,841,63,116,136,3944,4,23,0,0,801
26,841,179,6,710,4260,8,19,0,0,50502
27,841,215,8,852,1704,4,15,0,0,50502
28,841,143,4,568,568,2,14,0,0,50502
29,841,79,146,170,24820,8,13,0,0,745
30,841,167,4,664,664,2,12,0,0,50806
31,841,107,2,426,852,4,12,0,0,50477
32,841,127,176,332,14608,4,12,0,0,23873
33,841,279,28,1088,7616,4,12,0,0,14781
34,841,199,260,536,34840,8,11,0,0,51055
35,841,215,4,856,856,2,11,0,0,50546
36,841,111,112,332,9296,4,11,0,0,23862
37,841,111,116,328,9512,4,11,0,0,3164
38,841,135,4,536,536,2,10,0,0,51022
39,841,167,14,654,9156,8,8,0,0,50701
40,841,303,13,1199,62348,8,8,0,0,50701
41,841,83,11,321,14124,8,8,0,0,50498
42,841,143,204,368,18768,8,8,0,0,12413
43,841,63,16,236,944,2,7,0,0,23613
44,841,79,80,236,4720,4,7,0,0,23613
45,841,111,8,436,872,2,6,0,0,50671
46,841,111,7,437,12236,8,6,0,0,24003
47,841,111,16,428,1712,2,6,0,0,23602
48,841,179,3,713,8556,8,5,0,0,37261
49,841,239,68,888,15096,8,5,0,0,29765
50,841,55,68,152,2584,4,5,0,0,16094
