iteration,focus_r,d,a,b,q,covered_residue_count,fully_covered_count,partial_count,empty_after_application_count,unknown_fullness_count
1,361,79,44,272,2992,4,537,0,0,14085
2,361,143,28,544,3808,4,480,0,0,7311
3,361,479,56,1860,26040,16,417,0,0,48457
4,361,159,116,520,15080,8,349,0,0,47628
5,361,143,68,504,8568,8,253,0,0,20212
6,361,159,16,620,2480,4,221,0,0,24229
7,361,199,56,740,10360,8,158,0,0,52437
8,361,143,224,348,19488,8,158,0,0,9953
9,361,143,56,516,7224,8,137,0,0,51255
10,361,255,28,992,6944,4,127,0,0,12348
11,361,167,12,656,1968,4,110,0,0,22594
12,361,159,260,376,24440,8,87,0,0,53036
13,361,199,140,656,22960,8,87,0,0,22554
14,361,143,8,564,1128,4,80,0,0,52949
15,361,299,30,1166,34980,16,64,0,0,54023
16,361,239,36,920,8280,8,63,0,0,34833
17,361,143,14,558,7812,8,60,0,0,35200
18,361,191,12,752,2256,4,55,0,0,27604
19,361,239,16,940,3760,4,52,0,0,27604
20,361,87,124,224,6944,4,44,0,0,10416
21,361,263,104,948,24648,8,42,0,0,53579
22,361,299,11,1185,52140,16,42,0,0,53579
23,361,239,8,948,1896,4,40,0,0,53579
24,361,159,4,632,632,2,39,0,0,53579
25,361,99,1,395,1580,4,25,0,0,53579
26,361,239,276,680,46920,16,25,0,0,19453
27,361,199,320,476,38080,8,25,0,0,3768
28,361,199,20,776,3880,4,24,0,0,54409
29,361,167,4,664,664,2,21,0,0,54716
30,361,199,14,782,10948,8,18,0,0,19509
31,361,199,116,680,19720,8,18,0,0,19062
32,361,143,21,551,46284,16,16,0,0,2384
33,361,87,16,332,1328,2,15,0,0,24961
34,361,143,124,448,13888,4,13,0,0,11575
35,361,215,8,852,1704,4,12,0,0,55716
36,361,359,16,1420,5680,4,12,0,0,26026
37,361,263,26,1026,26676,8,12,0,0,4084
38,361,215,4,856,856,2,11,0,0,55256
39,361,179,6,710,4260,8,10,0,0,55693
40,361,207,4,824,824,2,10,0,0,55397
41,361,367,26,1442,37492,8,10,0,0,55397
42,361,239,12,944,2832,4,10,0,0,29102
43,361,255,44,976,10736,4,10,0,0,29016
44,361,159,208,428,22256,4,10,0,0,28385
45,361,143,164,408,16728,8,10,0,0,22141
46,361,143,84,488,10248,8,9,0,0,55817
47,361,143,4,568,568,2,9,0,0,55624
48,361,155,2,618,1236,4,9,0,0,55339
49,361,143,236,336,19824,8,9,0,0,29061
50,361,103,68,344,5848,4,9,0,0,22387
