residue,method,d,a,b
611,formula_3_mod_4,,,
612,formula_even,,,
613,general_key_d_3,3,4,8
614,formula_even,,,
615,formula_divisible_by_3,,,
616,formula_even,,,
617,general_key_d_7,7,4,24
618,formula_even,,,
619,formula_3_mod_4,,,
620,formula_even,,,
621,formula_divisible_by_3,,,
622,formula_even,,,
623,formula_3_mod_4,,,
624,formula_even,,,
625,general_key_d_3,3,2,10
626,formula_even,,,
627,formula_divisible_by_3,,,
628,formula_even,,,
629,general_key_d_3,3,4,8
630,formula_even,,,
631,formula_3_mod_4,,,
632,formula_even,,,
633,formula_divisible_by_3,,,
634,formula_even,,,
635,formula_3_mod_4,,,
636,formula_even,,,
637,general_key_d_3,3,4,8
638,formula_even,,,
639,formula_divisible_by_3,,,
640,formula_even,,,
641,general_key_d_7,7,4,24
642,formula_even,,,
643,formula_3_mod_4,,,
644,formula_even,,,
645,formula_divisible_by_3,,,
646,formula_even,,,
647,formula_3_mod_4,,,
648,formula_even,,,
649,general_key_d_23,23,8,84
650,formula_even,,,
651,formula_divisible_by_3,,,
652,formula_even,,,
653,general_key_d_3,3,4,8
654,formula_even,,,
655,formula_3_mod_4,,,
656,formula_even,,,
657,formula_divisible_by_3,,,
658,formula_even,,,
659,formula_3_mod_4,,,
660,formula_even,,,
661,general_key_d_3,3,4,8
662,formula_even,,,
663,formula_divisible_by_3,,,
664,formula_even,,,
665,general_key_d_7,7,4,24
666,formula_even,,,
667,formula_3_mod_4,,,
668,formula_even,,,
669,formula_divisible_by_3,,,
670,formula_even,,,
671,formula_3_mod_4,,,
672,formula_even,,,
673,general_key_d_7,7,8,20
674,formula_even,,,
675,formula_divisible_by_3,,,
676,formula_even,,,
677,general_key_d_3,3,4,8
678,formula_even,,,
679,formula_3_mod_4,,,
680,formula_even,,,
681,formula_divisible_by_3,,,
682,formula_even,,,
683,formula_3_mod_4,,,
684,formula_even,,,
685,general_key_d_3,3,4,8
686,formula_even,,,
687,formula_divisible_by_3,,,
688,formula_even,,,
