focus_r,d,a,b,q,covered_residue_count,selected_order,classes_fully_covered,classes_partially_covered
841,83,66,266,17556,16,1,616,35324
841,59,6,230,1380,8,2,118,46249
841,63,4,248,248,2,3,53,53073
841,83,3,329,3948,8,4,48,55252
841,79,20,296,1480,4,5,41,54023
841,83,14,318,4452,8,6,31,55900
841,87,4,344,344,2,7,22,56703
841,59,1,235,940,4,8,20,55252
841,55,56,164,2296,4,9,22,55178
841,55,8,212,424,2,10,16,55900
841,63,8,244,488,2,11,1,59110
841,27,2,106,212,2,12,1,55900
841,23,3,89,1068,4,13,0,59791
841,35,1,139,556,2,14,0,59791
841,51,2,202,404,2,15,0,59791
841,27,7,101,2828,4,16,0,59791
841,39,5,151,3020,4,17,0,59791
841,55,14,206,2884,4,18,0,59791
841,39,55,101,22220,8,19,0,59791
841,59,10,226,2260,4,20,0,59791
841,75,2,298,596,2,21,0,59791
841,59,30,206,6180,8,22,0,59791
841,79,2,314,628,2,23,0,59791
841,59,3,233,2796,4,24,0,59791
841,35,3,137,1644,4,25,0,59656
841,31,2,122,244,2,26,0,59110
841,35,6,134,804,4,27,0,58947
841,39,22,134,2948,4,28,0,58947
841,55,2,218,436,2,29,0,58535
841,27,1,107,428,2,30,0,58445
