modulus,residue,method,d,a,b
5040,0,formula_even,,,
5040,2,formula_even,,,
5040,3,formula_divisible_by_3,,,
5040,4,formula_even,,,
5040,5,general_key_d_3,3,4,8
5040,6,formula_even,,,
5040,7,formula_3_mod_4,,,
5040,8,formula_even,,,
5040,9,formula_divisible_by_3,,,
5040,10,formula_even,,,
5040,11,formula_3_mod_4,,,
5040,12,formula_even,,,
5040,13,general_key_d_3,3,4,8
5040,14,formula_even,,,
5040,15,formula_divisible_by_3,,,
5040,16,formula_even,,,
5040,17,general_key_d_7,7,4,24
5040,18,formula_even,,,
5040,19,formula_3_mod_4,,,
5040,20,formula_even,,,
5040,21,formula_divisible_by_3,,,
5040,22,formula_even,,,
5040,23,formula_3_mod_4,,,
5040,24,formula_even,,,
5040,25,general_key_d_3,3,2,10
5040,26,formula_even,,,
5040,27,formula_divisible_by_3,,,
5040,28,formula_even,,,
5040,29,general_key_d_3,3,4,8
5040,30,formula_even,,,
5040,31,formula_3_mod_4,,,
5040,32,formula_even,,,
5040,33,formula_divisible_by_3,,,
5040,34,formula_even,,,
5040,35,formula_3_mod_4,,,
5040,36,formula_even,,,
5040,37,general_key_d_3,3,4,8
5040,38,formula_even,,,
5040,39,formula_divisible_by_3,,,
5040,40,formula_even,,,
5040,41,general_key_d_7,7,4,24
5040,42,formula_even,,,
5040,43,formula_3_mod_4,,,
5040,44,formula_even,,,
5040,45,formula_divisible_by_3,,,
5040,46,formula_even,,,
5040,47,formula_3_mod_4,,,
5040,48,formula_even,,,
5040,49,general_key_d_11,11,2,42
5040,50,formula_even,,,
5040,51,formula_divisible_by_3,,,
5040,52,formula_even,,,
5040,53,general_key_d_3,3,4,8
5040,54,formula_even,,,
5040,55,formula_3_mod_4,,,
5040,56,formula_even,,,
5040,57,formula_divisible_by_3,,,
5040,58,formula_even,,,
5040,59,formula_3_mod_4,,,
5040,60,formula_even,,,
5040,61,general_key_d_3,3,4,8
5040,62,formula_even,,,
5040,63,formula_divisible_by_3,,,
5040,64,formula_even,,,
5040,65,general_key_d_7,7,4,24
5040,66,formula_even,,,
5040,67,formula_3_mod_4,,,
5040,68,formula_even,,,
5040,69,formula_divisible_by_3,,,
5040,70,formula_even,,,
5040,71,formula_3_mod_4,,,
5040,72,formula_even,,,
5040,73,general_key_d_7,7,8,20
5040,74,formula_even,,,
5040,75,formula_divisible_by_3,,,
5040,76,formula_even,,,
5040,77,general_key_d_3,3,4,8
5040,78,formula_even,,,
5040,79,formula_3_mod_4,,,
5040,80,formula_even,,,
5040,81,formula_divisible_by_3,,,
5040,82,formula_even,,,
5040,83,formula_3_mod_4,,,
5040,84,formula_even,,,
5040,85,general_key_d_3,3,4,8
5040,86,formula_even,,,
5040,87,formula_divisible_by_3,,,
5040,88,formula_even,,,
5040,89,general_key_d_7,7,4,24
5040,90,formula_even,,,
5040,91,formula_3_mod_4,,,
5040,92,formula_even,,,
5040,93,formula_divisible_by_3,,,
5040,94,formula_even,,,
5040,95,formula_3_mod_4,,,
5040,96,formula_even,,,
5040,97,general_key_d_3,3,2,10
5040,98,formula_even,,,
5040,99,formula_divisible_by_3,,,
5040,100,formula_even,,,
5040,101,general_key_d_3,3,4,8
5040,102,formula_even,,,
5040,103,formula_3_mod_4,,,
5040,104,formula_even,,,
5040,105,formula_divisible_by_3,,,
5040,106,formula_even,,,
5040,107,formula_3_mod_4,,,
5040,108,formula_even,,,
5040,109,general_key_d_3,3,4,8
5040,110,formula_even,,,
5040,111,formula_divisible_by_3,,,
5040,112,formula_even,,,
5040,113,general_key_d_7,7,4,24
5040,114,formula_even,,,
5040,115,formula_3_mod_4,,,
5040,116,formula_even,,,
5040,117,formula_divisible_by_3,,,
5040,118,formula_even,,,
5040,119,formula_3_mod_4,,,
5040,120,formula_even,,,
5040,122,formula_even,,,
5040,123,formula_divisible_by_3,,,
5040,124,formula_even,,,
5040,125,general_key_d_3,3,4,8
5040,126,formula_even,,,
5040,127,formula_3_mod_4,,,
5040,128,formula_even,,,
5040,129,formula_divisible_by_3,,,
5040,130,formula_even,,,
5040,131,formula_3_mod_4,,,
5040,132,formula_even,,,
5040,133,general_key_d_3,3,4,8
5040,134,formula_even,,,
5040,135,formula_divisible_by_3,,,
5040,136,formula_even,,,
5040,137,general_key_d_7,7,4,24
5040,138,formula_even,,,
5040,139,formula_3_mod_4,,,
5040,140,formula_even,,,
5040,141,formula_divisible_by_3,,,
5040,142,formula_even,,,
5040,143,formula_3_mod_4,,,
5040,144,formula_even,,,
5040,145,general_key_d_3,3,2,10
5040,146,formula_even,,,
5040,147,formula_divisible_by_3,,,
5040,148,formula_even,,,
5040,149,general_key_d_3,3,4,8
5040,150,formula_even,,,
5040,151,formula_3_mod_4,,,
5040,152,formula_even,,,
5040,153,formula_divisible_by_3,,,
5040,154,formula_even,,,
5040,155,formula_3_mod_4,,,
5040,156,formula_even,,,
5040,157,general_key_d_3,3,4,8
5040,158,formula_even,,,
5040,159,formula_divisible_by_3,,,
5040,160,formula_even,,,
5040,161,general_key_d_7,7,4,24
5040,162,formula_even,,,
5040,163,formula_3_mod_4,,,
5040,164,formula_even,,,
5040,165,formula_divisible_by_3,,,
5040,166,formula_even,,,
5040,167,formula_3_mod_4,,,
5040,168,formula_even,,,
5040,170,formula_even,,,
5040,171,formula_divisible_by_3,,,
5040,172,formula_even,,,
5040,173,general_key_d_3,3,4,8
5040,174,formula_even,,,
5040,175,formula_3_mod_4,,,
5040,176,formula_even,,,
5040,177,formula_divisible_by_3,,,
5040,178,formula_even,,,
5040,179,formula_3_mod_4,,,
5040,180,formula_even,,,
5040,181,general_key_d_3,3,4,8
5040,182,formula_even,,,
5040,183,formula_divisible_by_3,,,
5040,184,formula_even,,,
5040,185,general_key_d_7,7,4,24
